,abstract,web_url,snippet,lead_paragraph,source,multimedia,keywords,pub_date,document_type,news_desk,section_name,type_of_material,_id,word_count,uri,headline_main,headline_kicker,headline_content_kicker,headline_print_headline,headline_name,headline_seo,headline_sub,byline_original,byline_person,byline_organization,subsection_name
0,Collins talks Brooks back from the ledge of a political identity crisis.,https://theconversation.blogs.nytimes.com/2009/07/22/blogs/22theconversation-in-prais909.html,Collins talks Brooks back from the ledge of a political identity crisis.,Stephen Crowley/The New York Times ,The New York Times,"[{'rank': 0, 'subtype': 'thumbnail', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2009/01/15/opinion/theconversation_75.jpg', 'height': 75, 'width': 75, 'legacy': {'thumbnail': 'images/2009/01/15/opinion/theconversation_75.jpg', 'thumbnailwidth': 75, 'thumbnailheight': 75}, 'subType': 'thumbnail', 'crop_name': 'thumbStandard'}]",[],2009-07-22T16:10:37+0000,article,None,Blogs,Web Log,nyt://article/a237e41d-1afd-5bea-9a8a-b1ee21e2a3c1,931,nyt://article/a237e41d-1afd-5bea-9a8a-b1ee21e2a3c1,In Praise of Partisanship,The Conversation,,In Praise of Partisanship,,,,,[],,
1,Gail Collins talks David Brooks back from the ledge of a political identity crisis.,https://opinionator.blogs.nytimes.com/2009/07/22/in-praise-of-partisanship/,Gail Collins talks David Brooks back from the ledge of a political identity crisis.,"David Brooks: Gail, you made a reference in last week’s conversation that caught me up short. You said something about how badly my guys, the Republicans, have been behaving during this whole health care thing.",The New York Times,[],[],2009-07-22T16:10:37+0000,article,OpEd,Opinion,News,nyt://article/e9f81005-e66f-5670-8556-e4bbfe8fb577,889,nyt://article/e9f81005-e66f-5670-8556-e4bbfe8fb577,In Praise of Partisanship,Opinionator,,,,,,By David Brooks and Gail Collins,"[{'firstname': 'David', 'middlename': None, 'lastname': 'Brooks', 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 1}, {'firstname': 'Gail', 'middlename': None, 'lastname': 'Collins', 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 2}]",,
2,"Following is a transcript of the fourth and final day of confirmation hearings for Judge Sonia Sotomayor, as recorded by Federal News Service.",https://www.nytimes.com/2009/07/16/us/politics/16confirm-text.html,"Following is a transcript of the fourth and final day of confirmation hearings for Judge Sonia Sotomayor, as recorded by Federal News Service.","Following is a transcript of the fourth and final day of confirmation hearings for Judge Sonia Sotomayor, as recorded by Federal News Service. Judge Sotomayor answered second-round questions from Senators Jon Kyl, Dianne Feinstein, Lindsey Graham, Amy Klobuchar, John Cornyn, Arlen Specter, Tom Coburn, and Al Franken. A final round of questions were asked by Senators Jeff Sessions, Orrin G. Hatch, Charles E. Grassley, Kyl, Graham, Cornyn and Coburn.",The New York Times,[],[],2009-07-17T17:08:53+0000,article,Washington,U.S.,Text,nyt://article/7955442a-0216-5e67-83f3-1dd2e1772ebd,51608,nyt://article/7955442a-0216-5e67-83f3-1dd2e1772ebd,"Sotomayor Confirmation Hearings, Day 4",Transcript,,,,,,,[],,Politics
3,The confirmation hearings of Judge Sonia Sotomayor began in the middle of the second round of questioning by the senators on the Judiciary committee.,https://thecaucus.blogs.nytimes.com/2009/07/16/blogs/16thecaucus-live-blo33639.html,The confirmation hearings of Judge Sonia Sotomayor began in the middle of the second round of questioning by the senators on the Judiciary committee.,"It's a Wrap &#124; 8:52 p.m. The Senate Judiciary Committee has concluded the confirmation hearings for Judge Sonia Sotomayor, going well into the evening with many witnesses testifying for and against her positions.",The New York Times,"[{'rank': 0, 'subtype': 'xlarge', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2009/07/16/us/16confirm-600.jpg', 'height': 331, 'width': 600, 'legacy': {'xlarge': 'images/2009/07/16/us/16confirm-600.jpg', 'xlargewidth': 600, 'xlargeheight': 331}, 'subType': 'xlarge', 'crop_name': 'articleLarge'}, {'rank': 0, 'subtype': 'popup', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2009/07/16/us/16confirm-600.jpg', 'height': 331, 'width': 600, 'legacy': {}, 'subType': 'popup', 'crop_name': 'popup'}, {'rank': 0, 'subtype': 'sfSpan', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2009/07/16/us/16confirm-395.jpg', 'height': 264, 'width': 395, 'legacy': {}, 'subType': 'sfSpan', 'crop_name': 'sfSpan'}, {'rank': 0, 'subtype': 'thumbnail', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2009/07/16/us/16confirm-75.jpg', 'height': 75, 'width': 75, 'legacy': {'thumbnail': 'images/2009/07/16/us/16confirm-75.jpg', 'thumbnailwidth': 75, 'thumbnailheight': 75}, 'subType': 'thumbnail', 'crop_name': 'thumbStandard'}]",[],2009-07-17T00:00:00+0000,article,None,Blogs,Web Log,nyt://article/5813763d-3929-5012-8788-54f445f7b388,5726,nyt://article/5813763d-3929-5012-8788-54f445f7b388,Live Blogging the Sotomayor Hearings,The Caucus,,"Live Blogging Sotomayor Hearings, Day 4",,,,By KATE PHILLIPS,"[{'firstname': 'Kate', 'middlename': None, 'lastname': 'PHILLIPS', 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 1}]",,
4,Stay with us for updates throughout the day at the Senate Judiciary Committee hearings for Judge Sotomayor.,https://thecaucus.blogs.nytimes.com/2009/07/16/live-blogging-sotomayor-hearings-day-4/,Stay with us for updates throughout the day at the Senate Judiciary Committee hearings for Judge Sotomayor.,"It’s a Wrap | 8:52 p.m.  The Senate Judiciary Committee has concluded the confirmation hearings for Judge Sonia Sotomayor, going well into the evening with many witnesses testifying for and against her positions.",The New York Times,[],[],2009-07-17T00:00:00+0000,article,National,U.S.,News,nyt://article/2230d91d-20ae-57eb-9d57-8e5ee6e4dd44,5507,nyt://article/2230d91d-20ae-57eb-9d57-8e5ee6e4dd44,"Live Blogging Sotomayor Hearings, Day 4",The Caucus,,,,,,By KATE PHILLIPS,"[{'firstname': 'Kate', 'middlename': None, 'lastname': 'PHILLIPS', 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 1}]",,Politics
5,"Following is a transcript of the third day of confirmation hearings for Judge Sonia Sotomayor, as recorded by Federal News Service.",https://www.nytimes.com/2009/07/15/us/politics/15confirm-text.html,"Following is a transcript of the third day of confirmation hearings for Judge Sonia Sotomayor, as recorded by Federal News Service.","Following is a transcript of the third day of confirmation hearings for Judge Sonia Sotomayor, as recorded by Federal News Service. Judge Sotomayor answered first-round questions from Senators John Cornyn, Benjamin L. Cardin, Tom Coburn, Sheldon Whitehouse, Amy Klobuchar, Edward E. Kaufman, Arlen Specter and Al Franken. Additional second-round questions were asked by Senators Jeff Sessions, Herb Kohl, Orrin G. Hatch, Russ Feingold, Charles E. Grassley  and Cardin. Senator Patrick J. Leahy also spoke during the hearing.  ",The New York Times,[],[],2009-07-16T13:29:30+0000,article,Washington,U.S.,Text,nyt://article/0b84df15-463b-5eab-b9da-0c48a4fde019,49239,nyt://article/0b84df15-463b-5eab-b9da-0c48a4fde019,"Sotomayor Confirmation Hearings, Day 3",Transcript,,,,,,,[],,Politics
6,Judge Sonia Sotomayor said that no one in the White House asked about her views on abortion before her nomination.,https://thecaucus.blogs.nytimes.com/2009/07/15/blogs/15thecaucus-live-blo33317.html,Judge Sonia Sotomayor said that no one in the White House asked about her views on abortion before her nomination.,"Closing Notes &#124; 6:19 p.m. The session today seemed to allow Judge Sonia Sotomayor to loosen up a little more. At times, most predictably when she was questioned by Democrats, she talked without interruption for several minutes. ",The New York Times,[],[],2009-07-15T21:00:10+0000,article,None,Blogs,Web Log,nyt://article/34504583-c3cc-56c4-b1cb-307523cd43a0,4439,nyt://article/34504583-c3cc-56c4-b1cb-307523cd43a0,Questioning of Sotomayor Turns to Abortion Issue,The Caucus,,"Live Blogging Sotomayor Hearings, Day 3",,,,By KATE PHILLIPS,"[{'firstname': 'Kate', 'middlename': None, 'lastname': 'PHILLIPS', 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 1}]",,
7,Stay with us for updates as we continue covering the Supreme Court confirmation hearings for Judge Sonia Sotomayor.,https://thecaucus.blogs.nytimes.com/2009/07/15/live-blogging-sotomayor-hearings-day-3/,Stay with us for updates as we continue covering the Supreme Court confirmation hearings for Judge Sonia Sotomayor.,"Closing Notes | 6:19 p.m.  The session today seemed to allow Judge Sonia Sotomayor to loosen up a little more. At times, most predictably when she was questioned by Democrats, she talked without interruption for several minutes. ",The New York Times,[],[],2009-07-15T21:00:10+0000,article,National,U.S.,News,nyt://article/ffd9e70d-d0ac-56b8-9c6c-882641b3a23f,4368,nyt://article/ffd9e70d-d0ac-56b8-9c6c-882641b3a23f,"Live Blogging Sotomayor Hearings, Day 3",The Caucus,,,,,,By Kate Phillips,"[{'firstname': 'Kate', 'middlename': None, 'lastname': 'Phillips', 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 1}]",,Politics
8,Senators begin asking their questions of Judge Sonia Sotomayor on the second day of her confirmation hearings for the Supreme Court. We'll be updating throughout the day.,https://thecaucus.blogs.nytimes.com/2009/07/14/blogs/14thecaucus-live-blo32859.html,Senators begin asking their questions of Judge Sonia Sotomayor on the second day of her confirmation hearings for the Supreme Court. We'll be updating throughout the day.,"Tuesday's session has ended. For Wednesday, several senators still have their first 30-minute question-and-answer encounters with the judge. Then, there will be a brief closed session while both sides discuss her F.B.I. background check, a routine event for nominees. Then the open hearings will resume, with senators getting second rounds of 20 minutes each. ",The New York Times,"[{'rank': 0, 'subtype': 'xlarge', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2009/07/14/us/14sotomayor2-600.jpg', 'height': 331, 'width': 600, 'legacy': {'xlarge': 'images/2009/07/14/us/14sotomayor2-600.jpg', 'xlargewidth': 600, 'xlargeheight': 331}, 'subType': 'xlarge', 'crop_name': 'articleLarge'}, {'rank': 0, 'subtype': 'popup', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2009/07/14/us/14sotomayor2-600.jpg', 'height': 331, 'width': 600, 'legacy': {}, 'subType': 'popup', 'crop_name': 'popup'}, {'rank': 0, 'subtype': 'sfSpan', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2009/07/14/us/14sotomayor2-395.jpg', 'height': 264, 'width': 395, 'legacy': {}, 'subType': 'sfSpan', 'crop_name': 'sfSpan'}, {'rank': 0, 'subtype': 'thumbnail', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2009/07/14/us/14sotomayor2-75.jpg', 'height': 75, 'width': 75, 'legacy': {'thumbnail': 'images/2009/07/14/us/14sotomayor2-75.jpg', 'thumbnailwidth': 75, 'thumbnailheight': 75}, 'subType': 'thumbnail', 'crop_name': 'thumbStandard'}]",[],2009-07-14T22:00:29+0000,article,None,Blogs,Web Log,nyt://article/28b3c1ca-aadc-55cb-82bd-b62324817bb6,5447,nyt://article/28b3c1ca-aadc-55cb-82bd-b62324817bb6,"Live Blogging Sotomayor Hearings, Day 2",The Caucus,,"Live Blogging Sotomayor Hearings, Day 2",,,,,[],,
9,Senators begin asking their questions of Judge Sonia Sotomayor on the second day of her confirmation hearings for the Supreme Court. We’ll be updating throughout the day.,https://thecaucus.blogs.nytimes.com/2009/07/14/live-blogging-the-sotomayor-hearings-day-2/,Senators begin asking their questions of Judge Sonia Sotomayor on the second day of her confirmation hearings for the Supreme Court. We’ll be updating throughout the day.,"Tuesday’s session has ended. For Wednesday, several senators still have their first 30-minute question-and-answer encounters with the judge. Then, there will be a brief closed session while both sides discuss her F.B.I. background check, a routine event for nominees. Then the open hearings will resume, with senators getting second rounds of 20 minutes each. ",The New York Times,[],[],2009-07-14T22:00:29+0000,article,National,U.S.,News,nyt://article/c1d29071-d6c5-576d-b63a-b08b42377ad3,4525,nyt://article/c1d29071-d6c5-576d-b63a-b08b42377ad3,"Live Blogging Sotomayor Hearings, Day 2",The Caucus,,,,,,By Kate Phillips,"[{'firstname': 'Kate', 'middlename': None, 'lastname': 'Phillips', 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 1}]",,Politics
