,abstract,web_url,snippet,lead_paragraph,source,multimedia,keywords,pub_date,document_type,news_desk,section_name,subsection_name,_id,word_count,uri,headline_main,headline_kicker,headline_content_kicker,headline_print_headline,headline_name,headline_seo,headline_sub,byline_original,byline_person,byline_organization,type_of_material
0,The future of the health care debate takes front and center on this week’s talk shows just as Nebraska Senator Ben Nelson signed on Saturday to cast the 60th vote in the Senate to support an overhaul.,https://thecaucus.blogs.nytimes.com/2009/12/19/sunday-breakfast-menu-dec-20-2009/,The future of the health care debate takes front and center on this week’s talk shows just as Nebraska Senator Ben Nelson signed on Saturday to cast the 60th vote in the Senate to support an overhaul.,The future of health care legislation takes front and center on this week’s talk shows just as Nebraska Senator Ben Nelson signed on Saturday to cast the 60th vote in the Senate to support of an overhaul.,The New York Times,[],[],2009-12-19T18:22:28+0000,article,National,U.S.,Politics,nyt://article/6d3ed917-87db-5668-a795-c00ef2976128,332,nyt://article/6d3ed917-87db-5668-a795-c00ef2976128,"Sunday Breakfast Menu: Dec. 20, 2009",The Caucus,,,,,,By Ashley Southall,"[{'firstname': 'Ashley', 'middlename': None, 'lastname': 'Southall', 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 1}]",,
1,A group of Senate Democrats who are considered swing votes on pending climate change and energy legislation sent a letter to President Obama on Thursday morning detailing their conditions for backing any domestic bill or international treaty to address global warming.,https://green.blogs.nytimes.com/2009/12/03/in-letter-to-obama-senators-state-conditions-for-supporting-climate-bill/,A group of Senate Democrats who are considered swing votes on pending climate change and energy legislation sent a letter to President Obama on Thursday morning detailing their conditions for backing any domestic bill or international treaty to ad...,A group of Senate Democrats who are considered swing votes on pending climate change and energy legislation sent a letter to President Obama Thursday morning detailing their conditions for supporting any domestic bill or international treaty to address global warming.,The New York Times,[],[],2009-12-03T16:04:11+0000,article,,Business Day,Energy & Environment ,nyt://article/2cb3244b-0c29-57d0-ac60-064f481f40d0,575,nyt://article/2cb3244b-0c29-57d0-ac60-064f481f40d0,"In Letter to Obama, Senators State Conditions for Supporting Climate Bill",Green,,,,,,By John M. Broder,"[{'firstname': 'John', 'middlename': None, 'lastname': None, 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 1}]",,
2,Afghanistan and health care stay in the forefront of the weekend’s news.,https://thecaucus.blogs.nytimes.com/2009/10/18/the-sunday-word-afghanistan/,Afghanistan and health care stay in the forefront of the weekend’s news.,"The results of a United Nations-led audit of Afghanistan’s presidential election are expected today, a ruling that will most likely award President Hamid Karzai less than 50 percent of the vote and set the country on track for a second round race. In a flurry of visits and phone calls Saturday, allies pressed the resistant Karzai administration to accept the United Nations verdict. ",The New York Times,[],[],2009-10-18T12:39:32+0000,article,National,U.S.,Politics,nyt://article/4a5d5a96-1eb4-5493-afbc-1686e807ddc1,771,nyt://article/4a5d5a96-1eb4-5493-afbc-1686e807ddc1,The Sunday Word: Afghanistan,The Caucus,,,,,,By Janie Lorber,"[{'firstname': 'Janie', 'middlename': None, 'lastname': 'Lorber', 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 1}]",,
3,Afghanistan and health care stay in the forefront of the weekend's news.,https://thecaucus.blogs.nytimes.com/2009/10/18/blogs/18thecaucus-the-sund48413.html,Afghanistan and health care stay in the forefront of the weekend's news.,"The results of a United Nations-led audit of Afghanistan's presidential election are expected today, a ruling that will most likely award President Hamid Karzai less than 50 percent of the vote and set the country on track for a second round race. In a flurry of visits and phone calls Saturday, allies pressed the resistant Karzai administration to accept the United Nations verdict. ",The New York Times,[],[],2009-10-18T12:39:32+0000,article,None,Blogs,,nyt://article/592f8dda-d280-5417-9b1f-272d761a3a9a,767,nyt://article/592f8dda-d280-5417-9b1f-272d761a3a9a,The Sunday Word: Afghanistan,The Caucus,,The Sunday Word: Afghanistan,,,,By JANIE LORBER,"[{'firstname': 'Janie', 'middlename': None, 'lastname': 'LORBER', 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 1}]",,Web Log
4,Democratic women in Senate speak out on the need for health legislation to improve women's medical care.,https://prescriptions.blogs.nytimes.com/2009/10/08/blogs/08prescriptions-democrat9367.html,Democratic women in Senate speak out on the need for health legislation to improve women's medical care.,Women Democratic senators took to the floor on Thursday to describe the proposed health care legislation as crucial for American women. ,The New York Times,[],[],2009-10-08T22:25:37+0000,article,None,Blogs,,nyt://article/3dfb1b44-3353-52b5-aca1-b5bc877c6bd6,922,nyt://article/3dfb1b44-3353-52b5-aca1-b5bc877c6bd6,Democratic Women in Senate Speak on Behalf of Health Legislation,Prescriptions,,Democratic Women in Senate Speak on Behalf of Health Legislation,,,,By DAVID M. HERSZENHORN,"[{'firstname': 'David', 'middlename': None, 'lastname': None, 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 1}]",,Web Log
5,Democratic women in Senate speak out on the need for health legislation to improve women’s medical care.,https://prescriptions.blogs.nytimes.com/2009/10/08/democratic-women-in-senate-speak-on-behalf-of-health-legislation/,Democratic women in Senate speak out on the need for health legislation to improve women’s medical care.,Women Democratic senators took to the floor on Thursday to describe the proposed health care legislation as crucial for American women. ,The New York Times,[],[],2009-10-08T22:25:37+0000,article,,Health,,nyt://article/22a4097d-876d-5c44-81e2-98a6020f6cd6,914,nyt://article/22a4097d-876d-5c44-81e2-98a6020f6cd6,Democratic Women in Senate Speak on Behalf of Health Legislation,Prescriptions,,,,,,By David M. Herszenhorn,"[{'firstname': 'David', 'middlename': None, 'lastname': None, 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 1}]",,
6,The Minnesota senator can't help but provide a little humor up on Capitol Hill.,https://thecaucus.blogs.nytimes.com/2009/09/23/blogs/23thecaucus-the-fran44477.html,The Minnesota senator can't help but provide a little humor up on Capitol Hill.,Count props and one-liners among the tricks Senator Al Franken has carried over from his comedy career. ,The New York Times,[],[],2009-09-23T18:28:04+0000,article,None,Blogs,,nyt://article/70892a84-0cc9-547f-b824-fc48951028e3,218,nyt://article/70892a84-0cc9-547f-b824-fc48951028e3,The Franken Funnies,The Caucus,,The Franken Funnies,,,,By JANIE LORBER,"[{'firstname': 'Janie', 'middlename': None, 'lastname': 'LORBER', 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 1}]",,Web Log
7,The Minnesota senator can’t help but provide a little humor up on Capitol Hill.,https://thecaucus.blogs.nytimes.com/2009/09/23/the-franken-funnies/,The Minnesota senator can’t help but provide a little humor up on Capitol Hill.,Count props and one-liners among the tricks Senator Al Franken has carried over from his comedy career. ,The New York Times,[],[],2009-09-23T18:28:04+0000,article,National,U.S.,Politics,nyt://article/b0cc7c97-98ee-501a-9fd0-289733dcdf9b,217,nyt://article/b0cc7c97-98ee-501a-9fd0-289733dcdf9b,The Franken Funnies,The Caucus,,,,,,By Janie Lorber,"[{'firstname': 'Janie', 'middlename': None, 'lastname': 'Lorber', 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 1}]",,News
8,"The Senate approves another expansion of gun rights, despite Amtrak's concerns.",https://thecaucus.blogs.nytimes.com/2009/09/16/blogs/16thecaucus-senate-v43073.html,"The Senate approves another expansion of gun rights, despite Amtrak's concerns.","The Senate voted on Wednesday to allow Amtrak passengers to carry unloaded and locked handguns in checked baggage, even though Amtrak officials had raised concerns that the proposal could present ""numerous challenges.""",The New York Times,[],[],2009-09-16T21:24:09+0000,article,None,Blogs,,nyt://article/273da419-447e-516a-b575-fc495471820b,564,nyt://article/273da419-447e-516a-b575-fc495471820b,Senate Votes to O.K. Checked Guns on Amtrak,The Caucus,,Senate Votes to O.K. Checked Guns on Amtrak,,,,By BERNIE BECKER,"[{'firstname': 'Bernie', 'middlename': None, 'lastname': 'BECKER', 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 1}]",,Web Log
9,"The Senate approves another expansion of gun rights, despite Amtrak’s concerns.",https://thecaucus.blogs.nytimes.com/2009/09/16/senate-votes-to-ok-guns-on-amtrak/,"The Senate approves another expansion of gun rights, despite Amtrak’s concerns.","The Senate voted on Wednesday to allow Amtrak passengers to carry unloaded and locked handguns in checked baggage, even though Amtrak officials had raised concerns that the proposal could present “numerous challenges.”",The New York Times,[],[],2009-09-16T21:24:09+0000,article,National,U.S.,Politics,nyt://article/46fbef86-2760-55c2-b074-1922d1dec87c,561,nyt://article/46fbef86-2760-55c2-b074-1922d1dec87c,Senate Votes to O.K. Checked Guns on Amtrak,The Caucus,,,,,,By Bernie Becker,"[{'firstname': 'Bernie', 'middlename': None, 'lastname': 'Becker', 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 1}]",,News
