,abstract,web_url,snippet,lead_paragraph,print_section,print_page,source,multimedia,keywords,pub_date,document_type,news_desk,section_name,type_of_material,_id,word_count,uri,headline_main,headline_kicker,headline_content_kicker,headline_print_headline,headline_name,headline_seo,headline_sub,byline_original,byline_person,byline_organization
0,,https://www.nytimes.com/1980/12/03/archives/entertainment-events-theater-film-music-dance.html,,,T,30,The New York Times,[],[],1980-12-03T05:00:00+0000,article,None,Archives,Archives,nyt://article/9c845120-3cf1-5151-9436-f97f44144efe,0,nyt://article/9c845120-3cf1-5151-9436-f97f44144efe,Entertainment Events; Theater Film Music Dance ,1,,Entertainment Events; Theater Film Music Dance ,,,,,[],
1,"Most American colleges are apparently routinely asking prospective students to waive their privilege to see documents in their admissions files, which, were once confidential but were opened to students five years ago by Federal law.  ",https://www.nytimes.com/1980/12/03/archives/colleges-ask-students-to-forgo-right-to-see-files-colleges-ask.html,,,A,1,The New York Times,[],[],1980-12-03T05:00:00+0000,article,None,Archives,Archives,nyt://article/3802f892-8a04-5876-9bfe-e3c293f9b5b5,0,nyt://article/3802f892-8a04-5876-9bfe-e3c293f9b5b5,Colleges Ask Students to Forgo Right to See Files; Colleges Ask Applicants to Forgo Rights to See Files 'No Reason Not to Sign' 500 Complaints a Year Forms of Presentation Northwestern Destroys Documents,2,,Colleges Ask Students to Forgo Right to See Files; Colleges Ask Applicants to Forgo Rights to See Files 'No Reason Not to Sign' 500 Complaints a Year Forms of Presentation Northwestern Destroys Documents,,,,By Edward B. Fiske,"[{'firstname': 'Edward', 'middlename': None, 'lastname': None, 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 1}]",
2,,https://www.nytimes.com/1980/12/02/archives/obituary-3-no-title.html,,,B,23,The New York Times,[],[],1980-12-02T05:00:00+0000,article,None,Archives,Archives,nyt://article/0f515d26-cd09-5e2d-bbee-7c7cb26309f3,0,nyt://article/0f515d26-cd09-5e2d-bbee-7c7cb26309f3,Obituary 3 -- No Title,1,,Obituary 3 -- No Title,,,,,[],
3,,https://www.nytimes.com/1980/12/02/archives/obituary-4-no-title.html,,,B,23,The New York Times,[],[],1980-12-02T05:00:00+0000,article,None,Archives,Archives,nyt://article/e4d0e89f-794b-59a9-aa0e-cf84006ccc91,0,nyt://article/e4d0e89f-794b-59a9-aa0e-cf84006ccc91,Obituary 4 -- No Title,1,,Obituary 4 -- No Title,,,,,[],
4,,https://www.nytimes.com/1980/12/01/archives/obituary-4-no-title.html,,,B,12,The New York Times,[],[],1980-12-01T05:00:00+0000,article,None,Archives,Archives,nyt://article/0b1fd159-697f-55e8-8026-3bf89e7cd11b,0,nyt://article/0b1fd159-697f-55e8-8026-3bf89e7cd11b,Obituary 4 -- No Title,1,,Obituary 4 -- No Title,,,,,[],
5,"FRANK LOESSER wrote just four hit Broadway shows, and yet it's impossible to imagine the American musical theater  without him. In one score alone, ""Guys and Dolls,"" he apotheosized the Broadway spirit with a vibrancy that's rarely been matched.  ",https://www.nytimes.com/1980/12/01/archives/stake-perfectly-frank-hails-loesser-a-mam-and-his-music.html,,,S,14,The New York Times,[],[],1980-12-01T05:00:00+0000,article,None,Archives,Archives,nyt://article/134ca163-3bc3-5167-af20-b3b679c2ee2d,0,nyt://article/134ca163-3bc3-5167-af20-b3b679c2ee2d,Stake: 'Perfectly Frank' Hails Loesser; A Mam and His Music ,1,,Stake: 'Perfectly Frank' Hails Loesser; A Mam and His Music ,,,,By Frank Rich,"[{'firstname': 'Frank', 'middlename': None, 'lastname': 'Rich', 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 1}]",
6,,https://www.nytimes.com/1980/11/30/archives/sunday-television-of-special-interest-jt-charlies-angels.html,,,A,51,The New York Times,[],[],1980-11-30T05:00:00+0000,article,None,Archives,Archives,nyt://article/3859c46c-d4dd-573b-bc9c-8353ee3d96be,0,nyt://article/3859c46c-d4dd-573b-bc9c-8353ee3d96be,Sunday Television; Of Special Interest 'J.T.' 'Charlie's Angels' Cable/Subscription TV Two Hepburn Classics Of Special Interest Cable/Subscription TV Of Special Interest Cable/Subscription TV Of Special Interest Cable/Subscription TV Of Special Interest Cable/Subscription TV Of Special Interest Cable/Subscription TV Of Special Interest Cable/Subscription TV ,9,,Sunday Television; Of Special Interest 'J.T.' 'Charlie's Angels' Cable/Subscription TV Two Hepburn Classics Of Special Interest Cable/Subscription TV Of Special Interest Cable/Subscription TV Of Special Interest Cable/Subscription TV Of Special Interest Cable/Subscription TV Of Special Interest Cable/Subscription TV Of Special Interest Cable/Subscription TV ,,,,,[],
7,,https://www.nytimes.com/1980/11/30/archives/obituary-7-no-title.html,,,,44,The New York Times,[],[],1980-11-30T05:00:00+0000,article,None,Archives,Archives,nyt://article/2492f6b1-3f65-5b80-9ca7-6c5f0eb52979,0,nyt://article/2492f6b1-3f65-5b80-9ca7-6c5f0eb52979,Obituary 7 -- No Title,1,,Obituary 7 -- No Title,,,,,[],
8,,https://www.nytimes.com/1980/11/30/archives/arts-entertainment-guide-theater-recent-openings-theater-film-dance.html,,,A,61,The New York Times,[],[],1980-11-30T05:00:00+0000,article,None,Archives,Archives,nyt://article/f12ab557-3b3e-5ec2-8099-cdbd8abba342,0,nyt://article/f12ab557-3b3e-5ec2-8099-cdbd8abba342,Arts & Entertainment Guide; Theater Recent Openings THEATER Film Dance Music MUSIC Art ART Photography Children ,6,,Arts & Entertainment Guide; Theater Recent Openings THEATER Film Dance Music MUSIC Art ART Photography Children ,,,,,[],
9,,https://www.nytimes.com/1980/11/30/archives/new-films-of-the-week.html,,,A,17,The New York Times,[],[],1980-11-30T05:00:00+0000,article,None,Archives,Archives,nyt://article/39d7e407-0e75-52d8-8f03-bdcf335d4a46,0,nyt://article/39d7e407-0e75-52d8-8f03-bdcf335d4a46,New Films Of the Week,1,,New Films Of the Week,,,,,[],
