,abstract,web_url,snippet,lead_paragraph,print_section,print_page,source,multimedia,keywords,pub_date,document_type,news_desk,section_name,type_of_material,_id,word_count,uri,headline_main,headline_kicker,headline_content_kicker,headline_print_headline,headline_name,headline_seo,headline_sub,byline_original,byline_person,byline_organization
0,"ONE of the primary reasons for the proliferation of first-quality chamber music performances in Connecticut is the  splendid work being done by local organizations, usually staffed by dedicated volunteers who put untold hours of planning, promoting and fund-raising into their public concert cycles.  ",https://www.nytimes.com/1980/11/09/archives/connecticut-weekly-music-chamber-series-and-vocal-events.html,,,C,22,The New York Times,[],[],1980-11-09T05:00:00+0000,article,None,Archives,Archives,nyt://article/67282c60-921d-5c5e-b95e-fc73ed4ca162,0,nyt://article/67282c60-921d-5c5e-b95e-fc73ed4ca162,MUSIC Chamber Series And Vocal Events,1,,MUSIC Chamber Series And Vocal Events,,,,By Robert Sherman,"[{'firstname': 'Robert', 'middlename': None, 'lastname': 'Sherman', 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 1}]",
1,"The Rev. William B. Gray, director of communications for Trinity Episcopal Church since 1970, died of cancer Tuesday at his home at 156 East 79th Street. He was 52 years old.  ",https://www.nytimes.com/1980/11/07/archives/william-b-gray-of-trinity-church.html,,,,17,The New York Times,[],[],1980-11-07T05:00:00+0000,article,None,Archives,Archives,nyt://article/23e765f8-8203-55e8-87ec-6f9f4bb7f1f5,0,nyt://article/23e765f8-8203-55e8-87ec-6f9f4bb7f1f5,William B. Gray of Trinity Church,1,,William B. Gray of Trinity Church,,,,By Alfred E. Clark,"[{'firstname': 'Alfred', 'middlename': 'E.', 'lastname': 'Clark', 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 1}]",
2,"LAST season, when Lanford Wilson won universal acclaim for ""Talley's Folly,"" some theatergoers wondered what the excitement  was about.  ",https://www.nytimes.com/1980/11/06/archives/stage-fifth-of-july-talleys-33-years-later-the-dispossessed.html,,,T,19,The New York Times,[],[],1980-11-06T05:00:00+0000,article,None,Archives,Archives,nyt://article/41c9062b-f487-50e7-8dca-688e678db13a,0,nyt://article/41c9062b-f487-50e7-8dca-688e678db13a,"Stage: 'Fifth of July,' Talleys 33 Years Later; The Dispossessed ",1,,"Stage: 'Fifth of July,' Talleys 33 Years Later; The Dispossessed ",,,,By Frank Rich,"[{'firstname': 'Frank', 'middlename': None, 'lastname': 'Rich', 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 1}]",
3,,https://www.nytimes.com/1980/11/06/archives/obituary-6-no-title.html,,,M,14,The New York Times,[],[],1980-11-06T05:00:00+0000,article,None,Archives,Archives,nyt://article/5a695afc-1251-53c8-8495-2f2ae3a9c7a3,0,nyt://article/5a695afc-1251-53c8-8495-2f2ae3a9c7a3,Obituary 6 -- No Title,1,,Obituary 6 -- No Title,,,,,[],
4,,https://www.nytimes.com/1980/11/05/archives/obituary-5-no-title.html,,,M,16,The New York Times,[],[],1980-11-05T05:00:00+0000,article,None,Archives,Archives,nyt://article/8009fe90-8b21-5c9b-8bcb-8abf29a803a4,0,nyt://article/8009fe90-8b21-5c9b-8bcb-8abf29a803a4,Obituary 5 -- No Title,1,,Obituary 5 -- No Title,,,,,[],
5,,https://www.nytimes.com/1980/11/05/archives/obituary-1-no-title.html,,,M,16,The New York Times,[],[],1980-11-05T05:00:00+0000,article,None,Archives,Archives,nyt://article/5070eec4-6996-5cf9-9e10-44002ecbb180,0,nyt://article/5070eec4-6996-5cf9-9e10-44002ecbb180,Obituary 1 -- No Title,1,,Obituary 1 -- No Title,,,,,[],
6,"Bolstered by a conservative tide and a sweep by Ronald Reagan, Republicans cut deeply into the Democrats' Senate majority yesterday and appeared within striking distance of ending 26 years of Democratic control.  ",https://www.nytimes.com/1980/11/05/archives/republican-majority-is-possible-in-senate-the-first-in-26-years.html,,,A,1,The New York Times,[],[],1980-11-05T05:00:00+0000,article,None,Archives,Archives,nyt://article/625456ba-bfa9-5ed2-abe7-b2019b0b3f54,0,nyt://article/625456ba-bfa9-5ed2-abe7-b2019b0b3f54,"Republican Majority Is Possible In Senate, the First in 26 Years; Republicans on Verge of Majority In Senate, Their First in 26 Years A Nine-Seat Target Incumbents Re-elected 34 Seats at Stake Targets of Conservatives ",2,,"Republican Majority Is Possible In Senate, the First in 26 Years; Republicans on Verge of Majority In Senate, Their First in 26 Years A Nine-Seat Target Incumbents Re-elected 34 Seats at Stake Targets of Conservatives ",,,,By Martin Tolchin,"[{'firstname': 'Martin', 'middlename': None, 'lastname': 'Tolchin', 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 1}]",
7,"PHILADELPHIA, NOV. 4--Jimmy Carter almost had Leslie Fleisher's vote. Miss Fleisher, an 18-year-old college student who comes from a Democratic family, said she was ready to vote for the ...  ",https://www.nytimes.com/1980/11/05/archives/nonvoters-played-key-role-in-election-20year-trend-in-nonvoting.html,,,A,23,The New York Times,[],[],1980-11-05T05:00:00+0000,article,None,Archives,Archives,nyt://article/5371809c-40c2-51d8-a9e0-effb47991b05,0,nyt://article/5371809c-40c2-51d8-a9e0-effb47991b05,Nonvoters Played Key Role in Election; 20-Year Trend in Nonvoting 'Other Things on My Mind' Growing Skepticism Cited Many Supported Kennedy,1,,Nonvoters Played Key Role in Election; 20-Year Trend in Nonvoting 'Other Things on My Mind' Growing Skepticism Cited Many Supported Kennedy,,,,By Steven V. Roberts Special To the New York Times,"[{'firstname': 'Steven', 'middlename': 'V.', 'lastname': 'Roberts', 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 1}]",
8,"SAN DIEGO, Nov. 3--On the last day of a Presidential campaign thrown into extraordinary suspense by events in Iran, Ronald Reagan assailed President Carter's economic and defense record, while avoiding any criticism of Mr. Carter's efforts to secure release of the 52 American hostages.  ",https://www.nytimes.com/1980/11/04/archives/reagan-attacks-president-on-economy-and-defense-street-rally-in.html,,,A,1,The New York Times,[],[],1980-11-04T05:00:00+0000,article,None,Archives,Archives,nyt://article/c5e637dc-9619-54e4-bdb4-787c266b179e,0,nyt://article/c5e637dc-9619-54e4-bdb4-787c266b179e,Reagan Attacks President on Economy and Defense; Street Rally in Peoria Carter Policies Assailed ,2,,Reagan Attacks President on Economy and Defense; Street Rally in Peoria Carter Policies Assailed ,,,,By Howell Raines Special To the New York Times,"[{'firstname': 'Howell', 'middlename': 'Raines', 'lastname': 'Special', 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 1}]",
9,"DALLAS, Nov. 3 (UPI)--Roger Staubach, the Dallas Cowboy quarterback turned sports commentator, angered supporters of President Carter yesterday with a comment about Staubach's daughter, who, like the President's daughter, is named Amy.  ",https://www.nytimes.com/1980/11/04/archives/staubach-out-of-bounds.html,,,S,14,The New York Times,[],[],1980-11-04T05:00:00+0000,article,None,Archives,Archives,nyt://article/89f548ac-6d09-5435-85b6-de7223316d25,0,nyt://article/89f548ac-6d09-5435-85b6-de7223316d25,Staubach Out of Bounds?,1,,Staubach Out of Bounds?,,,,,[],
