,abstract,web_url,snippet,lead_paragraph,print_page,source,multimedia,keywords,pub_date,document_type,news_desk,section_name,type_of_material,_id,word_count,uri,headline_main,headline_kicker,headline_content_kicker,headline_print_headline,headline_name,headline_seo,headline_sub,byline_original,byline_person,byline_organization,print_section
0,"Mr. and Mrs. Melvin Schreiber of Sands Point, L.I., have announced the engagement of their daughter, Jill Amy Schreiber, to Loren Brett Kleinman, son of Mr. and Mrs. George Kleinman of New Rochelle, N.Y. The wedding is planned for June.  ",https://www.nytimes.com/1980/10/05/archives/jill-a-schreiber-fiancee-of-loren-b-kleinman.html,,,88,The New York Times,[],[],1980-10-05T05:00:00+0000,article,None,Archives,Archives,nyt://article/b797f2f8-dec2-5bb8-b21b-79806156cf0e,0,nyt://article/b797f2f8-dec2-5bb8-b21b-79806156cf0e,Jill A. Schreiber Fiancee Of Loren B. Kleinman,1,,Jill A. Schreiber Fiancee Of Loren B. Kleinman,,,,,[],,
1,"Ten thousand dollars is not a memorable sum in Hollywood, where a pro ducer once charged $50,000 worth of lumber and concrete to his production and built himself a house, where a movie can make $40 million and still not earn a profit.  ",https://www.nytimes.com/1980/10/05/archives/what-price-glory-at-columbia-columbia-columbia.html,,,10,The New York Times,[],[],1980-10-05T05:00:00+0000,article,None,Archives,Archives,nyt://article/5d83f73d-0b07-5391-924d-9d1f2e76fa0d,0,nyt://article/5d83f73d-0b07-5391-924d-9d1f2e76fa0d,WHAT PRICE GLORY AT COLUMBIA?; COLUMBIA COLUMBIA,7,,WHAT PRICE GLORY AT COLUMBIA?; COLUMBIA COLUMBIA,,,,By Aljean Harmetz,"[{'firstname': 'Aljean', 'middlename': None, 'lastname': 'Harmetz', 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 1}]",,T
2,,https://www.nytimes.com/1980/10/04/archives/television.html,,,48,The New York Times,[],[],1980-10-04T05:00:00+0000,article,None,Archives,Archives,nyt://article/143054bf-acc6-5416-b802-7b77b84657cb,0,nyt://article/143054bf-acc6-5416-b802-7b77b84657cb,Television,1,,Television,,,,,[],,
3,,https://www.nytimes.com/1980/10/04/archives/letters-a-society-on-the-defensive-destroy-the-world-in-order-to.html,,,22,The New York Times,[],[],1980-10-04T05:00:00+0000,article,None,Archives,Archives,nyt://article/5efe16be-9bee-5cdd-8203-162ce0086faf,0,nyt://article/5efe16be-9bee-5cdd-8203-162ce0086faf,Letters; A Society on the Defensive Destroy the World In Order to Save It? Our 2-Party Rut Wrong Time to Apologize to Iran In Case: You're Hit by a Bike Nice Offer Reluctant Champions Of Khomeini's Cause The Questionable Priorities of a Parks Commissioner,1,,Letters; A Society on the Defensive Destroy the World In Order to Save It? Our 2-Party Rut Wrong Time to Apologize to Iran In Case: You're Hit by a Bike Nice Offer Reluctant Champions Of Khomeini's Cause The Questionable Priorities of a Parks Commissioner,,,,LARRY D. NACHMANRICHARD S. PARKEREDWARD DOHERTYMARC BLECHERMARCIA BRITTONPETER STERNBERGNORMAN W. STORERPAUL A. MILIKINIRVING SCHECHTMANROBERT M. MAKLA,"[{'firstname': 'Larry', 'middlename': None, 'lastname': None, 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 1}]",,
4,"Rick Waits, Cleveland's good lefthanded pitcher, was talking at Yankee Stadium last week about the impending American League pennant playoff between the Yankees and the Kansas City Royals.  ",https://www.nytimes.com/1980/09/30/archives/hard-times-for-yanks-and-royals-suffering-a-slump-orioles-5-red-sox.html,,,26,The New York Times,[],[],1980-09-30T05:00:00+0000,article,None,Archives,Archives,nyt://article/e998b40c-243a-5e5f-9ca2-d06a17f7d719,0,nyt://article/e998b40c-243a-5e5f-9ca2-d06a17f7d719,"Hard Times For Yanks And Royals; Suffering a Slump Orioles 5, Red Sox 2 Orioles 4, Red Sox 3 2 Rangers Signed",1,,"Hard Times For Yanks And Royals; Suffering a Slump Orioles 5, Red Sox 2 Orioles 4, Red Sox 3 2 Rangers Signed",,,,By Murray Chass,"[{'firstname': 'Murray', 'middlename': None, 'lastname': 'Chass', 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 1}]",,S
5,,https://www.nytimes.com/1980/09/30/archives/letters-dollars-for-politics-the-one-stable-force-in-the-middle.html,,,26,The New York Times,[],[],1980-09-30T05:00:00+0000,article,None,Archives,Archives,nyt://article/e2778bae-636b-535f-a721-845e83a9e532,0,nyt://article/e2778bae-636b-535f-a721-845e83a9e532,Letters; Dollars for Politics The One Stable Force In the Middle East Prayer of a Jew Baseball Kinetics Imports That Help The U.S. Consumer Why John Anderson Runs Friend of the People Nov. 4 and the Trilateralists The I.L.O.'s Worth To the World's Labor,1,,Letters; Dollars for Politics The One Stable Force In the Middle East Prayer of a Jew Baseball Kinetics Imports That Help The U.S. Consumer Why John Anderson Runs Friend of the People Nov. 4 and the Trilateralists The I.L.O.'s Worth To the World's Labor,,,,PETER M. FLANIGANDONALD M. BLINKENMOSHE CARMILLYAMY B. UNFRIEDPETER HANDALWILLIAM G. TUCKERNEIL STEYSKALDAVID TYKULSKERWILLIAM J. VANDEN HEUVEL,"[{'firstname': 'Peter', 'middlename': None, 'lastname': None, 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 1}]",,A
6,,https://www.nytimes.com/1980/09/29/archives/dog-show.html,,,46,The New York Times,[],[],1980-09-29T05:00:00+0000,article,None,Archives,Archives,nyt://article/611b05d3-6bc8-5b58-8029-08bbd950e0d2,0,nyt://article/611b05d3-6bc8-5b58-8029-08bbd950e0d2,Dog Show,1,,Dog Show,,,,,[],,
7,,https://www.nytimes.com/1980/09/28/archives/obituary-2-no-title.html,,,44,The New York Times,[],[],1980-09-28T05:00:00+0000,article,None,Archives,Archives,nyt://article/aa20d40a-8aa9-5459-99ce-0b5cfa352457,0,nyt://article/aa20d40a-8aa9-5459-99ce-0b5cfa352457,Obituary 2 -- No Title,1,,Obituary 2 -- No Title,,,,,[],,
8,,https://www.nytimes.com/1980/09/28/archives/around-the-nation-southern-pacific-engineers-end-picketing-in-7.html,,,26,The New York Times,[],[],1980-09-28T05:00:00+0000,article,None,Archives,Archives,nyt://article/4badb549-17b0-5ae1-ac91-f71f8b8da7fb,0,nyt://article/4badb549-17b0-5ae1-ac91-f71f8b8da7fb,"Around the Nation; Southern Pacific Engineers End Picketing in 7 States Schools in Warwick, R.I., Due to Open Tomorrow Massachusetts Judge Orders Preview of TV News Series",1,,"Around the Nation; Southern Pacific Engineers End Picketing in 7 States Schools in Warwick, R.I., Due to Open Tomorrow Massachusetts Judge Orders Preview of TV News Series",,,,,[],,
9,,https://www.nytimes.com/1980/09/28/archives/arts-and-leisure-guide-of-special-interest-off-and-dancing-a-dig-in.html,,,43,The New York Times,[],[],1980-09-28T05:00:00+0000,article,None,Archives,Archives,nyt://article/0a4d7933-c5e3-50f4-8618-3dc9e511c371,0,nyt://article/0a4d7933-c5e3-50f4-8618-3dc9e511c371,"Arts and Leisure Guide; Of Special Interest Off and Dancing A ""Dig"" In Fashion Theater Opening This Week Broadway Now Previewing Off Broadway Off Off Broadway Tristate Canada Dance Film Opening This Week Recent Openings Music Opera Concerts Jazz Pop/Folk/Rock Art Galleries Uptown Arts and Leisure Guide Galleries 57th St. Galleries SoHo Museums Photography Miscellany",2,,"Arts and Leisure Guide; Of Special Interest Off and Dancing A ""Dig"" In Fashion Theater Opening This Week Broadway Now Previewing Off Broadway Off Off Broadway Tristate Canada Dance Film Opening This Week Recent Openings Music Opera Concerts Jazz Pop/Folk/Rock Art Galleries Uptown Arts and Leisure Guide Galleries 57th St. Galleries SoHo Museums Photography Miscellany",,,,Edited by Ann Barry,"[{'firstname': 'Edited', 'middlename': 'Ann', 'lastname': 'Barry', 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 1}]",,A
