,abstract,web_url,snippet,lead_paragraph,print_page,source,multimedia,keywords,pub_date,document_type,news_desk,section_name,type_of_material,_id,word_count,uri,headline_main,headline_kicker,headline_content_kicker,headline_print_headline,headline_name,headline_seo,headline_sub,byline_original,byline_person,byline_organization,print_section
0,,https://www.nytimes.com/1980/10/19/archives/marriage-announcement-15-no-title.html,,,66,The New York Times,[],[],1980-10-19T05:00:00+0000,article,None,Archives,Archives,nyt://article/9ee66526-f290-52e6-8ddb-1e632d960784,0,nyt://article/9ee66526-f290-52e6-8ddb-1e632d960784,Marriage Announcement 15 -- No Title,1,,Marriage Announcement 15 -- No Title,,,,,[],,
1,,https://www.nytimes.com/1980/10/19/archives/obituary-3-no-title.html,,,44,The New York Times,[],[],1980-10-19T05:00:00+0000,article,None,Archives,Archives,nyt://article/331773c4-fa09-5abf-866b-43a56ed0d746,0,nyt://article/331773c4-fa09-5abf-866b-43a56ed0d746,Obituary 3 -- No Title,1,,Obituary 3 -- No Title,,,,,[],,
2,,https://www.nytimes.com/1980/10/18/archives/obituary-6-no-title.html,,,30,The New York Times,[],[],1980-10-18T05:00:00+0000,article,None,Archives,Archives,nyt://article/c44393cb-5902-511d-82a4-1a8715dcc6f5,0,nyt://article/c44393cb-5902-511d-82a4-1a8715dcc6f5,Obituary 6 -- No Title,1,,Obituary 6 -- No Title,,,,,[],,M
3,"Libraries are for shushing, although in the dance, music and theater research collections of the Library of the Performing Arts at Lincoln Center an intent public seldom even sneezes. On Sunday afternoon, however, the library will take on an air of not-at-all unseemly frivolity when the Celebrity Auction returns after a five-year absence.  ",https://www.nytimes.com/1980/10/17/archives/celebrities-help-library-revive-benefit-auction-from-baton-to.html,,,18,The New York Times,[],[],1980-10-17T05:00:00+0000,article,None,Archives,Archives,nyt://article/acfba948-b93e-5e84-a39d-41f38db274d7,0,nyt://article/acfba948-b93e-5e84-a39d-41f38db274d7,Celebrities Help Library Revive Benefit Auction; From Baton to Bowler L.I. Philharmonic Opens 2d Year With 3 Concerts Sea Cliff Players' 11th Year,1,,Celebrities Help Library Revive Benefit Auction; From Baton to Bowler L.I. Philharmonic Opens 2d Year With 3 Concerts Sea Cliff Players' 11th Year,,,,By Jennifer Dunning,"[{'firstname': 'Jennifer', 'middlename': None, 'lastname': 'Dunning', 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 1}]",,T
4,,https://www.nytimes.com/1980/10/17/archives/weekend-movie-clock-manhattan-bronx-bronx-contd-brooklyn-staten.html,,,16,The New York Times,[],[],1980-10-17T05:00:00+0000,article,None,Archives,Archives,nyt://article/a6f136d4-d534-59a5-83da-296c60e1be41,0,nyt://article/a6f136d4-d534-59a5-83da-296c60e1be41,WEEKEND MOVIE CLOCK; MANHATTAN BRONX BRONX (Cont'd) BROOKLYN STATEN ISLAND QUEENS LONG ISLAND LONG ISLAND (Cont'd) ROCKLAND WESTCHESTER FAIRFIELD,1,,WEEKEND MOVIE CLOCK; MANHATTAN BRONX BRONX (Cont'd) BROOKLYN STATEN ISLAND QUEENS LONG ISLAND LONG ISLAND (Cont'd) ROCKLAND WESTCHESTER FAIRFIELD,,,,,[],,T
5,,https://www.nytimes.com/1980/10/13/archives/sports-news-briefs-mcenroe-captures-south-pacific-final-lendl-beats.html,,,2,The New York Times,[],[],1980-10-13T05:00:00+0000,article,None,Archives,Archives,nyt://article/305bdf22-455f-54ca-8a12-c640833c3b3d,0,nyt://article/305bdf22-455f-54ca-8a12-c640833c3b3d,Sports News Briefs; McEnroe Captures South Pacific Final Lendl Beats Vilas In Barcelona Phoenix Event Won By Miss Marsikova Solomon Triumphs In Tel Aviv Tennis Williwaw Triumphs On Manhasset Bay Halldorson's 275 Wins Pensacola Golf Miss Alcott Is Victor By 4 Shots on Coast Cosmos 2-0 Victors ,1,,Sports News Briefs; McEnroe Captures South Pacific Final Lendl Beats Vilas In Barcelona Phoenix Event Won By Miss Marsikova Solomon Triumphs In Tel Aviv Tennis Williwaw Triumphs On Manhasset Bay Halldorson's 275 Wins Pensacola Golf Miss Alcott Is Victor By 4 Shots on Coast Cosmos 2-0 Victors ,,,,,[],,S
6,"Jill Harrison, coordinator of the National Alumni Club program and a development officer at Columbia University, was married at noon yesterday to Herbert Bloom, executive producer of ""New Jersey Nightly News,"" a presentation of New Jersey Public ...  ",https://www.nytimes.com/1980/10/13/archives/jill-harrison-is-married-to-herbert-bloom-tv-producer.html,,,21,The New York Times,[],[],1980-10-13T05:00:00+0000,article,None,Archives,Archives,nyt://article/983de8ab-1727-5128-852b-671ca3462d06,0,nyt://article/983de8ab-1727-5128-852b-671ca3462d06,"Jill Harrison Is Married to Herbert Bloom, TV Producer",1,,"Jill Harrison Is Married to Herbert Bloom, TV Producer",,,,,[],,A
7,"A fossil fish tail the width of the finder's wedding band was discovered yesterday embedded inside a dark gray rock, and although everyone seemed pleased, no one seemed surprised. Last year the fossil remains of a flying lizard were discovered at the same site.  ",https://www.nytimes.com/1980/10/13/archives/for-geologists-finding-fossils-makes-jersey-outing-worth-the-trip-a.html,,,2,The New York Times,[],[],1980-10-13T05:00:00+0000,article,None,Archives,Archives,nyt://article/75885ce1-3c00-5c05-b63b-dc722691b964,0,nyt://article/75885ce1-3c00-5c05-b63b-dc722691b964,"For Geologists, Finding Fossils Makes Jersey Outing Worth the Trip; A Painted Memory 'A Funny Science' 'A Great Sound' ",1,,"For Geologists, Finding Fossils Makes Jersey Outing Worth the Trip; A Painted Memory 'A Funny Science' 'A Great Sound' ",,,,,[],,M
8,,https://www.nytimes.com/1980/10/12/archives/westchester-weekly-westchester-guide-a-village-wooing-time-for-the.html,,,15,The New York Times,[],[],1980-10-12T05:00:00+0000,article,None,Archives,Archives,nyt://article/c0d8221f-46de-524f-bd21-8502ff4aad9d,0,nyt://article/c0d8221f-46de-524f-bd21-8502ff4aad9d,WESTCHESTER GUIDE; 'A VILLAGE WOOING' TIME FOR THE MUMS AGAIN HEALTH CARE'S FUTURE ALL THE BEST HASTINGS BOOK SALE ,1,,WESTCHESTER GUIDE; 'A VILLAGE WOOING' TIME FOR THE MUMS AGAIN HEALTH CARE'S FUTURE ALL THE BEST HASTINGS BOOK SALE ,,,,Eleanor Charles,"[{'firstname': 'Eleanor', 'middlename': None, 'lastname': 'Charles', 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 1}]",,W
9,,https://www.nytimes.com/1980/10/12/archives/obituary-4-no-title.html,,,44,The New York Times,[],[],1980-10-12T05:00:00+0000,article,None,Archives,Archives,nyt://article/5e73d53b-68b2-5f47-b275-209c0d570d4d,0,nyt://article/5e73d53b-68b2-5f47-b275-209c0d570d4d,Obituary 4 -- No Title,1,,Obituary 4 -- No Title,,,,,[],,
