,abstract,web_url,snippet,lead_paragraph,source,multimedia,keywords,pub_date,document_type,news_desk,section_name,subsection_name,type_of_material,_id,word_count,uri,headline_main,headline_kicker,headline_content_kicker,headline_print_headline,headline_name,headline_seo,headline_sub,byline_original,byline_person,byline_organization,print_section,print_page
0,"In their boisterous presidential debate, several Democrats sold short the health care plans of rivals or glossed over aspects of their own record. In an audacious league of his own, President Donald Trump celebrated the elimination of a tax that still exists and went deep and wide in distorting what he's done in office.",https://www.nytimes.com/aponline/2020/02/22/us/politics/ap-us-fact-check-week.html,"In their boisterous presidential debate, several Democrats sold short the health care plans of rivals or glossed over aspects of their own record. In an audacious league of his own, President Donald Trump celebrated the elimination of a tax that s...","WASHINGTON — In their boisterous presidential debate, several Democrats sold short the health care plans of rivals or glossed over aspects of their own record. In an audacious league of his own, President Donald Trump celebrated the elimination of a tax that still exists and went deep and wide in distorting what he's done in office.",AP,[],[],2020-02-22T13:35:21+0000,article,None,U.S.,Politics,News,nyt://article/803e57be-c458-5a6c-abe7-e0c3f0f26022,2102,nyt://article/803e57be-c458-5a6c-abe7-e0c3f0f26022,AP FACT CHECK: Donald Trump and the Audacity of Hype,,,AP FACT CHECK: Donald Trump and the Audacity of Hype,,,,By The Associated Press,[],The Associated Press,,
1,Who's got the goods on health care policy? That question was an undercurrent in the feisty Democratic presidential debate as rivals stood accused of being lightweights who have done little more than put up Post-it notes or slideshows on the subject. ,https://www.nytimes.com/aponline/2020/02/19/us/politics/ap-us-election-2020-debate-fact-check.html,Who's got the goods on health care policy? That question was an undercurrent in the feisty Democratic presidential debate as rivals stood accused of being lightweights who have done little more than put up Post-it notes or slideshows on the subjec...,WASHINGTON — Who's got the goods on health care policy? That question was an undercurrent in the feisty Democratic presidential debate as rivals stood accused of being lightweights who have done little more than put up Post-it notes or slideshows on the subject. ,AP,[],[],2020-02-20T03:32:52+0000,article,None,U.S.,Politics,News,nyt://article/28168534-0d72-5381-8454-dbd59655c193,1067,nyt://article/28168534-0d72-5381-8454-dbd59655c193,AP FACT CHECK: Dems' Sticky Health Debate; Trump's Rally,,,AP FACT CHECK: Dems' Sticky Health Debate; Trump's Rally,,,,By The Associated Press,[],The Associated Press,,
2,,https://www.nytimes.com/1980/12/31/archives/marriage-announcement-6-no-title.html,,,The New York Times,[],[],1980-12-31T05:00:00+0000,article,None,Archives,,Archives,nyt://article/b3240f14-f924-537c-b90c-2d00de37e669,0,nyt://article/b3240f14-f924-537c-b90c-2d00de37e669,Marriage Announcement 6 -- No Title,1,,Marriage Announcement 6 -- No Title,,,,,[],,S,41
3,"Amy Eileen Haidinger, daughter of Mr. and Mrs. Robert N. Haidinger of Riverside, Conn., was married there yesterday to Walter McNeill Rand, son of Mrs. Stanley Rand Jr. of Riverside and the late Mr. Rand.  ",https://www.nytimes.com/1980/12/31/archives/walter-rand-insurance-aide-weds-amy-eileen-haidinger.html,,,The New York Times,[],[],1980-12-31T05:00:00+0000,article,None,Archives,,Archives,nyt://article/1de9770b-33eb-5d8b-8810-10aefcc7767f,0,nyt://article/1de9770b-33eb-5d8b-8810-10aefcc7767f,"Walter Rand, Insurance Aide, Weds Amy Eileen Haidinger",1,,"Walter Rand, Insurance Aide, Weds Amy Eileen Haidinger",,,,,[],,S,41
4,"Eddie Belmonte, one of the most successful riders of the late 1960's, was suspended yesterday as a jockey agent by the New York State Racing and Wagering Board in an outgrowth of the board's investigation into race-fixing.  ",https://www.nytimes.com/1980/12/31/archives/exjockey-accused-jockeyturnedagent-suspended-in-inquiry-suffered.html,,,The New York Times,[],[],1980-12-31T05:00:00+0000,article,None,Archives,,Archives,nyt://article/d356740f-819e-5c8c-8ce7-f9685132aefa,0,nyt://article/d356740f-819e-5c8c-8ce7-f9685132aefa,Ex-Jockey Accused; Jockey-Turned-Agent Suspended in Inquiry Suffered Personal Problems,2,,Ex-Jockey Accused; Jockey-Turned-Agent Suspended in Inquiry Suffered Personal Problems,,,,By James Tuite,"[{'firstname': 'James', 'middlename': None, 'lastname': 'Tuite', 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 1}]",,S,9
5,"In one important respect, European bridge organizers are ahead of their colleagues on this side of the Atlantic: They make considerable efforts to encourage young players to take up the game. In Sweden and the Netherlands, bridge is taught in schools with the aid of Government subsidies.  ",https://www.nytimes.com/1980/12/29/archives/bridge-european-organizers-help-encourage-young-players-two.html,,,The New York Times,[],[],1980-12-29T05:00:00+0000,article,None,Archives,,Archives,nyt://article/8e372127-796b-5dc2-8bb3-3d3d90bf1397,0,nyt://article/8e372127-796b-5dc2-8bb3-3d3d90bf1397,Bridge:; European Organizers Help Encourage Young Players Two Overtricks Made ,1,,Bridge:; European Organizers Help Encourage Young Players Two Overtricks Made ,,,,By Alan Truscott,"[{'firstname': 'Alan', 'middlename': None, 'lastname': 'Truscott', 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 1}]",,S,18
6,"North Carolina State captured the Holiday Festival at Madison Square Garden last night with a 64-55 victory over St. John's, the winner of last year's tournament.  ",https://www.nytimes.com/1980/12/28/archives/nc-state-takes-festival-final-lowe-is-voted-mvp-dynamic-backcourt.html,,,The New York Times,[],[],1980-12-28T05:00:00+0000,article,None,Archives,,Archives,nyt://article/efeb5e8c-3755-5e68-92a0-e337abda22a2,0,nyt://article/efeb5e8c-3755-5e68-92a0-e337abda22a2,"N.C. State Takes Festival Final; Lowe Is Voted M.V.P. Dynamic Backcourt North Carolina State Triumphs Springer in Foul Trouble Long Island U. 71, Cameron 64 North Carolina-Charlotte 75, Northeastern 62 Brooklyn 82, Stony Brook 71 Baruch 96, Dominican 88 Purdue 95, Florida 87 Minnesota 72, Texas Tech 56 Illinois 93, Oklahoma 63 Queens Topples Temple In Women's Basketball",2,,"N.C. State Takes Festival Final; Lowe Is Voted M.V.P. Dynamic Backcourt North Carolina State Triumphs Springer in Foul Trouble Long Island U. 71, Cameron 64 North Carolina-Charlotte 75, Northeastern 62 Brooklyn 82, Stony Brook 71 Baruch 96, Dominican 88 Purdue 95, Florida 87 Minnesota 72, Texas Tech 56 Illinois 93, Oklahoma 63 Queens Topples Temple In Women's Basketball",,,,By Alex Yannis,"[{'firstname': 'Alex', 'middlename': None, 'lastname': 'Yannis', 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 1}]",,S,1
7,,https://www.nytimes.com/1980/12/28/archives/winners-of-individual-and-team-championships-during-1980-archery.html,,,The New York Times,[],[],1980-12-28T05:00:00+0000,article,None,Archives,,Archives,nyt://article/52901552-d661-5e10-9120-083801a32af1,0,nyt://article/52901552-d661-5e10-9120-083801a32af1,Winners of Individual and Team Championships During 1980; Archery Auto Racing Badminton Baseball Basketball Billiards Bobsledding Bowling Boxing Canoeing Court Tennis Cricket Croquet Cross Country Curling Cycling Darts Disabled Olympics Dog Shows Fencing Field Hockey Football Golf Gymnastics Handball Harness Racing Hockey Horse Racing Horseshoe Pitching Horse Shows Ice Skating Karate Lacrosse Luge Modern Pentathlon Motorboating Motorcycling Paddleball Paddle Tennis Platform Tennis Polo Quarter Horse Racing Racquetball Racquets Rodeo Roller Skating Rugby Rowing Shuffleboard Skiing Soccer Softball Squash Racquets Squash Tennis Swimming Winners of Individual and Team Championships During 1980 Table Tennis Team Handball Tennis Track and Field Volleyball Weight Lifting Wrestling Yachting,2,,Winners of Individual and Team Championships During 1980; Archery Auto Racing Badminton Baseball Basketball Billiards Bobsledding Bowling Boxing Canoeing Court Tennis Cricket Croquet Cross Country Curling Cycling Darts Disabled Olympics Dog Shows Fencing Field Hockey Football Golf Gymnastics Handball Harness Racing Hockey Horse Racing Horseshoe Pitching Horse Shows Ice Skating Karate Lacrosse Luge Modern Pentathlon Motorboating Motorcycling Paddleball Paddle Tennis Platform Tennis Polo Quarter Horse Racing Racquetball Racquets Rodeo Roller Skating Rugby Rowing Shuffleboard Skiing Soccer Softball Squash Racquets Squash Tennis Swimming Winners of Individual and Team Championships During 1980 Table Tennis Team Handball Tennis Track and Field Volleyball Weight Lifting Wrestling Yachting,,,,,[],,S,7
8,"There's always a silver lining: In a year made memorable mostly by the number and the dimension of its flops, it's easy to pick the year's 10 best movies. When so many films are grossly funny in the unintentional ways of ""Heart Beat,"" ""The Blue...  ",https://www.nytimes.com/1980/12/28/archives/film-view-the-best-came-from-directors-with-strong-visions-film.html,,,The New York Times,[],[],1980-12-28T05:00:00+0000,article,None,Archives,,Archives,nyt://article/57e2eda6-ffde-530e-a8a1-c9eb41d8fe6b,0,nyt://article/57e2eda6-ffde-530e-a8a1-c9eb41d8fe6b,FILM VIEW; The Best Came From Directors With Strong Visions FILM VIEW,2,,FILM VIEW; The Best Came From Directors With Strong Visions FILM VIEW,,,,VINCENT CANBY,"[{'firstname': 'Vincent', 'middlename': None, 'lastname': 'CANBY', 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 1}]",,A,15
9,,https://www.nytimes.com/1980/12/28/archives/connecticut-weekly-letter-to-the-connecticut-editor-darien-school.html,,,The New York Times,[],[],1980-12-28T05:00:00+0000,article,None,Archives,,Archives,nyt://article/a97d93cb-6171-5576-9b10-16ad7e0910b4,0,nyt://article/a97d93cb-6171-5576-9b10-16ad7e0910b4,LETTER TO THE CONNECTICUT EDITOR; Darien School Board Responds to Auditor,1,,LETTER TO THE CONNECTICUT EDITOR; Darien School Board Responds to Auditor,,,,DARIEN BOARD OF EDUCATION,"[{'firstname': 'Darien', 'middlename': 'Board', 'lastname': 'OF', 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 1}]",,C,16
