,abstract,web_url,snippet,lead_paragraph,print_page,source,multimedia,keywords,pub_date,document_type,news_desk,section_name,type_of_material,_id,word_count,uri,headline_main,headline_kicker,headline_content_kicker,headline_print_headline,headline_name,headline_seo,headline_sub,byline_original,byline_person,byline_organization,print_section
0,,https://www.nytimes.com/1968/09/29/archives/child-to-mrs-nieporent.html,,,88,The New York Times,[],[],1968-09-29T05:00:00+0000,article,None,Archives,Archives,nyt://article/c1131a38-011d-50a2-a6c8-bbe3ab20fbea,0,nyt://article/c1131a38-011d-50a2-a6c8-bbe3ab20fbea,Child to Mrs. Nieporent,1,,Child to Mrs. Nieporent,,,,,[],,
1,Por,https://www.nytimes.com/1968/09/29/archives/-its-incredible-what-you-cant-say-mornings-joan-rivers.html,Por,,23,The New York Times,[],"[{'name': 'persons', 'value': 'Rivers, Joan', 'rank': 1, 'major': 'N'}]",1968-09-29T05:00:00+0000,article,None,Archives,Archives,nyt://article/75347922-bfb6-53ed-8db2-331a2b2b2526,0,nyt://article/75347922-bfb6-53ed-8db2-331a2b2b2526,' It's Incredible What You Can't Say Mornings'; Joan Rivers,,,' It's Incredible What You Can't Say Mornings'; Joan Rivers,,,,By Tom Burke,"[{'firstname': 'Tom', 'middlename': None, 'lastname': 'Burke', 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 1}]",,D
2,E Janeway article on 100th anniv of L M Alcott's Little Women; illus,https://www.nytimes.com/1968/09/29/archives/meg-jo-beth-amy-and-louisa.html,E Janeway article on 100th anniv of L M Alcott's Little Women; illus,,42,The New York Times,[],"[{'name': 'persons', 'value': 'ALCOTT, LOUISA MAY', 'rank': 1, 'major': 'N'}, {'name': 'subject', 'value': 'Books and Literature', 'rank': 2, 'major': 'N'}, {'name': 'subject', 'value': ""CHILDREN'S READING"", 'rank': 3, 'major': 'N'}]",1968-09-29T05:00:00+0000,article,None,Archives,Archives,nyt://article/5481d821-3b38-5c6e-a8d6-a1e91a0ecd50,0,nyt://article/5481d821-3b38-5c6e-a8d6-a1e91a0ecd50,"Meg, Jo, Beth, Amy and Louisa",,,"Meg, Jo, Beth, Amy and Louisa",,,,By Elizabeth Janeway,"[{'firstname': 'Elizabeth', 'middlename': None, 'lastname': 'Janeway', 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 1}]",,BR
3,,https://www.nytimes.com/1968/09/29/archives/birth-notice-1-no-title.html,,,87,The New York Times,[],[],1968-09-29T05:00:00+0000,article,None,Archives,Archives,nyt://article/634f0c0f-3072-5da2-882b-b1a4ee50ca10,0,nyt://article/634f0c0f-3072-5da2-882b-b1a4ee50ca10,Birth Notice 1 -- No Title,1,,Birth Notice 1 -- No Title,,,,,[],,
4,,https://www.nytimes.com/1968/09/28/archives/obituary-1-no-title.html,,,33,The New York Times,[],[],1968-09-28T05:00:00+0000,article,None,Archives,Archives,nyt://article/b8bab6a2-034c-5a4e-ad4c-e2ae52966cfd,0,nyt://article/b8bab6a2-034c-5a4e-ad4c-e2ae52966cfd,Obituary 1 -- No Title,1,,Obituary 1 -- No Title,,,,,[],,
5,Father dies; illus,https://www.nytimes.com/1968/09/26/archives/obituary-1-no-title.html,Father dies; illus,,47,The New York Times,[],"[{'name': 'persons', 'value': 'THEOBALD, JOHN J', 'rank': 1, 'major': 'N'}]",1968-09-26T05:00:00+0000,article,None,Archives,Archives,nyt://article/0568ac02-08a6-52c7-b518-e455dc753d73,0,nyt://article/0568ac02-08a6-52c7-b518-e455dc753d73,Obituary 1 -- No Title,,,Obituary 1 -- No Title,,,,,[],,
6,,https://www.nytimes.com/1968/09/25/archives/obituary-1-no-title.html,,,47,The New York Times,[],[],1968-09-25T05:00:00+0000,article,None,Archives,Archives,nyt://article/9f94dc1e-834a-5e6a-8da7-db577e952db5,0,nyt://article/9f94dc1e-834a-5e6a-8da7-db577e952db5,Obituary 1 -- No Title,1,,Obituary 1 -- No Title,,,,,[],,
7,"The Letters of Carl Sandburg, ed by Mitgang, revd; illus",https://www.nytimes.com/1968/09/25/archives/books-of-the-times-in-his-own-words.html,"The Letters of Carl Sandburg, ed by Mitgang, revd; illus",,45,The New York Times,[],"[{'name': 'persons', 'value': 'HERBERT MITGANG', 'rank': 1, 'major': 'N'}, {'name': 'persons', 'value': 'Sandburg, Carl', 'rank': 2, 'major': 'N'}, {'name': 'persons', 'value': 'Sandburg, Carl', 'rank': 3, 'major': 'N'}, {'name': 'persons', 'value': 'Mitgang, Herbert', 'rank': 4, 'major': 'N'}, {'name': 'subject', 'value': 'BOOK REVIEWS', 'rank': 5, 'major': 'N'}, {'name': 'subject', 'value': 'BOOK REVIEWS', 'rank': 6, 'major': 'N'}, {'name': 'creative_works', 'value': 'LETTERS OF CARL SANDBURG, THE', 'rank': 7, 'major': 'N'}, {'name': 'creative_works', 'value': 'THE LETTERS OF CARL SANDBURG', 'rank': 8, 'major': 'N'}]",1968-09-25T05:00:00+0000,article,None,Archives,Archives,nyt://article/2c67ddbf-65de-54ce-8849-3cf4b2013e87,0,nyt://article/2c67ddbf-65de-54ce-8849-3cf4b2013e87,Books of The Times; In His Own Words,,,Books of The Times; In His Own Words,,,,By Thomas Lask,"[{'firstname': 'Thomas', 'middlename': None, 'lastname': 'Lask', 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 1}]",,
8,,https://www.nytimes.com/1968/09/24/archives/obituary-1-no-title.html,,,47,The New York Times,[],[],1968-09-24T05:00:00+0000,article,None,Archives,Archives,nyt://article/412edb54-ad3d-5b83-9dc0-0adc7b384548,0,nyt://article/412edb54-ad3d-5b83-9dc0-0adc7b384548,Obituary 1 -- No Title,1,,Obituary 1 -- No Title,,,,,[],,
9,"WEST SPRINGFIELD, Mass., Sept. 22 -- Aldie Belle squeezed through to win the regular working hunter championship today at the closing session of the Eastern States horse show.  ",https://www.nytimes.com/1968/09/23/archives/aldie-belle-takes-horse-show-title-at-west-springfield.html,,,47,The New York Times,[],[],1968-09-23T05:00:00+0000,article,None,Archives,Archives,nyt://article/0c009852-2cfe-5cea-8b08-ff4c1fc65eb9,0,nyt://article/0c009852-2cfe-5cea-8b08-ff4c1fc65eb9,Aldie Belle Takes Horse Show Title At West Springfield,1,,Aldie Belle Takes Horse Show Title At West Springfield,,,,Special to The New York Times,"[{'firstname': None, 'middlename': None, 'lastname': None, 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 1}]",,
