,abstract,web_url,snippet,lead_paragraph,print_page,source,multimedia,keywords,pub_date,document_type,news_desk,section_name,type_of_material,_id,word_count,uri,headline_main,headline_kicker,headline_content_kicker,headline_print_headline,headline_name,headline_seo,headline_sub,byline_original,byline_person,byline_organization
0,,https://www.nytimes.com/1968/05/26/archives/miss-pamela-marsters-is-wed-to-mark-hanson-an-engineer.html,,,81,The New York Times,[],[],1968-05-26T05:00:00+0000,article,None,Archives,Archives,nyt://article/f57204cf-3824-5c99-bccf-332a8d18621b,0,nyt://article/f57204cf-3824-5c99-bccf-332a8d18621b,"Miss Pamela Marsters Is Wed To Mark Hanson, an Engineer",1,,"Miss Pamela Marsters Is Wed To Mark Hanson, an Engineer",,,,,[],
1,,https://www.nytimes.com/1968/05/26/archives/birth-notice-1-no-title.html,,,82,The New York Times,[],[],1968-05-26T05:00:00+0000,article,None,Archives,Archives,nyt://article/6adac19c-dee2-53bb-b235-86a455408747,0,nyt://article/6adac19c-dee2-53bb-b235-86a455408747,Birth Notice 1 -- No Title,1,,Birth Notice 1 -- No Title,,,,,[],
2,,https://www.nytimes.com/1968/05/23/archives/obituary-1-no-title.html,,,47,The New York Times,[],[],1968-05-23T05:00:00+0000,article,None,Archives,Archives,nyt://article/eb6e6724-2bd6-5b7e-9c7d-6564832ea95f,0,nyt://article/eb6e6724-2bd6-5b7e-9c7d-6564832ea95f,Obituary 1 -- No Title,1,,Obituary 1 -- No Title,,,,,[],
3,funeral plans,https://www.nytimes.com/1968/05/22/archives/obituary-1-no-title.html,funeral plans,,47,The New York Times,[],"[{'name': 'persons', 'value': 'LEV, RAY', 'rank': 1, 'major': 'N'}, {'name': 'subject', 'value': 'DEATHS', 'rank': 2, 'major': 'N'}]",1968-05-22T05:00:00+0000,article,None,Archives,Archives,nyt://article/86e4ad5d-ec0a-55bf-b1a9-9121c233bd99,0,nyt://article/86e4ad5d-ec0a-55bf-b1a9-9121c233bd99,Obituary 1 -- No Title,,,Obituary 1 -- No Title,,,,,[],
4,,https://www.nytimes.com/1968/05/21/archives/obituary-1-no-title.html,,,47,The New York Times,[],[],1968-05-21T05:00:00+0000,article,None,Archives,Archives,nyt://article/eb5b3e0e-e5b9-5c0d-80f8-9cc5e65ca851,0,nyt://article/eb5b3e0e-e5b9-5c0d-80f8-9cc5e65ca851,Obituary 1 -- No Title,1,,Obituary 1 -- No Title,,,,,[],
5,,https://www.nytimes.com/1968/05/20/archives/obituary-1-no-title.html,,,47,The New York Times,[],[],1968-05-20T05:00:00+0000,article,None,Archives,Archives,nyt://article/c340affc-bd4b-5b44-a082-c846b1450554,0,nyt://article/c340affc-bd4b-5b44-a082-c846b1450554,Obituary 1 -- No Title,1,,Obituary 1 -- No Title,,,,,[],
6,,https://www.nytimes.com/1968/05/19/archives/obituary-1-no-title.html,,,86,The New York Times,[],[],1968-05-19T05:00:00+0000,article,None,Archives,Archives,nyt://article/14a6cd56-d0ae-593c-b1a0-8f7e7ab3b362,0,nyt://article/14a6cd56-d0ae-593c-b1a0-8f7e7ab3b362,Obituary 1 -- No Title,2,,Obituary 1 -- No Title,,,,,[],
7,,https://www.nytimes.com/1968/05/19/archives/amy-williams-wellesley-66-married-to-edward-s-bent.html,,,91,The New York Times,[],[],1968-05-19T05:00:00+0000,article,None,Archives,Archives,nyt://article/462cac64-02af-5f69-b347-7d3635cd0974,0,nyt://article/462cac64-02af-5f69-b347-7d3635cd0974,"Amy Williams, Wellesley '66 Married to Edward S. Bent",1,,"Amy Williams, Wellesley '66 Married to Edward S. Bent",,,,Special to The New York Times,"[{'firstname': None, 'middlename': None, 'lastname': None, 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 1}]",
8,,https://www.nytimes.com/1968/05/17/archives/obituary-1-no-title.html,,,47,The New York Times,[],[],1968-05-17T05:00:00+0000,article,None,Archives,Archives,nyt://article/41972634-dbcb-51d5-a112-859e4db080c7,0,nyt://article/41972634-dbcb-51d5-a112-859e4db080c7,Obituary 1 -- No Title,1,,Obituary 1 -- No Title,,,,,[],
9,"Dies, 76; por",https://www.nytimes.com/1968/05/15/archives/william-p-kennedy-dies-at-76-led-trainmens-union-13-years.html,"Dies, 76; por",,47,The New York Times,[],"[{'name': 'persons', 'value': 'KENNEDY, WILLIAM PARKER', 'rank': 1, 'major': 'N'}, {'name': 'persons', 'value': 'KENNEDY, WILLIAM PARKER', 'rank': 2, 'major': 'N'}, {'name': 'subject', 'value': 'DEATHS', 'rank': 3, 'major': 'N'}]",1968-05-15T05:00:00+0000,article,None,Archives,Archives,nyt://article/52dba161-897b-5ff2-b5df-e7aa08c66b8e,0,nyt://article/52dba161-897b-5ff2-b5df-e7aa08c66b8e,William P. Kennedy Dies at 76; Led Trainmen's Union 13 Years; Brotherhood Head Clashed With Truman on Strike During Korean War,,,William P. Kennedy Dies at 76; Led Trainmen's Union 13 Years; Brotherhood Head Clashed With Truman on Strike During Korean War,,,,Special to The New York Times,"[{'firstname': None, 'middlename': None, 'lastname': None, 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 1}]",
