,abstract,web_url,snippet,lead_paragraph,print_section,print_page,source,multimedia,keywords,pub_date,document_type,news_desk,section_name,type_of_material,_id,word_count,uri,headline_main,headline_kicker,headline_content_kicker,headline_print_headline,headline_name,headline_seo,headline_sub,byline_original,byline_person,byline_organization
0,,https://www.nytimes.com/1980/08/24/archives/coming-attractions-this-fall.html,,,A,17,The New York Times,[],[],1980-08-24T05:00:00+0000,article,None,Archives,Archives,nyt://article/48b9c824-7f4a-5fba-9049-0ce100982ba5,0,nyt://article/48b9c824-7f4a-5fba-9049-0ce100982ba5,COMING ATTRACTIONS THIS FALL,1,,COMING ATTRACTIONS THIS FALL,,,,,[],
1,"We'll be spending the fall movie season back on earth, or so it appears. Few budgets are expected to go sky-high  and, at least for the time being, the technology of the future is a thing of the past.  ",https://www.nytimes.com/1980/08/24/archives/film-the-earth-strikes-back-earthly-concerns-lovers-and-cutups.html,,,A,1,The New York Times,[],[],1980-08-24T05:00:00+0000,article,None,Archives,Archives,nyt://article/47ef7572-b91b-5514-b83f-1f67f8aac461,0,nyt://article/47ef7572-b91b-5514-b83f-1f67f8aac461,"Film: The Earth Strikes Back; Earthly Concerns, Lovers and Cut-ups Spice the Season",2,,"Film: The Earth Strikes Back; Earthly Concerns, Lovers and Cut-ups Spice the Season",,,,By Janet Maslin,"[{'firstname': 'Janet', 'middlename': None, 'lastname': 'Maslin', 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 1}]",
2,,https://www.nytimes.com/1980/08/24/archives/arts-and-leisure-guide-of-special-interest-outdoor-movies-the-opera.html,,,A,32,The New York Times,[],[],1980-08-24T05:00:00+0000,article,None,Archives,Archives,nyt://article/0975bbee-ef9f-534f-95ac-08a3cb120faf,0,nyt://article/0975bbee-ef9f-534f-95ac-08a3cb120faf,Arts and Leisure Guide; Of Special Interest Outdoor Movies The Opera Season Folk Fare Theater Dance Film Music Arts and Leisure Guide Art Photography Miscellany,2,,Arts and Leisure Guide; Of Special Interest Outdoor Movies The Opera Season Folk Fare Theater Dance Film Music Arts and Leisure Guide Art Photography Miscellany,,,,Edited by Ann Barry,"[{'firstname': 'Edited', 'middlename': 'Ann', 'lastname': 'Barry', 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 1}]",
3,,https://www.nytimes.com/1980/08/23/archives/obituary-5-no-title.html,,,,11,The New York Times,[],[],1980-08-23T05:00:00+0000,article,None,Archives,Archives,nyt://article/1b0e9eae-eea1-51d9-9312-8f868cce6637,0,nyt://article/1b0e9eae-eea1-51d9-9312-8f868cce6637,Obituary 5 -- No Title,1,,Obituary 5 -- No Title,,,,,[],
4,"SAN FRANCISCO, Aug. 21 In a hotel conference room packed with 60 other children, a 7-year-old listens to tapes of ocean waves, reveals her shyness and is shouted at by a stranger.  ",https://www.nytimes.com/1980/08/22/archives/the-business-of-teaching-children-theyre-in-charge-of-their-lives.html,,,B,15,The New York Times,[],[],1980-08-22T05:00:00+0000,article,None,Archives,Archives,nyt://article/c01f35df-3afe-5bbc-aa7d-777f989c9521,0,nyt://article/c01f35df-3afe-5bbc-aa7d-777f989c9521,The Business of Teaching Children They're in Charge of Their Lives; 'Taking Responsibility' The Parents Went First ,1,,The Business of Teaching Children They're in Charge of Their Lives; 'Taking Responsibility' The Parents Went First ,,,,By Nadine Joseph Special To the New York Times,"[{'firstname': 'Nadine', 'middlename': 'Joseph', 'lastname': 'Special', 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 1}]",
5,,https://www.nytimes.com/1980/08/20/archives/going-out-guide-alexanders-band-two-to-the-fore-shangrila-to.html,,,T,17,The New York Times,[],[],1980-08-20T05:00:00+0000,article,None,Archives,Archives,nyt://article/da2f515c-b2e4-526d-b419-4807d127b4b7,0,nyt://article/da2f515c-b2e4-526d-b419-4807d127b4b7,GOING OUT Guide; ALEXANDER'S BAND TWO TO THE FORE SHANGRI-LA TO RUSHMORE,1,,GOING OUT Guide; ALEXANDER'S BAND TWO TO THE FORE SHANGRI-LA TO RUSHMORE,,,,Howard Thompson,"[{'firstname': 'Howard', 'middlename': None, 'lastname': 'Thompson', 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 1}]",
6,,https://www.nytimes.com/1980/08/20/archives/obituary-2-no-title.html,,,M,10,The New York Times,[],[],1980-08-20T05:00:00+0000,article,None,Archives,Archives,nyt://article/020e7f8e-352f-5a37-b08d-f4016df73896,0,nyt://article/020e7f8e-352f-5a37-b08d-f4016df73896,Obituary 2 -- No Title,1,,Obituary 2 -- No Title,,,,,[],
7,,https://www.nytimes.com/1980/08/20/archives/obituary-1-no-title.html,,,M,10,The New York Times,[],[],1980-08-20T05:00:00+0000,article,None,Archives,Archives,nyt://article/1c6585c3-b3f0-59a0-a4d8-55cc1f485030,0,nyt://article/1c6585c3-b3f0-59a0-a4d8-55cc1f485030,Obituary 1 -- No Title,1,,Obituary 1 -- No Title,,,,,[],
8,,https://www.nytimes.com/1980/08/19/archives/obituary-2-no-title.html,,,M,8,The New York Times,[],[],1980-08-19T05:00:00+0000,article,None,Archives,Archives,nyt://article/10fc3917-95a6-5d64-97c4-735e4f096402,0,nyt://article/10fc3917-95a6-5d64-97c4-735e4f096402,Obituary 2 -- No Title,1,,Obituary 2 -- No Title,,,,,[],
9,"WASHINGTON, Aug. 17 ""The mountain-moving day is coming. All sleeping women now awake and move,"" wrote the Japanese poet Yosano Akiko in 1911. Four hundred women took her lines as their theme this weekend when they met here for...  ",https://www.nytimes.com/1980/08/18/archives/asianamerican-women-a-bid-for-visibility.html,,,F,9,The New York Times,[],[],1980-08-18T05:00:00+0000,article,None,Archives,Archives,nyt://article/403dc460-b455-5a12-bc32-c7a54dc7b20d,0,nyt://article/403dc460-b455-5a12-bc32-c7a54dc7b20d,Asian-American Women: A Bid for Visibility,1,,Asian-American Women: A Bid for Visibility,,,,Special to The New York Times,"[{'firstname': None, 'middlename': None, 'lastname': None, 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 1}]",
