,abstract,web_url,snippet,lead_paragraph,print_page,source,multimedia,keywords,pub_date,document_type,news_desk,section_name,type_of_material,_id,word_count,uri,headline_main,headline_kicker,headline_content_kicker,headline_print_headline,headline_name,headline_seo,headline_sub,byline_original,byline_person,byline_organization
0,"Woodruff, G Bertram (Col)",https://www.nytimes.com/1969/11/22/archives/obituary-1-no-title.html,"Woodruff, G Bertram (Col)",,37,The New York Times,[],"[{'name': 'persons', 'value': 'WOODRUFF, G BERTRAM', 'rank': 1, 'major': 'N'}, {'name': 'subject', 'value': 'DEATHS', 'rank': 2, 'major': 'N'}]",1969-11-22T05:00:00+0000,article,None,Archives,Archives,nyt://article/b4269197-2258-5b9a-8a6d-15b5ef3419dd,0,nyt://article/b4269197-2258-5b9a-8a6d-15b5ef3419dd,Obituary 1 -- No Title,,,Obituary 1 -- No Title,,,,,[],
1,"NY Times survey of S Vietnamese mil preparedness; says S Vietnamese Army has been given new equipment, has undergone untold hrs of training and has backing of US, but S Vietnamese soldier is largely untested in major combat and problem of motivating him is critical one for main-line divs; lack of motivation stems from war-weariness, low pay and bad living conditions; primary factor said to be lack of leadership; details",https://www.nytimes.com/1969/11/21/archives/south-vietnamese-soldier-still-untested-in-major-combat-shows.html,"NY Times survey of S Vietnamese mil preparedness; says S Vietnamese Army has been given new equipment, has undergone untold hrs of training and has backing of US, but S Vietnamese soldier is largely untested in major combat and problem of motivati...",,7,The New York Times,[],"[{'name': 'glocations', 'value': 'Vietnam', 'rank': 1, 'major': 'N'}, {'name': 'glocations', 'value': 'Vietnam', 'rank': 2, 'major': 'N'}, {'name': 'subject', 'value': 'GENERAL POLICIES OF BELLIGERENTS, OTHER MAJOR POWERS', 'rank': 3, 'major': 'N'}, {'name': 'subject', 'value': 'MILITARY BUILDUP, AID, LONG-RANGE PLANNING', 'rank': 4, 'major': 'N'}]",1969-11-21T05:00:00+0000,article,None,Archives,Archives,nyt://article/c2aa8551-68f1-52b0-b563-684d76b4eff5,0,nyt://article/c2aa8551-68f1-52b0-b563-684d76b4eff5,"South Vietnamese Soldier, Still Untested in Major Combat, Shows Little Willingness to Be Aggressive",,,"South Vietnamese Soldier, Still Untested in Major Combat, Shows Little Willingness to Be Aggressive",,,,By B. Drummond Ayres Jr,[],
2,"to Army's 1st platoon, Co B, 4th Bn, 9th Inf, 25th Inf Div",https://www.nytimes.com/1969/11/21/archives/washington-for-the-record.html,"to Army's 1st platoon, Co B, 4th Bn, 9th Inf, 25th Inf Div",,32,The New York Times,[],"[{'name': 'glocations', 'value': 'Vietnam', 'rank': 1, 'major': 'N'}, {'name': 'subject', 'value': 'MILITARY ACTION', 'rank': 2, 'major': 'N'}, {'name': 'subject', 'value': 'DECORATIONS AND HONORS', 'rank': 3, 'major': 'N'}]",1969-11-21T05:00:00+0000,article,None,Archives,Archives,nyt://article/23023d2d-8767-5675-a773-d4700c82ef87,0,nyt://article/23023d2d-8767-5675-a773-d4700c82ef87,Washington: For the Record,,,Washington: For the Record,,,,,[],
3,"Vreeland, Hamilton Jr",https://www.nytimes.com/1969/11/19/archives/obituary-1-no-title.html,"Vreeland, Hamilton Jr",,55,The New York Times,[],"[{'name': 'persons', 'value': 'VREELAND, HAMILTON JR', 'rank': 1, 'major': 'N'}, {'name': 'subject', 'value': 'DEATHS', 'rank': 2, 'major': 'N'}]",1969-11-19T05:00:00+0000,article,None,Archives,Archives,nyt://article/22ae8a35-293e-5a49-8419-e84747fd357e,0,nyt://article/22ae8a35-293e-5a49-8419-e84747fd357e,Obituary 1 -- No Title,,,Obituary 1 -- No Title,,,,,[],
4,,https://www.nytimes.com/1969/11/18/archives/obituary-1-no-title.html,,,47,The New York Times,[],[],1969-11-18T05:00:00+0000,article,None,Archives,Archives,nyt://article/39f502d2-00f3-5d53-bbdb-eea06d179692,0,nyt://article/39f502d2-00f3-5d53-bbdb-eea06d179692,Obituary 1 -- No Title,1,,Obituary 1 -- No Title,,,,,[],
5,,https://www.nytimes.com/1969/11/16/archives/obituary-2-no-title.html,,,87,The New York Times,[],[],1969-11-16T05:00:00+0000,article,None,Archives,Archives,nyt://article/ce3b4008-f535-55f4-b04e-0983b4474afd,0,nyt://article/ce3b4008-f535-55f4-b04e-0983b4474afd,Obituary 2 -- No Title,1,,Obituary 2 -- No Title,,,,,[],
6,,https://www.nytimes.com/1969/11/15/archives/stanley-barnett-olevuland-editor.html,,,37,The New York Times,[],[],1969-11-15T05:00:00+0000,article,None,Archives,Archives,nyt://article/fcf1c6ed-c2de-5f4b-841b-e2ba8bce8fcd,0,nyt://article/fcf1c6ed-c2de-5f4b-841b-e2ba8bce8fcd,"STANLEY BARNETT, oLEVuLAND EDITOR",1,,"STANLEY BARNETT, oLEVuLAND EDITOR",,,,,[],
7,"QUANGNGAI, South Vietnam, Nov. 14 -- Special investigators from the Amy's Criminal Investigation Detachment are conducting an inquiry in this region to gather evidence in the suspected murders.  ",https://www.nytimes.com/1969/11/15/archives/inquiry-in-vietnam.html,,,8,The New York Times,[],[],1969-11-15T05:00:00+0000,article,None,Archives,Archives,nyt://article/39ecd58b-af61-55f1-92cf-7b8006994d50,0,nyt://article/39ecd58b-af61-55f1-92cf-7b8006994d50,Inquiry in Vietnam,1,,Inquiry in Vietnam,,,,By Henry Kammspecial To the New York Times,"[{'firstname': 'Henry', 'middlename': 'Kammspecial', 'lastname': 'To', 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 1}]",
8,"Barnett, Stanley P",https://www.nytimes.com/1969/11/14/archives/tanley-barnett-cluveland-editor.html,"Barnett, Stanley P",,51,The New York Times,[],"[{'name': 'persons', 'value': 'BARNETT, STANLEY P', 'rank': 1, 'major': 'N'}, {'name': 'subject', 'value': 'DEATHS', 'rank': 2, 'major': 'N'}]",1969-11-14T05:00:00+0000,article,None,Archives,Archives,nyt://article/cbe385a0-88b1-51cb-9656-c909cb356919,0,nyt://article/cbe385a0-88b1-51cb-9656-c909cb356919,"$TANLEY BARNETT, CLuVELAND EDITOR",,,"$TANLEY BARNETT, CLuVELAND EDITOR",,,,,[],
9,,https://www.nytimes.com/1969/11/12/archives/obituary-1-no-title.html,,,47,The New York Times,[],[],1969-11-12T05:00:00+0000,article,None,Archives,Archives,nyt://article/a81e236a-ccd6-56ea-b02e-46efd58d9f45,0,nyt://article/a81e236a-ccd6-56ea-b02e-46efd58d9f45,Obituary 1 -- No Title,1,,Obituary 1 -- No Title,,,,,[],
