,abstract,web_url,snippet,lead_paragraph,print_section,print_page,source,multimedia,keywords,pub_date,document_type,news_desk,section_name,type_of_material,_id,word_count,uri,headline_main,headline_kicker,headline_content_kicker,headline_print_headline,headline_name,headline_seo,headline_sub,byline_original,byline_person,byline_organization
0,"Instead of just watching historic homes plunge into foreclosure and collapse, some residents decided to buy and rehabilitate them.",https://www.nytimes.com/2012/03/24/us/south-bend-neighbors-embracing-abandoned-properties.html,"Instead of just watching historic homes plunge into foreclosure and collapse, some residents decided to buy and rehabilitate them.","SOUTH BEND, Ind. — When the grand Queen Anne on Portage Avenue lost its last occupants a few years ago, plunging into foreclosure and abandonment, the century-old gem risked the same fate as hundreds of empty houses here: collapse or demolition. Either way, what had been a lumber baron’s masterpiece was bound to become just another forgotten lot on the Rust Belt.",A,9,The New York Times,"[{'rank': 0, 'subtype': 'popup', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2012/03/24/us/SOUTHBEND-2/SOUTHBEND-2-popup.jpg', 'height': 421, 'width': 650, 'legacy': {}, 'subType': 'popup', 'crop_name': 'popup'}, {'rank': 0, 'subtype': 'blog480', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2012/03/24/us/SOUTHBEND-2/SOUTHBEND-2-blog480.jpg', 'height': 311, 'width': 480, 'legacy': {}, 'subType': 'blog480', 'crop_name': 'blog480'}, {'rank': 0, 'subtype': 'jumbo', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2012/03/24/us/SOUTHBEND-2/SOUTHBEND-2-jumbo.jpg', 'height': 664, 'width': 1024, 'legacy': {}, 'subType': 'jumbo', 'crop_name': 'jumbo'}, {'rank': 0, 'subtype': 'thumbnail', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2012/03/24/us/SOUTHBEND-2/SOUTHBEND-2-thumbStandard.jpg', 'height': 75, 'width': 75, 'legacy': {'thumbnail': 'images/2012/03/24/us/SOUTHBEND-2/SOUTHBEND-2-thumbStandard.jpg', 'thumbnailwidth': 75, 'thumbnailheight': 75}, 'subType': 'thumbnail', 'crop_name': 'thumbStandard'}, {'rank': 0, 'subtype': 'sfSpan', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2012/03/24/us/SOUTHBEND-2/SOUTHBEND-2-sfSpan.jpg', 'height': 256, 'width': 395, 'legacy': {}, 'subType': 'sfSpan', 'crop_name': 'sfSpan'}, {'rank': 0, 'subtype': 'articleInline', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2012/03/24/us/SOUTHBEND-2/SOUTHBEND-2-articleInline.jpg', 'height': 123, 'width': 190, 'legacy': {}, 'subType': 'articleInline', 'crop_name': 'articleInline'}]","[{'name': 'glocations', 'value': 'South Bend (Ind)', 'rank': 1, 'major': 'N'}, {'name': 'glocations', 'value': 'Indiana', 'rank': 2, 'major': 'N'}, {'name': 'subject', 'value': 'Real Estate and Housing (Residential)', 'rank': 3, 'major': 'N'}, {'name': 'subject', 'value': 'Abandonment (Property)', 'rank': 4, 'major': 'N'}, {'name': 'subject', 'value': 'Restoration and Renovation', 'rank': 5, 'major': 'N'}]",2012-03-24T05:25:42+0000,article,National,U.S.,News,nyt://article/813bd38f-ea10-528b-ad98-3308056a5946,1228,nyt://article/813bd38f-ea10-528b-ad98-3308056a5946,Neighbors Join in Modest Efforts to Embrace Abandoned Properties,South Bend Journal,,Neighbors Join in Modest Efforts To Embrace Abandoned Properties,,,,By Susan Saulny,"[{'firstname': 'Susan', 'middlename': None, 'lastname': 'Saulny', 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 1}]",
1,Sales rose 37 percent as demand for corporate software and a more robust economy helped all sectors of the company.,https://www.nytimes.com/2011/03/25/technology/25oracle.html,Sales rose 37 percent as demand for corporate software and a more robust economy helped all sectors of the company.,"SAN FRANCISCO — Oracle, the business software maker, reported yet another quarter of strong gains on Thursday, as corporate spending on its software accelerated in a more robust economy.",B,2,The New York Times,"[{'rank': 0, 'subtype': 'blog480', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2011/03/25/business/Oracle/Oracle-blog480.jpg', 'height': 320, 'width': 480, 'legacy': {}, 'subType': 'blog480', 'crop_name': 'blog480'}, {'rank': 0, 'subtype': 'jumbo', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2011/03/25/business/Oracle/Oracle-jumbo.jpg', 'height': 683, 'width': 1024, 'legacy': {}, 'subType': 'jumbo', 'crop_name': 'jumbo'}, {'rank': 0, 'subtype': 'popup', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2011/03/25/business/Oracle/Oracle-popup.jpg', 'height': 433, 'width': 650, 'legacy': {}, 'subType': 'popup', 'crop_name': 'popup'}, {'rank': 0, 'subtype': 'articleInline', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2011/03/25/business/Oracle/Oracle-articleInline.jpg', 'height': 127, 'width': 190, 'legacy': {}, 'subType': 'articleInline', 'crop_name': 'articleInline'}, {'rank': 0, 'subtype': 'sfSpan', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2011/03/25/business/Oracle/Oracle-sfSpan.jpg', 'height': 263, 'width': 395, 'legacy': {}, 'subType': 'sfSpan', 'crop_name': 'sfSpan'}]","[{'name': 'subject', 'value': 'Company Reports', 'rank': 1, 'major': 'N'}, {'name': 'organizations', 'value': 'Oracle Corp', 'rank': 2, 'major': 'N'}]",2011-03-24T20:48:25+0000,article,Business,Technology,News,nyt://article/a9d61be0-a165-5e65-8d99-099bff84a913,606,nyt://article/a9d61be0-a165-5e65-8d99-099bff84a913,Strong Software Sales Drive Oracle’s Profit Up 78%,,,Strong Software Sales Drive Oracle’s Profit Up 78%,,,,By Verne G. Kopytoff,"[{'firstname': 'Verne', 'middlename': 'G.', 'lastname': 'Kopytoff', 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 1}]",
2,"Demand for business and leisure travel is expected to be stronger this summer, meaning passengers will be fighting for seats that were cut significantly in the recession.",https://www.nytimes.com/2010/06/01/business/01summer.html,"Demand for business and leisure travel is expected to be stronger this summer, meaning passengers will be fighting for seats that were cut significantly in the recession.",This is not going to be a good summer for air travelers. ,B,1,The New York Times,"[{'rank': 0, 'subtype': 'xlarge', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2010/06/01/business/01summerPicA/01summerPicA-articleLarge.jpg', 'height': 315, 'width': 600, 'legacy': {'xlarge': 'images/2010/06/01/business/01summerPicA/01summerPicA-articleLarge.jpg', 'xlargewidth': 600, 'xlargeheight': 315}, 'subType': 'xlarge', 'crop_name': 'articleLarge'}, {'rank': 0, 'subtype': 'popup', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2010/06/01/business/01summerPicA/01summerPicA-popup.jpg', 'height': 433, 'width': 650, 'legacy': {}, 'subType': 'popup', 'crop_name': 'popup'}, {'rank': 0, 'subtype': 'articleInline', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2010/06/01/business/01summerPicA/01summerPicA-articleInline.jpg', 'height': 127, 'width': 190, 'legacy': {}, 'subType': 'articleInline', 'crop_name': 'articleInline'}, {'rank': 0, 'subtype': 'sfSpan', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2010/06/01/business/01summerPicA/01summerPicA-sfSpan.jpg', 'height': 250, 'width': 395, 'legacy': {}, 'subType': 'sfSpan', 'crop_name': 'sfSpan'}, {'rank': 0, 'subtype': 'thumbnail', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2010/06/01/business/01summerPicA/01summerPicA-thumbStandard.jpg', 'height': 75, 'width': 75, 'legacy': {'thumbnail': 'images/2010/06/01/business/01summerPicA/01summerPicA-thumbStandard.jpg', 'thumbnailwidth': 75, 'thumbnailheight': 75}, 'subType': 'thumbnail', 'crop_name': 'thumbStandard'}]","[{'name': 'glocations', 'value': 'Eyjafjallajokull Volcano (Iceland)', 'rank': 1, 'major': 'N'}, {'name': 'subject', 'value': 'Strikes', 'rank': 2, 'major': 'N'}, {'name': 'subject', 'value': 'Business Travel', 'rank': 3, 'major': 'N'}, {'name': 'subject', 'value': 'Travel and Vacations', 'rank': 4, 'major': 'N'}, {'name': 'subject', 'value': 'AIRLINES AND AIRPLANES', 'rank': 5, 'major': 'N'}, {'name': 'subject', 'value': 'AIRPORTS', 'rank': 6, 'major': 'N'}, {'name': 'subject', 'value': 'Delays (Transportation)', 'rank': 7, 'major': 'N'}, {'name': 'subject', 'value': 'Prices (Fares, Fees and Rates)', 'rank': 8, 'major': 'N'}]",2010-05-31T22:59:55+0000,article,Business,Business Day,News,nyt://article/f532dbfa-d68b-501e-8a70-9f9f40000f68,1012,nyt://article/f532dbfa-d68b-501e-8a70-9f9f40000f68,Summer of Full Flights and High Fares,,,A Summer of Full Flights and Rising Fares,,,,By Jane L. Levere,"[{'firstname': 'Jane', 'middlename': 'L.', 'lastname': 'Levere', 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 1}]",
3,"On an unexpectedly warm November day, lunch outdoors meant takeout, brown-bag fare and a good view.",https://www.nytimes.com/2009/11/15/nyregion/15table.html,"On an unexpectedly warm November day, lunch outdoors meant takeout, brown-bag fare and a good view.","By all rights, the narrow public plaza carved out of Broadway between 38th and 39th Streets should have been empty last week beyond the scurrying city walkers, their jackets buttoned and their collars turned high against a damp November chill. But Monday was an unseasonable 70 and sunny, and the makeshift pedestrian mall, with its tiny chairs and tables, was the perfect place to enjoy what easily might have been the last outdoor lunch of the year. ",MB,2,The New York Times,"[{'rank': 0, 'subtype': 'popup', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2009/11/15/nyregion/15table_CA0/popup.jpg', 'height': 450, 'width': 650, 'legacy': {}, 'subType': 'popup', 'crop_name': 'popup'}, {'rank': 0, 'subtype': 'articleInline', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2009/11/15/nyregion/15table_CA0/articleInline.jpg', 'height': 126, 'width': 190, 'legacy': {}, 'subType': 'articleInline', 'crop_name': 'articleInline'}, {'rank': 0, 'subtype': 'thumbnail', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2009/11/15/nyregion/15table_CA0/thumbStandard.jpg', 'height': 75, 'width': 75, 'legacy': {'thumbnail': 'images/2009/11/15/nyregion/15table_CA0/thumbStandard.jpg', 'thumbnailwidth': 75, 'thumbnailheight': 75}, 'subType': 'thumbnail', 'crop_name': 'thumbStandard'}]","[{'name': 'subject', 'value': 'Restaurants', 'rank': 1, 'major': 'N'}, {'name': 'glocations', 'value': 'Manhattan (NYC)', 'rank': 2, 'major': 'N'}, {'name': 'subject', 'value': 'Pedestrian Malls', 'rank': 3, 'major': 'N'}]",2009-11-15T00:35:06+0000,article,Metro,New York,News,nyt://article/c1c4e806-5b11-505b-8874-60f7ccde90ea,326,nyt://article/c1c4e806-5b11-505b-8874-60f7ccde90ea,A Feast for Stomach and Eyes,At The Table | Broadway,,A Feast for Stomach and Eyes,,,,By Alan Feuer,"[{'firstname': 'Alan', 'middlename': None, 'lastname': 'Feuer', 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 1}]",
4,The software giant made aggressive moves to cut costs and pulled off a profit that sent its shares up.,https://www.nytimes.com/2009/10/24/business/24soft.html,The software giant made aggressive moves to cut costs and pulled off a profit that sent its shares up.,"Microsoft said on Friday that its fiscal first-quarter sales fell compared with a year ago, but its aggressive moves to cut costs and lay off workers helped the software company earn a profit that beat investors’ expectations. ",B,3,The New York Times,"[{'rank': 0, 'subtype': 'popup', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2009/10/24/business/24soft_CA0/popup.jpg', 'height': 428, 'width': 650, 'legacy': {}, 'subType': 'popup', 'crop_name': 'popup'}, {'rank': 0, 'subtype': 'articleInline', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2009/10/24/business/24soft_CA0/articleInline.jpg', 'height': 127, 'width': 190, 'legacy': {}, 'subType': 'articleInline', 'crop_name': 'articleInline'}, {'rank': 0, 'subtype': 'thumbnail', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2009/10/24/business/24soft_CA0/thumbStandard.jpg', 'height': 75, 'width': 75, 'legacy': {'thumbnail': 'images/2009/10/24/business/24soft_CA0/thumbStandard.jpg', 'thumbnailwidth': 75, 'thumbnailheight': 75}, 'subType': 'thumbnail', 'crop_name': 'thumbStandard'}]","[{'name': 'subject', 'value': 'Company Reports', 'rank': 1, 'major': 'N'}, {'name': 'organizations', 'value': 'Microsoft Corp', 'rank': 2, 'major': 'N'}]",2009-10-23T13:09:05+0000,article,Business,Business Day,News,nyt://article/5daf8877-a7b6-55c5-95de-601fa2a5e441,780,nyt://article/5daf8877-a7b6-55c5-95de-601fa2a5e441,Microsoft Beats Profit Forecast,,,"Despite Slow Sales Before Windows 7, Microsoft Beats Investors’ Profit Forecast",,,,By Saul Hansell and Jack Healy,"[{'firstname': 'Saul', 'middlename': None, 'lastname': 'Hansell', 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 1}, {'firstname': 'Jack', 'middlename': None, 'lastname': 'Healy', 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 2}]",
5,"Last week we went to Somalia as American tourists. We stayed only a night, but that was plenty of time to wander unescorted through the local market, explore town in a battered Toyota station wagon, and even head out into the desert to admire some ancient cave paintings.",https://www.nytimes.com/2008/07/31/opinion/31iht-edmyers.1.14914273.html,,"Last week we went to Somalia as American tourists. We stayed only a night, but that was plenty of time to wander unescorted through the local market, explore town in a battered Toyota station wagon, and even head out into the desert to admire some ancient cave paintings.",,,International Herald Tribune,[],[],2008-07-31T05:00:00+0000,article,IHT News,Opinion,News,nyt://article/e0409504-497b-5d80-bd1a-a84cd7827933,791,nyt://article/e0409504-497b-5d80-bd1a-a84cd7827933,Tourists in Somaliland,,,Tourists in Somaliland,,,,By Peter Buttigieg and Nathaniel Myers,"[{'firstname': 'Peter', 'middlename': None, 'lastname': 'Buttigieg', 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 1}, {'firstname': 'Nathaniel', 'middlename': None, 'lastname': 'Myers', 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 2}]",
6,"Despite the many flight cancellations in recent days, the slowing economy, rising gas prices and the weak dollar, the number of air travelers is holding steady so far this year.",https://www.nytimes.com/2008/04/12/business/12travel.html,"Despite the many flight cancellations in recent days, the slowing economy, rising gas prices and the weak dollar, the number of air travelers is holding steady so far this year.","Nina Rubin, who is in public relations in Atlanta, is going back to the Berkshires this summer but is hoping to save money on her plane ticket by flying into a smaller airport. Sandy Clark, stuck in Chicago when American Airlines canceled her flight, is still planning to fly to Providence, R.I., for her vacation.",C,1,The New York Times,"[{'rank': 0, 'subtype': 'xlarge', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2008/04/12/business/12travel-span-600.jpg', 'height': 334, 'width': 600, 'legacy': {'xlarge': 'images/2008/04/12/business/12travel-span-600.jpg', 'xlargewidth': 600, 'xlargeheight': 334}, 'subType': 'xlarge', 'crop_name': 'articleLarge'}, {'rank': 0, 'subtype': 'popup', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2008/04/12/business/12travel-span-600.jpg', 'height': 334, 'width': 600, 'legacy': {}, 'subType': 'popup', 'crop_name': 'popup'}, {'rank': 0, 'subtype': 'sfSpan', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2008/04/12/business/12travel-span-395.jpg', 'height': 250, 'width': 395, 'legacy': {}, 'subType': 'sfSpan', 'crop_name': 'sfSpan'}, {'rank': 0, 'subtype': 'thumbnail', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2008/04/12/business/12travel-span-75.jpg', 'height': 75, 'width': 75, 'legacy': {'thumbnail': 'images/2008/04/12/business/12travel-span-75.jpg', 'thumbnailwidth': 75, 'thumbnailheight': 75}, 'subType': 'thumbnail', 'crop_name': 'thumbStandard'}]","[{'name': 'subject', 'value': 'Travel and Vacations', 'rank': 1, 'major': 'N'}, {'name': 'subject', 'value': 'United States Economy', 'rank': 2, 'major': 'N'}, {'name': 'subject', 'value': 'Prices (Fares, Fees and Rates)', 'rank': 3, 'major': 'N'}, {'name': 'subject', 'value': 'AIRLINES AND AIRPLANES', 'rank': 4, 'major': 'N'}, {'name': 'subject', 'value': 'Oil (Petroleum) and Gasoline', 'rank': 5, 'major': 'N'}]",2008-04-12T04:00:00+0000,article,Business,Business Day,News,nyt://article/85867550-7df7-5dc3-97c4-fff0ac818f83,1208,nyt://article/85867550-7df7-5dc3-97c4-fff0ac818f83,"Sure It’s Frustrating and Expensive, but Travelers Just Have to Travel",,,"Sure It’s Frustrating and Expensive, But Travelers Just Have to Travel",,,,By Susan Stellin,"[{'firstname': 'Susan', 'middlename': None, 'lastname': 'Stellin', 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 1}]",
7,"Despite Wall Street's widespread skepticism about the merger of Symantec and Veritas Software, shareholders of the two companies approved the deal on Friday.     The deal, which is valued at just under $11 billion and combines two companies with vastly different strategies, would create the fifth-largest software company. The final value of the transaction will not be known until the deal officially closes on July 2.  ",https://www.nytimes.com/2005/06/25/technology/shareholders-approve-symantecveritas-software-merger.html,"Despite Wall Street's widespread skepticism about the merger of Symantec and Veritas Software, shareholders of the two companies approved the deal on Friday.     The deal, which is valued at just under $11 billion and combines two companies with v...","SAN FRANCISCO, June 24 - Despite Wall Street's widespread skepticism about the merger of Symantec and Veritas Software, shareholders of the two companies approved the deal on Friday.",C,3,The New York Times,[],"[{'name': 'organizations', 'value': 'Veritas Software Corporation', 'rank': 1, 'major': 'N'}, {'name': 'subject', 'value': 'Mergers, Acquisitions and Divestitures', 'rank': 2, 'major': 'N'}, {'name': 'subject', 'value': 'COMPUTER SOFTWARE', 'rank': 3, 'major': 'N'}]",2005-06-25T05:00:00+0000,article,Business/Financial Desk,Business Day,News,nyt://article/56282626-aa43-5a08-a49d-0b7bf945b8ba,792,nyt://article/56282626-aa43-5a08-a49d-0b7bf945b8ba,Shareholders Approve Symantec-Veritas Software Merger,,,Shareholders Approve Symantec-Veritas Software Merger,,,,By Laurie J. Flynn,"[{'firstname': 'Laurie', 'middlename': 'J.', 'lastname': 'Flynn', 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 1}]",
8,"Computer Associates International is expected to announce its new chief executive will be John Swainson, IBM executive with strong technical and sales credentials but who is untested in leading business size of Computer Associates, which has 15,000 employees; Swainson assumes control over company that is emerging from accounting scandal, barely sidestepped criminal indictment and whose long-time leaders have been forced out (M)",https://www.nytimes.com/2004/11/23/technology/software-firm-to-name-new-chief-executive.html,"Computer Associates International is expected to announce its new chief executive will be John Swainson, IBM executive with strong technical and sales credentials but who is untested in leading business size of Computer Associates, which has 15,00...","Computer Associates International is expected to announce today that its new chief executive will be John Swainson, an I.B.M. executive with strong technical and sales credentials but who is untested in leading a business the size of Computer Associates, which has 15,000 employees.",C,1,The New York Times,[],"[{'name': 'organizations', 'value': 'COMPUTER ASSOCIATES INTERNATIONAL INC', 'rank': 1, 'major': 'N'}, {'name': 'organizations', 'value': 'COMPUTER ASSOCIATES INTERNATIONAL INCORPORATED', 'rank': 2, 'major': 'N'}, {'name': 'organizations', 'value': 'International Business Machines Corporation', 'rank': 3, 'major': 'N'}, {'name': 'persons', 'value': 'SWAINSON, JOHN', 'rank': 4, 'major': 'N'}, {'name': 'subject', 'value': 'APPOINTMENTS AND EXECUTIVE CHANGES', 'rank': 5, 'major': 'N'}, {'name': 'subject', 'value': 'Frauds and Swindling', 'rank': 6, 'major': 'N'}, {'name': 'subject', 'value': 'ACCOUNTING AND ACCOUNTANTS', 'rank': 7, 'major': 'N'}, {'name': 'subject', 'value': 'Securities and Commodities Violations', 'rank': 8, 'major': 'N'}, {'name': 'subject', 'value': 'COMPUTER SOFTWARE', 'rank': 9, 'major': 'N'}, {'name': 'subject', 'value': 'Biographical Information', 'rank': 10, 'major': 'N'}, {'name': 'subject', 'value': 'Suits and Litigation', 'rank': 11, 'major': 'N'}, {'name': 'subject', 'value': 'Ethics', 'rank': 12, 'major': 'N'}]",2004-11-23T05:00:00+0000,article,Business/Financial Desk,Business Day,News,nyt://article/9c4c191d-8724-5720-a396-82636f6c631b,704,nyt://article/9c4c191d-8724-5720-a396-82636f6c631b,Software Firm to Name New Chief Executive,TECHNOLOGY,,TECHNOLOGY; Software Maker Is Said to Have A New Chief,,,,By Steve Lohr,"[{'firstname': 'Steve', 'middlename': None, 'lastname': 'Lohr', 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 1}]",
9,"Computer Associates International will dismiss 800 workers, about 5 percent of work force, and cut number of software products it sells to save $70 million a year; Agere Systems, chip maker, says it will dismiss about 1,100 workers worldwide, about 17 percent of its work force, close Orlando, Fla, wafer plant that employs 600 people and close several offices (M)",https://www.nytimes.com/2004/09/30/business/computer-associates-to-make-cuts.html,"Computer Associates International will dismiss 800 workers, about 5 percent of work force, and cut number of software products it sells to save $70 million a year; Agere Systems, chip maker, says it will dismiss about 1,100 workers worldwide, abou...","A week after settling federal charges of accounting fraud, Computer Associates International said yesterday that it would dismiss 800 workers and reduce the number of software products it sells to save $70 million a year.",C,7,The New York Times,[],"[{'name': 'organizations', 'value': 'COMPUTER ASSOCIATES INTERNATIONAL INC', 'rank': 1, 'major': 'N'}, {'name': 'organizations', 'value': 'AGERE SYSTEMS INC', 'rank': 2, 'major': 'N'}, {'name': 'organizations', 'value': 'COMPUTER ASSOCIATES INTERNATIONAL INCORPORATED', 'rank': 3, 'major': 'N'}, {'name': 'organizations', 'value': 'Agere Systems Incorporated', 'rank': 4, 'major': 'N'}, {'name': 'subject', 'value': 'Frauds and Swindling', 'rank': 5, 'major': 'N'}, {'name': 'subject', 'value': 'LABOR', 'rank': 6, 'major': 'N'}, {'name': 'subject', 'value': 'COMPUTER SOFTWARE', 'rank': 7, 'major': 'N'}, {'name': 'subject', 'value': 'Shutdowns (Institutional)', 'rank': 8, 'major': 'N'}, {'name': 'subject', 'value': 'Layoffs and Job Reductions', 'rank': 9, 'major': 'N'}, {'name': 'subject', 'value': 'Computers and the Internet', 'rank': 10, 'major': 'N'}]",2004-09-30T05:00:00+0000,article,Business/Financial Desk,Business Day,News,nyt://article/8f75c37d-98a4-59d0-a152-ae5b5a93a973,402,nyt://article/8f75c37d-98a4-59d0-a152-ae5b5a93a973,Computer Associates to Make Cuts,TECHNOLOGY,,TECHNOLOGY; Computer Associates to Cut Jobs and Its Software Lines,,,,By Bloomberg News,"[{'firstname': 'Bloomberg', 'middlename': None, 'lastname': 'News', 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 1}]",
