,abstract,web_url,snippet,lead_paragraph,source,multimedia,keywords,pub_date,document_type,news_desk,section_name,type_of_material,_id,word_count,uri,headline_main,headline_kicker,headline_content_kicker,headline_print_headline,headline_name,headline_seo,headline_sub,byline_original,byline_person,byline_organization,subsection_name
0,"Utilizing a complicated in-person caucus system, the first contest in the Democratic presidential primary will take place in Iowa on Feb. 3. ",https://www.nytimes.com/reuters/2020/01/27/us/27reuters-usa-election-iowa-explainer.html,"Utilizing a complicated in-person caucus system, the first contest in the Democratic presidential primary will take place in Iowa on Feb. 3. ","WASHINGTON — Utilizing a complicated in-person caucus system, the first contest in the Democratic presidential primary will take place in Iowa on Feb. 3. ",Reuters,[],[],2020-01-27T15:25:11+0000,article,None,U.S.,News,nyt://article/f540f94a-d7b6-5553-8b64-7448635dac66,874,nyt://article/f540f94a-d7b6-5553-8b64-7448635dac66,Explainer: Why Iowa? How One Rural State Picks Presidential Nominees,,,Explainer: Why Iowa? How One Rural State Picks Presidential Nominees,,,,By Reuters,[],Reuters,
1,"Donald Trump and the Democrats hoping to unseat him as president all say they want to reform the criminal justice system in the United States, which held 2.3 million people behind bars in 2019 ",https://www.nytimes.com/reuters/2020/01/27/us/27reuters-usa-election-criminal-justice-factbox.html,"Donald Trump and the Democrats hoping to unseat him as president all say they want to reform the criminal justice system in the United States, which held 2.3 million people behind bars in 2019 ","(Reuters) - Donald Trump and the Democrats hoping to unseat him as president all say they want to reform the criminal justice system in the United States, which held 2.3 million people behind bars in 2019 ",Reuters,[],[],2020-01-27T15:22:17+0000,article,None,U.S.,News,nyt://article/13e1579f-6d6a-5cf0-a233-29fc5b8d86c3,965,nyt://article/13e1579f-6d6a-5cf0-a233-29fc5b8d86c3,Trump and 2020 Democrats Brand Themselves Criminal Justice Reformers,,,Trump and 2020 Democrats Brand Themselves Criminal Justice Reformers,,,,By Reuters,[],Reuters,
2,"Candidates running for the 2020 Democratic presidential nomination have been uniformly critical of the immigration policies of U.S. President Donald Trump, who was elected after promising to crack down on illegal immigration and bolster enforcement along the U.S.-Mexico border.",https://www.nytimes.com/reuters/2020/01/27/us/27reuters-usa-election-immigration-factbox.html,"Candidates running for the 2020 Democratic presidential nomination have been uniformly critical of the immigration policies of U.S. President Donald Trump, who was elected after promising to crack down on illegal immigration and bolster enforcemen...","WASHINGTON — Candidates running for the 2020 Democratic presidential nomination have been uniformly critical of the immigration policies of U.S. President Donald Trump, who was elected after promising to crack down on illegal immigration and bolster enforcement along the U.S.-Mexico border.",Reuters,[],[],2020-01-27T15:22:14+0000,article,None,U.S.,News,nyt://article/1cecde0e-1978-5ddb-995f-693dcce275bd,941,nyt://article/1cecde0e-1978-5ddb-995f-693dcce275bd,Democratic U.S. Presidential Hopefuls Seek Contrast With Trump on Immigration,,,Democratic U.S. Presidential Hopefuls Seek Contrast With Trump on Immigration,,,,By Reuters,[],Reuters,
3,"More than two years after he first proposed a plan to revive the long-stalled Israeli-Palestinian peace process, U.S. President Donald Trump's proposal is finally set to be announced.",https://www.nytimes.com/reuters/2020/01/27/world/middleeast/27reuters-israel-palestinians-plan-explainer.html,"More than two years after he first proposed a plan to revive the long-stalled Israeli-Palestinian peace process, U.S. President Donald Trump's proposal is finally set to be announced.","JERUSALEM — More than two years after he first proposed a plan to revive the long-stalled Israeli-Palestinian peace process, U.S. President Donald Trump's proposal is finally set to be announced.",Reuters,[],[],2020-01-27T15:19:19+0000,article,None,World,News,nyt://article/1affed08-9a3c-50b2-a70d-99fc0ac3395f,855,nyt://article/1affed08-9a3c-50b2-a70d-99fc0ac3395f,Explainer: What We Know About Trump's Middle East Peace Plan,,,Explainer: What We Know About Trump's Middle East Peace Plan,,,,By Reuters,[],Reuters,Middle East
4,The Islamic State group vowed in an audio message released Monday that the extremists will start a new phase of attacks that will focus on Israel and blasted the U.S. administration's plan to resolve the decades-old Israeli-Palestinian conflict.,https://www.nytimes.com/aponline/2020/01/27/world/middleeast/ap-ml-is-israel.html,The Islamic State group vowed in an audio message released Monday that the extremists will start a new phase of attacks that will focus on Israel and blasted the U.S. administration's plan to resolve the decades-old Israeli-Palestinian conflict.,BEIRUT — The Islamic State group vowed in an audio message released Monday that the extremists will start a new phase of attacks that will focus on Israel and blasted the U.S. administration's plan to resolve the decades-old Israeli-Palestinian conflict.,AP,[],[],2020-01-27T15:19:12+0000,article,None,World,News,nyt://article/df98bdba-bc66-59b9-900e-5316f811c0c7,334,nyt://article/df98bdba-bc66-59b9-900e-5316f811c0c7,IS Vows to Attack Israel and Blasts US Mideast Plan,,,IS Vows to Attack Israel and Blasts US Mideast Plan,,,,By The Associated Press,[],The Associated Press,Middle East
5,Lawyers representing U.S. President Donald Trump in his Senate impeachment trial launch a second day of defence arguments on Monday as the proceedings on whether to remove him from office enter a critical week.,https://www.nytimes.com/reuters/2020/01/27/world/europe/27reuters-usa-trump-impeachment-whatnext-factbox.html,Lawyers representing U.S. President Donald Trump in his Senate impeachment trial launch a second day of defence arguments on Monday as the proceedings on whether to remove him from office enter a critical week.,(Reuters) - Lawyers representing U.S. President Donald Trump in his Senate impeachment trial launch a second day of defence arguments on Monday as the proceedings on whether to remove him from office enter a critical week.,Reuters,[],[],2020-01-27T15:19:07+0000,article,None,World,News,nyt://article/f27fc50d-529a-5a3c-a74a-2f8e84f314f2,409,nyt://article/f27fc50d-529a-5a3c-a74a-2f8e84f314f2,Trump Impeachment: What Happens Next?,,,Trump Impeachment: What Happens Next?,,,,By Reuters,[],Reuters,Europe
6,U.S. Senate Minority Leader Chuck Schumer said Sunday that senior administration officials must testify in President Trump's impeachment trial after a report that Trump told a former aide to hold up military aid to Ukraine pending investigations into political rivals.,https://www.nytimes.com/reuters/2020/01/27/world/europe/27reuters-usa-trump-impeachment-schumer.html,U.S. Senate Minority Leader Chuck Schumer said Sunday that senior administration officials must testify in President Trump's impeachment trial after a report that Trump told a former aide to hold up military aid to Ukraine pending investigations i...,WASHINGTON — U.S. Senate Minority Leader Chuck Schumer said Sunday that senior administration officials must testify in President Trump's impeachment trial after a report that Trump told a former aide to hold up military aid to Ukraine pending investigations into political rivals.,Reuters,[],[],2020-01-27T15:16:14+0000,article,None,World,News,nyt://article/f788ce84-0927-5754-992f-c01c8ebcbee0,110,nyt://article/f788ce84-0927-5754-992f-c01c8ebcbee0,"Schumer Says 'John Bolton Has the Evidence,' Urges Senate to Call Impeachment Trial Witnesses",,,"Schumer Says 'John Bolton Has the Evidence,' Urges Senate to Call Impeachment Trial Witnesses",,,,By Reuters,[],Reuters,Europe
7,House lawmakers want to keep pressure on the Senate for now.,https://www.nytimes.com/live/2020/impeachment-trial-live-01-27/could-the-house-call-bolton-itself-yes-but-democrats-want-to-wait,House lawmakers want to keep pressure on the Senate for now.,Revelations about a manuscript of John R. Bolton’s forthcoming book on his time as President Trump’s national security adviser have cranked up pressure on senators to subpoena him to testify in the impeachment trial. But they raise another natural question: Could the Democratic House simply subpoena Mr. Bolton itself if the Senate refuses?,The New York Times,[],[],2020-01-27T15:14:45+0000,article,Washington,U.S.,Live Blog Post,nyt://article/ce140a96-1720-5df9-838a-ef1870f7947c,392,nyt://article/ce140a96-1720-5df9-838a-ef1870f7947c,"Could the House call Bolton itself? Yes, but Democrats want to wait.",,,,,,,By Nicholas Fandos,"[{'firstname': 'Nicholas', 'middlename': None, 'lastname': 'Fandos', 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 1}]",,Politics
8,"Kobe Bryant, who won five NBA championships with the Los Angeles Lakers, died aged 41 on Sunday in a helicopter crash in California. His 13-year-old daughter Gianna was also among the victims. ",https://www.nytimes.com/reuters/2020/01/27/sports/basketball/27reuters-people-kobebryant-factbox.html,"Kobe Bryant, who won five NBA championships with the Los Angeles Lakers, died aged 41 on Sunday in a helicopter crash in California. His 13-year-old daughter Gianna was also among the victims. ","(Reuters) - Kobe Bryant, who won five NBA championships with the Los Angeles Lakers, died aged 41 on Sunday in a helicopter crash in California. His 13-year-old daughter Gianna was also among the victims. ",Reuters,[],[],2020-01-27T15:10:34+0000,article,None,Sports,News,nyt://article/ab67e601-ddeb-57a2-95cb-396c3fe09e39,1203,nyt://article/ab67e601-ddeb-57a2-95cb-396c3fe09e39,Reaction to the Death of Former NBA Player Kobe Bryant,,,Reaction to the Death of Former NBA Player Kobe Bryant,,,,By Reuters,[],Reuters,Pro Basketball
9,"The sporting world was plunged into mourning on Sunday as news of Kobe Bryant's death in a helicopter crash spread leaving the rich and famous, presidents, Hall of Famers and ordinary fans stunned.",https://www.nytimes.com/reuters/2020/01/27/sports/basketball/27reuters-people-kobe-bryant-reaction.html,"The sporting world was plunged into mourning on Sunday as news of Kobe Bryant's death in a helicopter crash spread leaving the rich and famous, presidents, Hall of Famers and ordinary fans stunned.","(Reuters) - The sporting world was plunged into mourning on Sunday as news of Kobe Bryant's death in a helicopter crash spread leaving the rich and famous, presidents, Hall of Famers and ordinary fans stunned.",Reuters,[],[],2020-01-27T15:10:15+0000,article,None,Sports,News,nyt://article/b34feaec-59d5-55a9-a582-25fc9a995142,869,nyt://article/b34feaec-59d5-55a9-a582-25fc9a995142,Kobe Bryant's Death Leaves Sports World Stunned,,,Kobe Bryant's Death Leaves Sports World Stunned,,,,By Reuters,[],Reuters,Pro Basketball
