,abstract,web_url,snippet,lead_paragraph,source,multimedia,keywords,pub_date,document_type,news_desk,section_name,type_of_material,_id,word_count,uri,headline_main,headline_kicker,headline_content_kicker,headline_print_headline,headline_name,headline_seo,headline_sub,byline_original,byline_person,byline_organization,print_section,print_page,subsection_name
0,"A sampling of noteworthy musical presentations for the holiday season at churches, synagogues and concert halls in New York City.",https://www.nytimes.com/2008/12/12/arts/12webxmas.html,"A sampling of noteworthy musical presentations for the holiday season at churches, synagogues and concert halls in New York City.","A sampling of noteworthy musical presentations for the holiday season at churches, synagogues and concert halls in New York City. All are free unless otherwise noted. (Houses of worship accept donations.) Unless noted, church choirs are featured in church concerts.",The New York Times,"[{'rank': 0, 'subtype': 'xlarge', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2008/12/12/arts/12xmas.xlarge1x.jpg', 'height': 350, 'width': 600, 'legacy': {'xlarge': 'images/2008/12/12/arts/12xmas.xlarge1x.jpg', 'xlargewidth': 600, 'xlargeheight': 350}, 'subType': 'xlarge', 'crop_name': 'articleLarge'}, {'rank': 0, 'subtype': 'popup', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2008/12/12/arts/12xmas.xlarge1x.jpg', 'height': 350, 'width': 600, 'legacy': {}, 'subType': 'popup', 'crop_name': 'popup'}, {'rank': 0, 'subtype': 'thumbnail', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2008/12/12/arts/12xmas.751x.jpg', 'height': 75, 'width': 75, 'legacy': {'thumbnail': 'images/2008/12/12/arts/12xmas.751x.jpg', 'thumbnailwidth': 75, 'thumbnailheight': 75}, 'subType': 'thumbnail', 'crop_name': 'thumbStandard'}]","[{'name': 'subject', 'value': 'Christmas', 'rank': 1, 'major': 'N'}, {'name': 'subject', 'value': 'Music', 'rank': 2, 'major': 'N'}, {'name': 'subject', 'value': 'Religion and Churches', 'rank': 3, 'major': 'N'}]",2008-12-12T00:46:48+0000,article,Weekend,Arts,News,nyt://article/3f7f8d3c-61a4-5a7b-9716-270441c1eebd,3341,nyt://article/3f7f8d3c-61a4-5a7b-9716-270441c1eebd,"Sounds of the Season, in a Variety of Voices (and Accents)",,,,,,,By Anne Mancuso,"[{'firstname': 'Anne', 'middlename': None, 'lastname': 'Mancuso', 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 1}]",,,,
1,POP.,https://www.nytimes.com/2008/11/28/arts/music/28pop.html,POP.,POP,The New York Times,[],"[{'name': 'subject', 'value': 'Music', 'rank': 1, 'major': 'N'}]",2008-11-27T19:12:20+0000,article,Weekend,Arts,Schedule,nyt://article/55f95b46-1751-549b-b660-107b15849bbd,1886,nyt://article/55f95b46-1751-549b-b660-107b15849bbd,Rock and Pop Listings,,,The Listings ,,,,By The New York Times,[],The New York Times,C,24,Music
2,AROUND TOWN.,https://www.nytimes.com/2008/11/28/arts/28wspare.html,AROUND TOWN.,HOLIDAY MARKETS,The New York Times,[],"[{'name': 'subject', 'value': 'Travel and Vacations', 'rank': 1, 'major': 'N'}, {'name': 'glocations', 'value': 'Manhattan (NYC)', 'rank': 2, 'major': 'N'}]",2008-11-27T18:49:54+0000,article,Weekend,Arts,Schedule,nyt://article/0f921d44-4a02-540c-8c9c-a5ddd90e3371,2554,nyt://article/0f921d44-4a02-540c-8c9c-a5ddd90e3371,Spare Times,,,,,,,By The New York Times,[],The New York Times,,,
3,"A look at Saturday’s action in college basketball, including the shooting streak of Baylor’s Quincy Acy and the early-season progress of Georgetown.",https://thequad.blogs.nytimes.com/2008/11/22/saturday-hoops-baylor-freshman-sets-a-record/,"A look at Saturday’s action in college basketball, including the shooting streak of Baylor’s Quincy Acy and the early-season progress of Georgetown.",Here’s a quick look at what’s going on while the rest of the world reads about President-elect Barack Obama’s decision to name Timothy E. Geithner his Treasury secretary and Hillary Rodham Clinton his secretary of state: ,The New York Times,[],[],2008-11-23T02:49:56+0000,article,,Sports,News,nyt://article/ce2f251a-9e55-51c7-b301-4e334d963b49,822,nyt://article/ce2f251a-9e55-51c7-b301-4e334d963b49,Saturday Hoops: Baylor Freshman Sets a Record,The Quad,,,,,,By John Temple,"[{'firstname': 'John', 'middlename': None, 'lastname': 'Temple', 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 1}]",,,,
4,Gov. Charlie Crist urged the Legislature to allow tuition increases at the state’s public universities to blunt the impact of budget cuts.,https://www.nytimes.com/2008/11/21/education/21florida.html,Gov. Charlie Crist urged the Legislature to allow tuition increases at the state’s public universities to blunt the impact of budget cuts.,"TALLAHASSEE, Fla.  Gov. Charlie Crist urged the Legislature on Thursday to allow double-digit tuition increases at all of Florida’s 11 public universities as a way of blunting the impact of state-ordered budget cuts imposed over the last two years.",The New York Times,[],"[{'name': 'subject', 'value': 'Tuition', 'rank': 1, 'major': 'N'}, {'name': 'subject', 'value': 'Budgets and Budgeting', 'rank': 2, 'major': 'N'}, {'name': 'subject', 'value': 'Legislatures and Parliaments', 'rank': 3, 'major': 'N'}, {'name': 'persons', 'value': 'Crist, Charlie', 'rank': 4, 'major': 'N'}, {'name': 'subject', 'value': 'Colleges and Universities', 'rank': 5, 'major': 'N'}, {'name': 'glocations', 'value': 'Florida', 'rank': 6, 'major': 'N'}]",2008-11-21T03:58:08+0000,article,National,Education,News,nyt://article/e8581b41-6ab1-5c38-a56c-ae642e29d1d8,440,nyt://article/e8581b41-6ab1-5c38-a56c-ae642e29d1d8,Tuition Jump in Florida Wins Backing of Governor,,,Tuition Jump In Florida Wins Backing Of Governor,,,,By Gary Fineout,"[{'firstname': 'Gary', 'middlename': None, 'lastname': 'Fineout', 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 1}]",,A,19,
5,Selective listings from dance critics of The New York Times.,https://www.nytimes.com/2008/11/21/arts/dance/21dance.html,Selective listings from dance critics of The New York Times.,DANCE,The New York Times,[],[],2008-11-20T21:53:57+0000,article,Weekend,Arts,Schedule,nyt://article/72d7d04b-f338-59af-9092-b2d166675a07,1155,nyt://article/72d7d04b-f338-59af-9092-b2d166675a07,Dance Listings,,,The Listings ,,,,By The New York Times,[],The New York Times,C,22,Dance
6,A look at how Enron closely monitored Senator Phil Gramm's handling of 2000 legislation that offered it a loophole fending off regulation.,https://www.nytimes.com/2008/11/17/business/17grammside.html,A look at how Enron closely monitored Senator Phil Gramm's handling of 2000 legislation that offered it a loophole fending off regulation.," In 2000, Senator Phil Gramm played a central role in writing the Commodity Futures Modernization Act, a law that would open the door to unregulated trading of credit default swaps, the financial instruments blamed, in part, for the current economic meltdown.",The New York Times,[],"[{'name': 'subject', 'value': 'Law and Legislation', 'rank': 1, 'major': 'N'}, {'name': 'persons', 'value': 'Gramm, Phil', 'rank': 2, 'major': 'N'}, {'name': 'organizations', 'value': 'Enron Corp', 'rank': 3, 'major': 'N'}]",2008-11-15T01:45:11+0000,article,Business,Business Day,News,nyt://article/318dbe7a-028a-5f36-b160-2214d1e26354,3785,nyt://article/318dbe7a-028a-5f36-b160-2214d1e26354,Gramm and the ‘Enron Loophole’,,,Gramm and the ‘Enron Loophole’,,,,By Eric Lipton,"[{'firstname': 'Eric', 'middlename': None, 'lastname': 'Lipton', 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 1}]",,,,
7,“Eden” is a picture so modest and minor-key that the emotional bruise it leaves may take days to develop.,https://www.nytimes.com/2008/11/14/movies/14eden.html,“Eden” is a picture so modest and minor-key that the emotional bruise it leaves may take days to develop.," The kitchen-sink drama has fallen out of favor lately, elbowed aside by flashier fare. One welcome corrective to this trend is “Eden,” a picture so modest and minor-key that the emotional bruise it leaves may take days to develop. ",The New York Times,"[{'rank': 0, 'subtype': 'xlarge', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2008/11/14/movies/14eden.xlarge1.jpg', 'height': 350, 'width': 600, 'legacy': {'xlarge': 'images/2008/11/14/movies/14eden.xlarge1.jpg', 'xlargewidth': 600, 'xlargeheight': 350}, 'subType': 'xlarge', 'crop_name': 'articleLarge'}, {'rank': 0, 'subtype': 'popup', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2008/11/14/movies/14eden.xlarge1.jpg', 'height': 350, 'width': 600, 'legacy': {}, 'subType': 'popup', 'crop_name': 'popup'}, {'rank': 0, 'subtype': 'thumbnail', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2008/11/14/movies/14eden.751.jpg', 'height': 75, 'width': 75, 'legacy': {'thumbnail': 'images/2008/11/14/movies/14eden.751.jpg', 'thumbnailwidth': 75, 'thumbnailheight': 75}, 'subType': 'thumbnail', 'crop_name': 'thumbStandard'}]","[{'name': 'subject', 'value': 'MOTION PICTURES', 'rank': 1, 'major': 'N'}]",2008-11-14T01:19:10+0000,article,Weekend,Movies,Review,nyt://article/1d29f6ab-8ac5-5763-9263-b8c92d51c6c5,298,nyt://article/1d29f6ab-8ac5-5763-9263-b8c92d51c6c5,The Common Wounds of a Neglected Marriage,Movie Review | 'Eden',,"Ready for a Spring Thaw: Bickering, Controlling Old Folks With Frozen Souls",,,,By Jeannette Catsoulis,"[{'firstname': 'Jeannette', 'middlename': None, 'lastname': 'Catsoulis', 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 1}]",,,,
8,Pop,https://www.nytimes.com/2008/11/09/arts/09weekahead.html,,Pop,The New York Times,"[{'rank': 0, 'subtype': 'articleInline', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2008/11/09/arts/05weekfilm_190.jpg', 'height': 279, 'width': 190, 'legacy': {}, 'subType': 'articleInline', 'crop_name': 'articleInline'}, {'rank': 0, 'subtype': 'thumbnail', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2008/11/09/arts/05weekfilm_75.jpg', 'height': 75, 'width': 75, 'legacy': {'thumbnail': 'images/2008/11/09/arts/05weekfilm_75.jpg', 'thumbnailwidth': 75, 'thumbnailheight': 75}, 'subType': 'thumbnail', 'crop_name': 'thumbStandard'}]",[],2008-11-09T06:44:20+0000,article,Arts&Leisure,Arts,Schedule,nyt://article/a4fae68f-f20b-512f-8e7b-837178fbfed0,1773,nyt://article/a4fae68f-f20b-512f-8e7b-837178fbfed0,The Week Ahead: Nov. 9-15,,,The Week Ahead: Nov. 9-15,,,,By The New York Times,[],The New York Times,AR,4,
9,"WELLINGTON, New Zealand — New rules became the focus of the first round of rugby's Super 14, eclipsing the winning starts made by last year's finalists, South Africa's Sharks and Bulls.",https://www.nytimes.com/2008/02/17/sports/17iht-rugbyu17.10115841.html,,"WELLINGTON, New Zealand — New rules became the focus of the first round of rugby's Super 14, eclipsing the winning starts made by last year's finalists, South Africa's Sharks and Bulls.",International Herald Tribune,[],[],2008-11-07T05:00:00+0000,article,IHT News,Sports,News,nyt://article/99ade487-fff3-5ab0-8daf-6fd271516731,753,nyt://article/99ade487-fff3-5ab0-8daf-6fd271516731,New rules the points of interest in Super 14's first round,,,New rules the points of interest in Super 14's first round,,,,,[],,,,
