,abstract,web_url,snippet,lead_paragraph,print_section,print_page,source,multimedia,keywords,pub_date,document_type,news_desk,section_name,type_of_material,_id,word_count,uri,headline_main,headline_kicker,headline_content_kicker,headline_print_headline,headline_name,headline_seo,headline_sub,byline_original,byline_person,byline_organization
0,"About one million homeowners facing foreclosure could have their mortgage burden cut by about $20,000 each as part of a long-awaited deal.",https://www.nytimes.com/2012/01/24/business/a-deal-on-foreclosures-inches-closer.html,"About one million homeowners facing foreclosure could have their mortgage burden cut by about $20,000 each as part of a long-awaited deal.","About one million homeowners facing foreclosure could have their mortgage burden cut by about $20,000 each as part of a long-awaited deal taking shape among state attorneys general, federal officials and the nation’s largest mortgage servicers.",B,1,The New York Times,"[{'rank': 0, 'subtype': 'blog480', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2012/01/24/business/Mortgage/Mortgage-blog480.jpg', 'height': 320, 'width': 480, 'legacy': {}, 'subType': 'blog480', 'crop_name': 'blog480'}, {'rank': 0, 'subtype': 'jumbo', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2012/01/24/business/Mortgage/Mortgage-jumbo.jpg', 'height': 683, 'width': 1024, 'legacy': {}, 'subType': 'jumbo', 'crop_name': 'jumbo'}, {'rank': 0, 'subtype': 'popup', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2012/01/24/business/Mortgage/Mortgage-popup.jpg', 'height': 433, 'width': 650, 'legacy': {}, 'subType': 'popup', 'crop_name': 'popup'}, {'rank': 0, 'subtype': 'articleInline', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2012/01/24/business/Mortgage/Mortgage-articleInline.jpg', 'height': 127, 'width': 190, 'legacy': {}, 'subType': 'articleInline', 'crop_name': 'articleInline'}, {'rank': 0, 'subtype': 'sfSpan', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2012/01/24/business/Mortgage/Mortgage-sfSpan.jpg', 'height': 263, 'width': 395, 'legacy': {}, 'subType': 'sfSpan', 'crop_name': 'sfSpan'}, {'rank': 0, 'subtype': 'thumbnail', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2012/01/24/business/Mortgage/Mortgage-thumbStandard.jpg', 'height': 75, 'width': 75, 'legacy': {'thumbnail': 'images/2012/01/24/business/Mortgage/Mortgage-thumbStandard.jpg', 'thumbnailwidth': 75, 'thumbnailheight': 75}, 'subType': 'thumbnail', 'crop_name': 'thumbStandard'}]","[{'name': 'subject', 'value': 'Banking and Financial Institutions', 'rank': 1, 'major': 'N'}, {'name': 'subject', 'value': 'Mortgages', 'rank': 2, 'major': 'N'}, {'name': 'subject', 'value': 'Foreclosures', 'rank': 3, 'major': 'N'}, {'name': 'subject', 'value': 'United States Politics and Government', 'rank': 4, 'major': 'N'}, {'name': 'subject', 'value': 'Attorneys General', 'rank': 5, 'major': 'N'}]",2012-01-24T02:25:38+0000,article,Business,Business Day,News,nyt://article/0ff55233-63b6-5442-9007-62327ddf8a62,1092,nyt://article/0ff55233-63b6-5442-9007-62327ddf8a62,Political Push Moves a Deal on Mortgages Inches Closer,,,Political Push Moves a Deal On Mortgages Inches Closer,,,,By Nelson D. Schwartz and Shaila Dewan,"[{'firstname': 'Nelson', 'middlename': None, 'lastname': None, 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 1}]",
1,"It is almost impossible to separate the legal issues from the political aspects of the case against Ross Mirkarimi, San Francisco’s new sheriff.",https://www.nytimes.com/2012/01/22/us/charges-against-mirkarimi-present-a-political-twist.html,"It is almost impossible to separate the legal issues from the political aspects of the case against Ross Mirkarimi, San Francisco’s new sheriff.",People following Venezuela’s news Web site Noticias24 Tuesday were treated to a plot that might have been lifted from one of the popular Venezuelan soap operas featuring Eliana Lopez. ,A,27A,The New York Times,"[{'rank': 0, 'subtype': 'xlarge', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2012/01/22/us/bcmirkarimi/bcmirkarimi-articleLarge.jpg', 'height': 330, 'width': 600, 'legacy': {'xlarge': 'images/2012/01/22/us/bcmirkarimi/bcmirkarimi-articleLarge.jpg', 'xlargewidth': 600, 'xlargeheight': 330}, 'subType': 'xlarge', 'crop_name': 'articleLarge'}, {'rank': 0, 'subtype': 'blog480', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2012/01/22/us/bcmirkarimi/bcmirkarimi-blog480.jpg', 'height': 329, 'width': 480, 'legacy': {}, 'subType': 'blog480', 'crop_name': 'blog480'}, {'rank': 0, 'subtype': 'jumbo', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2012/01/22/us/bcmirkarimi/bcmirkarimi-jumbo.jpg', 'height': 703, 'width': 1024, 'legacy': {}, 'subType': 'jumbo', 'crop_name': 'jumbo'}, {'rank': 0, 'subtype': 'popup', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2012/01/22/us/bcmirkarimi/bcmirkarimi-popup.jpg', 'height': 446, 'width': 650, 'legacy': {}, 'subType': 'popup', 'crop_name': 'popup'}, {'rank': 0, 'subtype': 'articleInline', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2012/01/22/us/bcmirkarimi/bcmirkarimi-articleInline.jpg', 'height': 130, 'width': 190, 'legacy': {}, 'subType': 'articleInline', 'crop_name': 'articleInline'}, {'rank': 0, 'subtype': 'sfSpan', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2012/01/22/us/bcmirkarimi/bcmirkarimi-sfSpan.jpg', 'height': 271, 'width': 395, 'legacy': {}, 'subType': 'sfSpan', 'crop_name': 'sfSpan'}, {'rank': 0, 'subtype': 'thumbnail', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2012/01/22/us/bcmirkarimi/bcmirkarimi-thumbStandard.jpg', 'height': 75, 'width': 75, 'legacy': {'thumbnail': 'images/2012/01/22/us/bcmirkarimi/bcmirkarimi-thumbStandard.jpg', 'thumbnailwidth': 75, 'thumbnailheight': 75}, 'subType': 'thumbnail', 'crop_name': 'thumbStandard'}]","[{'name': 'persons', 'value': 'Mirkarimi, Ross', 'rank': 1, 'major': 'N'}, {'name': 'subject', 'value': 'Police', 'rank': 2, 'major': 'N'}, {'name': 'subject', 'value': 'Domestic Violence', 'rank': 3, 'major': 'N'}, {'name': 'glocations', 'value': 'San Francisco (Calif)', 'rank': 4, 'major': 'N'}]",2012-01-21T22:43:11+0000,article,National,U.S.,News,nyt://article/47411517-01f9-5949-b090-100fd3df8328,1244,nyt://article/47411517-01f9-5949-b090-100fd3df8328,Charges Against Sheriff Present a Political Twist,The Bay Citizen,,Charges Against Sheriff Present a Political Twist,,,,By Matt Smith,"[{'firstname': 'Matt', 'middlename': None, 'lastname': 'Smith', 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 1}]",
2,"Attorney General Kamala D. Harris, an early Obama supporter, is trying with other state attorneys general for a tougher settlement than the president’s on mortgage abuse.",https://www.nytimes.com/2012/01/15/us/attorney-general-kamala-harris-looks-for-tougher-settlement-than-obamas-on-mortgage-abuse.html,"Attorney General Kamala D. Harris, an early Obama supporter, is trying with other state attorneys general for a tougher settlement than the president’s on mortgage abuse.","Four years ago, when most of the Democratic Party establishment stood firmly behind Hillary Rodham Clinton, Kamala D. Harris, then San Francisco’s district attorney, spent a winter week in Iowa stumping for Barack Obama. ",A,25A,The New York Times,"[{'rank': 0, 'subtype': 'jumbo', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2012/01/15/us/15BCHARRIS/15BCHARRIS-jumbo.jpg', 'height': 721, 'width': 648, 'legacy': {}, 'subType': 'jumbo', 'crop_name': 'jumbo'}, {'rank': 0, 'subtype': 'popup', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2012/01/15/us/15BCHARRIS/15BCHARRIS-popup.jpg', 'height': 500, 'width': 449, 'legacy': {}, 'subType': 'popup', 'crop_name': 'popup'}, {'rank': 0, 'subtype': 'articleInline', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2012/01/15/us/15BCHARRIS/15BCHARRIS-articleInline.jpg', 'height': 211, 'width': 190, 'legacy': {}, 'subType': 'articleInline', 'crop_name': 'articleInline'}, {'rank': 0, 'subtype': 'thumbnail', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2012/01/15/us/15BCHARRIS/15BCHARRIS-thumbStandard.jpg', 'height': 75, 'width': 75, 'legacy': {'thumbnail': 'images/2012/01/15/us/15BCHARRIS/15BCHARRIS-thumbStandard.jpg', 'thumbnailwidth': 75, 'thumbnailheight': 75}, 'subType': 'thumbnail', 'crop_name': 'thumbStandard'}]","[{'name': 'persons', 'value': 'Harris, Kamala D', 'rank': 1, 'major': 'N'}, {'name': 'persons', 'value': 'Obama, Barack', 'rank': 2, 'major': 'N'}, {'name': 'subject', 'value': 'Reform and Reorganization', 'rank': 3, 'major': 'N'}, {'name': 'subject', 'value': 'Mortgages', 'rank': 4, 'major': 'N'}, {'name': 'subject', 'value': 'Attorneys General', 'rank': 5, 'major': 'N'}, {'name': 'organizations', 'value': 'MoveOn.org', 'rank': 6, 'major': 'N'}]",2012-01-15T00:31:54+0000,article,National,U.S.,News,nyt://article/65c49a46-e87c-587b-8277-fb1c4762c4c4,677,nyt://article/65c49a46-e87c-587b-8277-fb1c4762c4c4,Harris Out on a Limb on Mortgage Settlement,The Bay Citizen,,Harris Out on a Limb On Mortgage Settlement,,,,By Aaron Glantz,"[{'firstname': 'Aaron', 'middlename': None, 'lastname': 'Glantz', 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 1}]",
3,"California is stepping up its crusade against cybercriminals. On Tuesday, Kamala D. Harris, California’s attorney general, announced the creation of the nation’s largest e-crime unit, a team of 20 investigators and prosecutors whose sole mission will be to thwart and prosecute cybercrimes like identity theft, Internet scams, computer theft, online child pornography and intellectual property theft across the state.",https://bits.blogs.nytimes.com/2011/12/13/california-creates-special-unit-to-fight-computer-crimes/,"California is stepping up its crusade against cybercriminals. On Tuesday, Kamala D. Harris, California’s attorney general, announced the creation of the nation’s largest e-crime unit, a team of 20 investigators and prosecutors whose sole mission w...",California has long led the nation in technological innovation. A lesser-known fact: It also leads the country in cybercrime.,B,8,The New York Times,[],"[{'name': 'subject', 'value': 'Computer Security', 'rank': 1, 'major': 'N'}, {'name': 'subject', 'value': 'Computers and the Internet', 'rank': 2, 'major': 'N'}, {'name': 'persons', 'value': 'Harris, Kamala D', 'rank': 3, 'major': 'N'}, {'name': 'glocations', 'value': 'California', 'rank': 4, 'major': 'N'}]",2011-12-13T23:07:20+0000,article,,Technology,News,nyt://article/3f04f128-14c5-5742-8e89-34677d970b7d,323,nyt://article/3f04f128-14c5-5742-8e89-34677d970b7d,California Creates Special Unit to Fight Computer Crimes,Bits,,A Unit to Fight Cybercrimes,,,,By Nicole Perlroth,"[{'firstname': 'Nicole', 'middlename': None, 'lastname': 'Perlroth', 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 1}]",
4,"The medical marijuana industry has become big business in California, but its operators are nervous in the face of stepped-up federal government efforts to shut it down.",https://www.nytimes.com/2011/11/24/us/medical-marijuana-target-of-us-prosecutors.html,"The medical marijuana industry has become big business in California, but its operators are nervous in the face of stepped-up federal government efforts to shut it down.","UKIAH, Calif. — An intensifying federal crackdown on growers and sellers of state-authorized medical marijuana has badly shaken the billion-dollar industry, which has sprung up in California since voters approved medical use of the drug in 1996, and has highlighted the stark contradiction between federal and state policies. ",A,22,The New York Times,"[{'rank': 0, 'subtype': 'xlarge', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2011/11/24/us/jp-POT-2/jp-POT-2-articleLarge.jpg', 'height': 350, 'width': 600, 'legacy': {'xlarge': 'images/2011/11/24/us/jp-POT-2/jp-POT-2-articleLarge.jpg', 'xlargewidth': 600, 'xlargeheight': 350}, 'subType': 'xlarge', 'crop_name': 'articleLarge'}, {'rank': 0, 'subtype': 'blog480', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2011/11/24/us/jp-POT-2/jp-POT-2-blog480.jpg', 'height': 320, 'width': 480, 'legacy': {}, 'subType': 'blog480', 'crop_name': 'blog480'}, {'rank': 0, 'subtype': 'popup', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2011/11/24/us/jp-POT-2/jp-POT-2-articleLarge.jpg', 'height': 350, 'width': 600, 'legacy': {}, 'subType': 'popup', 'crop_name': 'popup'}, {'rank': 0, 'subtype': 'sfSpan', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2011/11/24/us/jp-POT-2/jp-POT-2-sfSpan.jpg', 'height': 250, 'width': 395, 'legacy': {}, 'subType': 'sfSpan', 'crop_name': 'sfSpan'}, {'rank': 0, 'subtype': 'thumbnail', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2011/11/24/us/jp-POT-2/jp-POT-2-thumbStandard.jpg', 'height': 75, 'width': 75, 'legacy': {'thumbnail': 'images/2011/11/24/us/jp-POT-2/jp-POT-2-thumbStandard.jpg', 'thumbnailwidth': 75, 'thumbnailheight': 75}, 'subType': 'thumbnail', 'crop_name': 'thumbStandard'}]","[{'name': 'subject', 'value': 'Regulation and Deregulation of Industry', 'rank': 1, 'major': 'N'}, {'name': 'subject', 'value': 'Search and Seizure', 'rank': 2, 'major': 'N'}, {'name': 'subject', 'value': 'Drug Abuse and Traffic', 'rank': 3, 'major': 'N'}, {'name': 'subject', 'value': 'Medical Marijuana', 'rank': 4, 'major': 'N'}, {'name': 'subject', 'value': 'Law and Legislation', 'rank': 5, 'major': 'N'}, {'name': 'organizations', 'value': 'Drug Enforcement Administration', 'rank': 6, 'major': 'N'}, {'name': 'glocations', 'value': 'California', 'rank': 7, 'major': 'N'}]",2011-11-23T21:13:20+0000,article,National,U.S.,News,nyt://article/2826d700-3e87-5b22-a776-3d9693e57ea4,1225,nyt://article/2826d700-3e87-5b22-a776-3d9693e57ea4,Medical Marijuana Industry Is Unnerved by U.S. Crackdown,,,Medical Marijuana Industry Is Unnerved by U.S. Crackdown,,,,By Erik Eckholm,"[{'firstname': 'Erik', 'middlename': None, 'lastname': 'Eckholm', 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 1}]",
5,"An $8.7 billion settlement with Countrywide Financial in 2008 was supposed to help homeowners like Raul Peña. But that help has not arrived, and he is in the process of selling his house for less than one-third of what he paid.",https://www.nytimes.com/2011/11/11/us/mortgage-settlement-many-are-left-behind.html,"An $8.7 billion settlement with Countrywide Financial in 2008 was supposed to help homeowners like Raul Peña. But that help has not arrived, and he is in the process of selling his house for less than one-third of what he paid.","Sometime next month, Raul Peña will give up his East Oakland home. Mr. Peña, a 40-year-old dishwasher, used a subprime loan from Countrywide Financial to buy his two-bedroom house for $359,000 in 2005. He is in the process of selling it in a short sale for just $100,000. ",A,23A,The New York Times,[],"[{'name': 'organizations', 'value': 'Countrywide Financial Corp', 'rank': 1, 'major': 'N'}, {'name': 'subject', 'value': 'Mortgages', 'rank': 2, 'major': 'N'}, {'name': 'subject', 'value': 'Banking and Financial Institutions', 'rank': 3, 'major': 'N'}, {'name': 'subject', 'value': 'Foreclosures', 'rank': 4, 'major': 'N'}, {'name': 'glocations', 'value': 'California', 'rank': 5, 'major': 'N'}]",2011-11-11T01:06:51+0000,article,National,U.S.,News,nyt://article/3874910d-1ad9-5176-86e3-db016f71de2e,510,nyt://article/3874910d-1ad9-5176-86e3-db016f71de2e,Mortgage Settlement: Many Are Left Behind,The Bay Citizen,,Mortgage Settlement: Many Are Left Behind,,,,By Aaron Glantz,"[{'firstname': 'Aaron', 'middlename': None, 'lastname': 'Glantz', 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 1}]",
6,A settlement in the works would not hold banks accountable for mortgage abuses. State attorneys general should keep fighting for a better deal.,https://www.nytimes.com/2011/11/09/opinion/letting-the-banks-off-easy.html,A settlement in the works would not hold banks accountable for mortgage abuses. State attorneys general should keep fighting for a better deal.,"The banks want California, and the Obama administration hopes they can get it.",A,30,The New York Times,[],"[{'name': 'subject', 'value': 'Banking and Financial Institutions', 'rank': 1, 'major': 'N'}, {'name': 'subject', 'value': 'Mortgages', 'rank': 2, 'major': 'N'}, {'name': 'subject', 'value': 'Foreclosures', 'rank': 3, 'major': 'N'}, {'name': 'subject', 'value': 'Real Estate and Housing (Residential)', 'rank': 4, 'major': 'N'}, {'name': 'subject', 'value': 'Attorneys General', 'rank': 5, 'major': 'N'}, {'name': 'persons', 'value': 'Harris, Kamala', 'rank': 6, 'major': 'N'}, {'name': 'persons', 'value': 'Biden, Joseph R III', 'rank': 7, 'major': 'N'}, {'name': 'persons', 'value': 'Schneiderman, Eric', 'rank': 8, 'major': 'N'}, {'name': 'persons', 'value': 'Obama, Barack', 'rank': 9, 'major': 'N'}, {'name': 'subject', 'value': 'Editorials', 'rank': 10, 'major': 'N'}, {'name': 'subject', 'value': 'Subprime Mortgage Crisis', 'rank': 11, 'major': 'N'}]",2011-11-09T01:57:20+0000,article,Editorial,Opinion,Editorial,nyt://article/63ee790c-5cac-524a-9f84-76ea5d82240a,621,nyt://article/63ee790c-5cac-524a-9f84-76ea5d82240a,Letting the Banks Off Easy,Editorial,,Letting the Banks Off Easy,,,,,[],
7,"More than 100 people, almost all of them connected to Central California gangs, were arrested this week in the latest effort to curb street gangs, Attorney General Kamala Harris announced.",https://www.nytimes.com/2011/10/15/us/california-gang-crackdown-leads-to-more-than-100-arrests.html,"More than 100 people, almost all of them connected to Central California gangs, were arrested this week in the latest effort to curb street gangs, Attorney General Kamala Harris announced."," More than 100 people, almost all of them connected to Central California gangs, were arrested this week in the latest effort to curb street gangs, Attorney General Kamala Harris announced on Friday. The arrests resulted from an 18-month investigation by the California Department of Justice and other law enforcement agencies that began after a gang network set up operations in Gilroy. The operation also led to the seizure of 44 firearms, 81 stolen vehicles, 3 pounds of methamphetamine and other drugs. A majority of the 103 suspects arrested were gang members with felony convictions, the Department of Justice said. Suspects will face charges relating to auto theft, guns, gangs and the sale of narcotics. ",A,11,The New York Times,[],"[{'name': 'subject', 'value': 'Crime and Criminals', 'rank': 1, 'major': 'N'}, {'name': 'subject', 'value': 'Drug Abuse and Traffic', 'rank': 2, 'major': 'N'}, {'name': 'subject', 'value': 'Gangs', 'rank': 3, 'major': 'N'}, {'name': 'glocations', 'value': 'California', 'rank': 4, 'major': 'N'}]",2011-10-15T01:43:33+0000,article,National,U.S.,Brief,nyt://article/2e03990e-44d6-53ab-9517-c20bc1282d1c,114,nyt://article/2e03990e-44d6-53ab-9517-c20bc1282d1c,California: Arrests in Gang Crackdown,National Briefing | West,,California: Arrests in Gang Crackdown,,,,By Ian Lovett,"[{'firstname': 'Ian', 'middlename': None, 'lastname': 'Lovett', 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 1}]",
8,Highlights from the DealBook newsletter.,https://dealbook.nytimes.com/2011/10/07/morning-take-out-342/,Highlights from the DealBook newsletter.,TOP STORIES ,,,The New York Times,[],[],2011-10-07T15:10:10+0000,article,Business,Business Day,News,nyt://article/71bcfc44-0415-5503-b5ce-1c730d6484c8,1501,nyt://article/71bcfc44-0415-5503-b5ce-1c730d6484c8,Morning Take-Out,DealBook,,,,,,By Dealbook,"[{'firstname': 'Dealbook', 'middlename': None, 'lastname': None, 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 1}]",
9,The decision threatens to derail the Justice Department’s efforts to broker a broad settlement of allegations involving mortgage practices.,https://www.nytimes.com/2011/10/01/business/california-quits-states-talks-with-banks.html,The decision threatens to derail the Justice Department’s efforts to broker a broad settlement of allegations involving mortgage practices.,A decision on Friday by a California official to withdraw from negotiations with large banks over their mortgage practices threatens to derail a broad settlement that the Justice Department has been brokering for nearly a year.,B,1,The New York Times,"[{'rank': 0, 'subtype': 'xlarge', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2011/10/01/business/mortgage/mortgage-articleLarge.jpg', 'height': 360, 'width': 600, 'legacy': {'xlarge': 'images/2011/10/01/business/mortgage/mortgage-articleLarge.jpg', 'xlargewidth': 600, 'xlargeheight': 360}, 'subType': 'xlarge', 'crop_name': 'articleLarge'}, {'rank': 0, 'subtype': 'blog480', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2011/10/01/business/mortgage/mortgage-blog480.jpg', 'height': 320, 'width': 480, 'legacy': {}, 'subType': 'blog480', 'crop_name': 'blog480'}, {'rank': 0, 'subtype': 'jumbo', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2011/10/01/business/mortgage/mortgage-jumbo.jpg', 'height': 683, 'width': 1024, 'legacy': {}, 'subType': 'jumbo', 'crop_name': 'jumbo'}, {'rank': 0, 'subtype': 'popup', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2011/10/01/business/mortgage/mortgage-articleLarge.jpg', 'height': 360, 'width': 600, 'legacy': {}, 'subType': 'popup', 'crop_name': 'popup'}]","[{'name': 'subject', 'value': 'Mortgages', 'rank': 1, 'major': 'N'}, {'name': 'glocations', 'value': 'California', 'rank': 2, 'major': 'N'}, {'name': 'subject', 'value': 'Banking and Financial Institutions', 'rank': 3, 'major': 'N'}, {'name': 'subject', 'value': 'Foreclosures', 'rank': 4, 'major': 'N'}]",2011-09-30T22:35:49+0000,article,Business,Business Day,News,nyt://article/b62043f4-32e0-5e69-9727-fa81df08840d,827,nyt://article/b62043f4-32e0-5e69-9727-fa81df08840d,California Quits States’ Talks With Banks on Mortgages,,,California Leaves Talks In Settling Mortgages,,,,By Louise Story,"[{'firstname': 'Louise', 'middlename': None, 'lastname': 'Story', 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 1}]",
