,abstract,web_url,snippet,lead_paragraph,print_section,print_page,source,multimedia,keywords,pub_date,document_type,news_desk,section_name,type_of_material,_id,word_count,uri,headline_main,headline_kicker,headline_content_kicker,headline_print_headline,headline_name,headline_seo,headline_sub,byline_original,byline_person,byline_organization
0,"Fairfield Prep avenged its only loss of the season and captured its third Metropolitan Bridgeport League championship in the last four years by defeating St. Joseph of Trumbull, 7-0, before 7,500 fans Friday night at Bridgeport;s Kennedy Stadium.  ",https://www.nytimes.com/1980/11/23/archives/prep-beats-st-joseph-for-title-connecticut-lynn-kennedy-sets-marks.html,,,S,10,The New York Times,[],[],1980-11-23T05:00:00+0000,article,None,Archives,Archives,nyt://article/2aeb5017-2e1d-5f14-87d0-473b7de0c9bf,0,nyt://article/2aeb5017-2e1d-5f14-87d0-473b7de0c9bf,Prep Beats St. Joseph for Title; Connecticut Lynn Kennedy Sets Marks In Two State Swim Events,1,,Prep Beats St. Joseph for Title; Connecticut Lynn Kennedy Sets Marks In Two State Swim Events,,,,,[],
1,,https://www.nytimes.com/1980/11/23/archives/arts-entertainment-guide-theater-opening-this-week-broadway-now.html,,,T,9,The New York Times,[],[],1980-11-23T05:00:00+0000,article,None,Archives,Archives,nyt://article/8728b7c1-72d9-5e09-a892-2e7131e21095,0,nyt://article/8728b7c1-72d9-5e09-a892-2e7131e21095,Arts & Entertainment Guide; Theater OPENING THIS WEEK BROADWAY NOW PREVIEWING OFF BROADWAY OFF OFF BROADWAY Dance Film RECOMMENDED REVIVALS OPERA CLASSICAL Music MUSIC JAZZ Art ART Other MUSEUMS Photography Group Shows Talks Children ,4,,Arts & Entertainment Guide; Theater OPENING THIS WEEK BROADWAY NOW PREVIEWING OFF BROADWAY OFF OFF BROADWAY Dance Film RECOMMENDED REVIVALS OPERA CLASSICAL Music MUSIC JAZZ Art ART Other MUSEUMS Photography Group Shows Talks Children ,,,,,[],
2,,https://www.nytimes.com/1980/11/23/archives/college-basketball-198081-20-possible-answers-to-the-question-of.html,,,S,9,The New York Times,[],[],1980-11-23T05:00:00+0000,article,None,Archives,Archives,nyt://article/f5fb11dd-5595-50aa-9485-141bee88642a,0,nyt://article/f5fb11dd-5595-50aa-9485-141bee88642a,"COLLEGE BASKETBALL 1980-81; 20 Possible Answers to the Question of 'Who's No. 1?' Kentucky Louisiana State U.C.L.A. Oregon State Nevada, Las Vegas North Carolina Maryland Virginia Clemson Indiana Ohio State Missouri Louisville Texas A & M Notre Dame De Paul St. John's Villanova Connecticut Georgetown ",1,,"COLLEGE BASKETBALL 1980-81; 20 Possible Answers to the Question of 'Who's No. 1?' Kentucky Louisiana State U.C.L.A. Oregon State Nevada, Las Vegas North Carolina Maryland Virginia Clemson Indiana Ohio State Missouri Louisville Texas A & M Notre Dame De Paul St. John's Villanova Connecticut Georgetown ",,,,,[],
3,"SOUTH BEND, Ind., Nov. 22 (AP)-- Notre Dame, bound for the Sugar Bowl, broke a tie in the third quarter on Phil Carter's 2-yard touchdown and went on to defeat a stubborn Air Force team today, 24-10.  ",https://www.nytimes.com/1980/11/23/archives/irish-are-extended-in-beating-air-force-iowa-41-michigan-state-0.html,,,S,7,The New York Times,[],[],1980-11-23T05:00:00+0000,article,None,Archives,Archives,nyt://article/37ebac42-9f6f-5bd2-b40e-8473a004bf68,0,nyt://article/37ebac42-9f6f-5bd2-b40e-8473a004bf68,"Irish Are Extended In Beating Air Force; Iowa 41, Michigan State 0 Purdue 24, Indiana 23",1,,"Irish Are Extended In Beating Air Force; Iowa 41, Michigan State 0 Purdue 24, Indiana 23",,,,,[],
4,Robert De Niro remembers the first time he thought about portraying the middlewight boxer Jake La Motta.  ,https://www.nytimes.com/1980/11/23/archives/the-delicate-art-of-creating-a-brutal-film-hero-the-delicate-art-of.html,,,A,1,The New York Times,[],[],1980-11-23T05:00:00+0000,article,None,Archives,Archives,nyt://article/a3510240-a74f-58a7-9e58-794c81a04538,0,nyt://article/a3510240-a74f-58a7-9e58-794c81a04538,The Delicate Art of Creating a Brutal Film Hero; The Delicate Art of Creating a Brutal Film Hero,2,,The Delicate Art of Creating a Brutal Film Hero; The Delicate Art of Creating a Brutal Film Hero,,,,By Fred Ferretti,"[{'firstname': 'Fred', 'middlename': None, 'lastname': 'Ferretti', 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 1}]",
5,"Columbia's football season ended yesterday with an eighth straight defeat, this time by 31-13, to Brown at Baker Field.  ",https://www.nytimes.com/1980/11/23/archives/columbia-trounced-by-brown-lions-tie-the-score-cornell-31-penn-9.html,,,S,8,The New York Times,[],[],1980-11-23T05:00:00+0000,article,None,Archives,Archives,nyt://article/5ca77710-bb6e-5b7b-a055-ead68f4b1ee9,0,nyt://article/5ca77710-bb6e-5b7b-a055-ead68f4b1ee9,"Columbia Trounced By Brown; Lions Tie the Score Cornell 31, Penn 9 ",1,,"Columbia Trounced By Brown; Lions Tie the Score Cornell 31, Penn 9 ",,,,,[],
6,,https://www.nytimes.com/1980/11/22/archives/article-5-no-title.html,,,B,35,The New York Times,[],[],1980-11-22T05:00:00+0000,article,None,Archives,Archives,nyt://article/0b1563fc-ac7e-56d6-bef9-d73d816c23f6,0,nyt://article/0b1563fc-ac7e-56d6-bef9-d73d816c23f6,Article 5 -- No Title,1,,Article 5 -- No Title,,,,,[],
7,"HARRISBURG, Pa., Nov. 21 (UPI)--The doctor for a team in the Philadelphia Phillies' minor league system has been charged, along with two other men, with illegally obtaining amphetamines by using the names of Philadelphia players, the Pennsylvania Justice Department said today.  ",https://www.nytimes.com/1980/11/22/archives/phils-farms-doctor-accused.html,,,S,18,The New York Times,[],[],1980-11-22T05:00:00+0000,article,None,Archives,Archives,nyt://article/dc613951-9120-5e7d-a2a1-157bba14c759,0,nyt://article/dc613951-9120-5e7d-a2a1-157bba14c759,Phils Farm's Doctor Accused,1,,Phils Farm's Doctor Accused,,,,,[],
8,"Mayor Koch said yesterday that it would be ""a disaster"" if the Federal Government adopted a proposal by advisers to President-elect Ronald Reagan that would bar Federal grants to cities with rent-control laws. He expressed confidence that the Government could be persuaded that New York City's rent laws were ""reasonable.""  ",https://www.nytimes.com/1980/11/22/archives/plan-to-prevent-controls-on-rent-derided-by-koch-he-sees-a-disaster.html,,,M,27,The New York Times,[],[],1980-11-22T05:00:00+0000,article,None,Archives,Archives,nyt://article/11a0361d-bee3-5467-a47e-b65a116d1cd9,0,nyt://article/11a0361d-bee3-5467-a47e-b65a116d1cd9,Plan to Prevent Controls on Rent Derided by Koch; He Sees 'a Disaster' if U.S. Cuts Off Aid to the City Controls Linked to Abandonment Mayor's Apartment Controlled ,1,,Plan to Prevent Controls on Rent Derided by Koch; He Sees 'a Disaster' if U.S. Cuts Off Aid to the City Controls Linked to Abandonment Mayor's Apartment Controlled ,,,,By Michael Good Win,"[{'firstname': 'Michael', 'middlename': 'Good', 'lastname': 'Win', 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 1}]",
9,"WASHINGTON, Nov. 20 -- A group of advisers to President-elect Ronald Reagan have recommended unanimously that Federal grants be withheld from cities that have rent-control laws.  ",https://www.nytimes.com/1980/11/21/archives/reagan-aides-urge-rentcontrol-cities-lose-all-us-grants-curbs.html,,,A,1,The New York Times,[],[],1980-11-21T05:00:00+0000,article,None,Archives,Archives,nyt://article/0bda7878-00e8-5907-acd0-8332be88f5a0,0,nyt://article/0bda7878-00e8-5907-acd0-8332be88f5a0,REAGAN AIDES URGE RENT-CONTROL CITIES LOSE ALL U.S. GRANTS; CURBS CALLED MAJOR FAILURE Urban Affairs Task Force Calls for More Leeway for Businesses and Local Governments 'Failure' From Coast to Coast Criticism From Other Aides Reagan Aides Urge Ban on Grants For Cities That Have Rent Control,2,,REAGAN AIDES URGE RENT-CONTROL CITIES LOSE ALL U.S. GRANTS; CURBS CALLED MAJOR FAILURE Urban Affairs Task Force Calls for More Leeway for Businesses and Local Governments 'Failure' From Coast to Coast Criticism From Other Aides Reagan Aides Urge Ban on Grants For Cities That Have Rent Control,,,,By David E. Rosenbaum Special To the New York Times,"[{'firstname': 'David', 'middlename': 'E.', 'lastname': 'Rosenbaum', 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 1}]",
