,abstract,web_url,snippet,lead_paragraph,print_page,source,multimedia,keywords,pub_date,document_type,news_desk,section_name,type_of_material,_id,word_count,uri,headline_main,headline_kicker,headline_content_kicker,headline_print_headline,headline_name,headline_seo,headline_sub,byline_original,byline_person,byline_organization,print_section
0,,https://www.nytimes.com/1980/11/07/archives/television-top-weekend-films.html,,,71,The New York Times,[],[],1980-11-07T05:00:00+0000,article,None,Archives,Archives,nyt://article/6ea2ca8b-b751-50c5-85b8-8e08ad17a684,0,nyt://article/6ea2ca8b-b751-50c5-85b8-8e08ad17a684,Television; TOP WEEKEND FILMS ,1,,Television; TOP WEEKEND FILMS ,,,,,[],,
1,Following are the members of the Actors Studio who last night won the First Actors Studio Awards at the Waldorf-Astoria Hotel:  ,https://www.nytimes.com/1980/11/06/archives/the-first-actors-studio-awards-winners.html,,,6,The New York Times,[],[],1980-11-06T05:00:00+0000,article,None,Archives,Archives,nyt://article/c26a6f88-de3a-56dc-9997-0f3d5ce1e4e6,0,nyt://article/c26a6f88-de3a-56dc-9997-0f3d5ce1e4e6,The First Actors Studio Awards Winners,1,,The First Actors Studio Awards Winners,,,,,[],,T
2,"Republicans captured control of the Senate early yesterday for the first time in 26 years in a victory likely to elevate many veteran conservatives, including Barry Goldwater and Strom Thurmond, to influential committee chairmanships.  ",https://www.nytimes.com/1980/11/06/archives/baker-and-conservatives-viewed-as-new-leaders-alignments-may-blur-a.html,,,1,The New York Times,[],[],1980-11-06T05:00:00+0000,article,None,Archives,Archives,nyt://article/3128d2db-7fe1-5888-95e0-e434476e3eee,0,nyt://article/3128d2db-7fe1-5888-95e0-e434476e3eee,Baker and Conservatives Viewed as New Leaders; Alignments May Blur 'A Healthy Shock' Kennedy to Lose Post Republicans Prepare for Senate Leadership,2,,Baker and Conservatives Viewed as New Leaders; Alignments May Blur 'A Healthy Shock' Kennedy to Lose Post Republicans Prepare for Senate Leadership,,,,By Martin Tolchin,"[{'firstname': 'Martin', 'middlename': None, 'lastname': 'Tolchin', 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 1}]",,A
3,,https://www.nytimes.com/1980/11/06/archives/results-in-races-for-us-senate-and-the-makeup-of-the-newly-elected.html,,,28,The New York Times,[],[],1980-11-06T05:00:00+0000,article,None,Archives,Archives,nyt://article/3d730726-6fe6-5b30-8d07-250cfc02db25,0,nyt://article/3d730726-6fe6-5b30-8d07-250cfc02db25,Results in Races for U.S. Senate and the Makeup of the Newly Elected Congress; Vote for President by States Winners in Races for the Senate The New United States Senate The New House of Representatives ,1,,Results in Races for U.S. Senate and the Makeup of the Newly Elected Congress; Vote for President by States Winners in Races for the Senate The New United States Senate The New House of Representatives ,,,,,[],,A
4,,https://www.nytimes.com/1980/11/05/archives/highlights-of-key-races-for-the-united-states-senate-alabama.html,,,19,The New York Times,[],[],1980-11-05T05:00:00+0000,article,None,Archives,Archives,nyt://article/9ed8dcd4-e5a9-5239-b537-422f753aa687,0,nyt://article/9ed8dcd4-e5a9-5239-b537-422f753aa687,Highlights of Key Races for the United States Senate; Alabama Colorado Florida Georgia Idaho Indiana Iowa New Hampshire Pennsylvania South Dakota Vermont Wisconsin ,1,,Highlights of Key Races for the United States Senate; Alabama Colorado Florida Georgia Idaho Indiana Iowa New Hampshire Pennsylvania South Dakota Vermont Wisconsin ,,,,,[],,A
5,"WASHINGTON, Nov. 3--Several key Congressional chairmanships and leadership posts that influence national policy are at stake tomorrow, when voters will elect 435 members of the House of Representatives and 34 of the 100 senators.  ",https://www.nytimes.com/1980/11/04/archives/key-posts-in-congress-at-stake-today-prediction-on-victories-key.html,,,4,The New York Times,[],[],1980-11-04T05:00:00+0000,article,None,Archives,Archives,nyt://article/af171aeb-810b-5da6-9e3f-0160962b3553,0,nyt://article/af171aeb-810b-5da6-9e3f-0160962b3553,Key Posts in Congress at Stake Today; Prediction on Victories KEY SENATE RACES KEY HOUSE RACES KEY GOVERNOR RACES Candidates of Major Parties in Races for Senator and Governor ,1,,Key Posts in Congress at Stake Today; Prediction on Victories KEY SENATE RACES KEY HOUSE RACES KEY GOVERNOR RACES Candidates of Major Parties in Races for Senator and Governor ,,,,By Martin Tolchin Special To the New York Times,"[{'firstname': 'Martin', 'middlename': 'Tolchin', 'lastname': 'Special', 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 1}]",,M
6,,https://www.nytimes.com/1980/11/04/archives/world-gold.html,,,9,The New York Times,[],[],1980-11-04T05:00:00+0000,article,None,Archives,Archives,nyt://article/07203800-8d99-573b-8b0a-7259bc49181e,0,nyt://article/07203800-8d99-573b-8b0a-7259bc49181e,World Gold,1,,World Gold,,,,,[],,B
7,Rick MacLeish scored two goals to lead the Flyers to a 4-2 victory over Boston in Philadelphia last night and extend their unbeaten streak to eight games.  ,https://www.nytimes.com/1980/11/03/archives/flyers-defeat-bruins-42-lift-unbeaten-streak-to-8-north-stars-8.html,,,5,The New York Times,[],[],1980-11-03T05:00:00+0000,article,None,Archives,Archives,nyt://article/5959284f-0125-5648-8fe3-c7ad3f6d14ad,0,nyt://article/5959284f-0125-5648-8fe3-c7ad3f6d14ad,"Flyers Defeat Bruins, 4-2; Lift Unbeaten Streak to 8; North Stars 8, Flames 3 Sabres 4, Canucks 3",1,,"Flyers Defeat Bruins, 4-2; Lift Unbeaten Streak to 8; North Stars 8, Flames 3 Sabres 4, Canucks 3",,,,,[],,S
8,"A program billed as cable television's answer to predictable network coverage of the Presidential election will be shown starting at 11 P.M. tomorrow on cable stations, including Channels 10 and I on Manhattan Cable and L on Teleprompter Manhattan.  ",https://www.nytimes.com/1980/11/03/archives/informal-election-coverage-on-cable-tv-duo-of-nonconformists.html,,,21,The New York Times,[],[],1980-11-03T05:00:00+0000,article,None,Archives,Archives,nyt://article/f597a1d0-df91-5c6e-ad98-1a3a4d82741f,0,nyt://article/f597a1d0-df91-5c6e-ad98-1a3a4d82741f,Informal Election Coverage on Cable TV; Duo of Nonconformists ,1,,Informal Election Coverage on Cable TV; Duo of Nonconformists ,,,,,[],,F
9,"ALES of adventure set in Africa, with their prefabricated plots and pasteboard heroes, have become so much the special preserve of hack novelists that the genre has been all but spoiled for serious writers.  ",https://www.nytimes.com/1980/11/02/archives/a-filthy-little-war-war.html,,,3,The New York Times,[],[],1980-11-02T05:00:00+0000,article,None,Archives,Archives,nyt://article/5627a9db-16c1-5f22-bbfe-22c70834e334,0,nyt://article/5627a9db-16c1-5f22-bbfe-22c70834e334,A Filthy Little War; War ,2,,A Filthy Little War; War ,,,,By Peter Andrews,"[{'firstname': 'Peter', 'middlename': None, 'lastname': 'Andrews', 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 1}]",,T
