,abstract,web_url,snippet,lead_paragraph,print_section,print_page,source,multimedia,keywords,pub_date,document_type,news_desk,section_name,type_of_material,_id,word_count,uri,headline_main,headline_kicker,headline_content_kicker,headline_print_headline,headline_name,headline_seo,headline_sub,byline_original,byline_person,byline_organization
0,"PHILADELPHIA, Sept. 26--The Philadelphia Phillies captured Round One of the great shootout tonight when they defeated the Montreal Expos, 2-1, on a ninth-inning home run by Bake McBride.  ",https://www.nytimes.com/1980/09/27/archives/phils-gain-game-on-expos-phillies-edge-expos-21.html,,,S,19,The New York Times,[],[],1980-09-27T05:00:00+0000,article,None,Archives,Archives,nyt://article/bd86fe5f-e156-5300-b9e2-77303556cdae,0,nyt://article/bd86fe5f-e156-5300-b9e2-77303556cdae,"Phils Gain Game on Expos; Phillies Edge Expos, 2-1 ",2,,"Phils Gain Game on Expos; Phillies Edge Expos, 2-1 ",,,,By Joseph Durso Special To the New York Times,"[{'firstname': 'Joseph', 'middlename': 'Durso', 'lastname': 'Special', 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 1}]",
1,"Darryl Stingley sits in a wheelchair in his Chicago home these days, serving as executive director of player personnel for the New England Patriots.  ",https://www.nytimes.com/1980/09/25/archives/issue-and-debate-sports-violence-target-of-federal-bill-the.html,,,S,21,The New York Times,[],[],1980-09-25T05:00:00+0000,article,None,Archives,Archives,nyt://article/c5d07b58-3fb2-5ce5-8f81-0ec3d9501f19,0,nyt://article/c5d07b58-3fb2-5ce5-8f81-0ec3d9501f19,Issue and Debate Sports Violence: Target of Federal Bill; The Background Violence In Sports Debated For the Bill Against the Bill The Outlook ,2,,Issue and Debate Sports Violence: Target of Federal Bill; The Background Violence In Sports Debated For the Bill Against the Bill The Outlook ,,,,By James Tuite,"[{'firstname': 'James', 'middlename': None, 'lastname': 'Tuite', 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 1}]",
2,"PHILADELPHIA, Sept. 24--Pete Rose, who had been hitless in his last 15 times at bat, connected with a Neil Allen fastball for a single that drove in Jay Loviglio in the 10th inning and gave the Philadelphia Phillies a 1-0 victory over the New York Mets tonight.  ",https://www.nytimes.com/1980/09/25/archives/phils-set-back-mets-in-10th-10.html,,,S,21,The New York Times,[],[],1980-09-25T05:00:00+0000,article,None,Archives,Archives,nyt://article/221e410b-9d6e-597e-a355-4803ee1118e0,0,nyt://article/221e410b-9d6e-597e-a355-4803ee1118e0,"Phils Set Back Mets in 10th, 1-0",1,,"Phils Set Back Mets in 10th, 1-0",,,,By Thomas Rogers Special To the New York Times,"[{'firstname': 'Thomas', 'middlename': 'Rogers', 'lastname': 'Special', 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 1}]",
3,"CHICAGO, Sept. 23 Mike Krukow, a 28-year-old right-hander, was toiling smoothly, holding the Mets to three hits for eight innings and enjoying a 6-0 lead today.  ",https://www.nytimes.com/1980/09/24/archives/mets-5run-ninth-fails-in-65-loss-to-cubs.html,,,S,8,The New York Times,[],[],1980-09-24T05:00:00+0000,article,None,Archives,Archives,nyt://article/3499e248-a126-56fe-84e4-040f2ee010d4,0,nyt://article/3499e248-a126-56fe-84e4-040f2ee010d4,Mets' 5-Run Ninth Fails in 6-5 Loss to Cubs,1,,Mets' 5-Run Ninth Fails in 6-5 Loss to Cubs,,,,By Michael Strauss Special To the New York Times,"[{'firstname': 'Michael', 'middlename': 'Strauss', 'lastname': 'Special', 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 1}]",
4,"BIRMINGHAM, Ala., Sept. 23 (UPI)  Jim Folsom Jr., son of former Gov. James Folsom of Alabama, defeated United States Senator Donald W. Stewart today in a close race in a runoff election for the Democratic Senate nomination.  ",https://www.nytimes.com/1980/09/24/archives/folsom-defeats-senator-stewart-in-alabamas-democratic-runoff.html,,,A,28,The New York Times,[],[],1980-09-24T05:00:00+0000,article,None,Archives,Archives,nyt://article/08ffd1d7-4e4a-5e50-aa52-8456137cfdd2,0,nyt://article/08ffd1d7-4e4a-5e50-aa52-8456137cfdd2,Folsom Defeats Senator Stewart In Alabama's Democratic Runoff,1,,Folsom Defeats Senator Stewart In Alabama's Democratic Runoff,,,,,[],
5,"MINOT, N.D.--The Air Force, traditionally a highly trained military service that had its pick of technical personnel, is losing skilled mid-level enlisted people as well as pilots and navigators at a time when the service's role has been expanded to focus on the Persian Gulf.  ",https://www.nytimes.com/1980/09/23/archives/losses-of-the-skilled-from-air-force-prompt-concern-over-its.html,,,A,1,The New York Times,[],[],1980-09-23T05:00:00+0000,article,None,Archives,Archives,nyt://article/ace4b615-4482-5915-84af-d539e4743d77,0,nyt://article/ace4b615-4482-5915-84af-d539e4743d77,Losses of the Skilled From Air Force Prompt Concern Over Its Readiness; Problems Below Ground Air Force's Losses of Skilled People Prompt Concern Confidence in Nuclear Force Comparing Civilian Salaries Flying Hours Curtailed 'Afghanistan Changed Things' Criticism on Spending,2,,Losses of the Skilled From Air Force Prompt Concern Over Its Readiness; Problems Below Ground Air Force's Losses of Skilled People Prompt Concern Confidence in Nuclear Force Comparing Civilian Salaries Flying Hours Curtailed 'Afghanistan Changed Things' Criticism on Spending,,,,By Bernard Weinraub Special To the New York Times,"[{'firstname': 'Bernard', 'middlename': 'Weinraub', 'lastname': 'Special', 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 1}]",
6,"NEW HAVEN, Sept. 21--Mike O'Koren and Mike Gminski, the Nets' two first-round draft choices, have spent only a week in training camp after ending contract holdouts of two and four days, respectively.  ",https://www.nytimes.com/1980/09/22/archives/okoren-impressive-but-nets-lose-10699-a-nervous-opening-night-a.html,,,S,14,The New York Times,[],[],1980-09-22T05:00:00+0000,article,None,Archives,Archives,nyt://article/4ef33b7c-b05c-5c32-8ae7-e107df654d13,0,nyt://article/4ef33b7c-b05c-5c32-8ae7-e107df654d13,"O'Koren Impressive, But Nets Lose, 106-99; A Nervous Opening Night A Different Perspective Comparing the Games Maravich Retires ",1,,"O'Koren Impressive, But Nets Lose, 106-99; A Nervous Opening Night A Different Perspective Comparing the Games Maravich Retires ",,,,By Carrie Seidman Special To the New York Times,"[{'firstname': 'Carrie', 'middlename': 'Seidman', 'lastname': 'Special', 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 1}]",
7,"OVER the public-address system at Shea Stadium yesterday, those of the 50,608 spectators who remained were informed that Richard Todd's 35th completion had just broken the one-game Jet record set by Joe Namath in 1970. Not long after that, it was announced that Richard Todd had just tied the National Football League ...  ",https://www.nytimes.com/1980/09/22/archives/todd-record-typifies-jets.html,,,S,7,The New York Times,[],[],1980-09-22T05:00:00+0000,article,None,Archives,Archives,nyt://article/5e8b7002-2eb3-5c20-9b95-1f3ff814d948,0,nyt://article/5e8b7002-2eb3-5c20-9b95-1f3ff814d948,Todd Record Typifies Jets,1,,Todd Record Typifies Jets,,,,Dave Anderson,"[{'firstname': 'Dave', 'middlename': None, 'lastname': 'Anderson', 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 1}]",
8,"Against a background of ironic circumstances, the Jets, who have not won, face the San Francisco 49ers, who have not lost, today at Shea Stadium.  ",https://www.nytimes.com/1980/09/21/archives/the-02-jets-get-ready-for-passtobacks-49ers-20-the-shortpass-game.html,,,S,6,The New York Times,[],[],1980-09-21T05:00:00+0000,article,None,Archives,Archives,nyt://article/b749ab57-beb2-5a8c-aa05-901a3cb0a93f,0,nyt://article/b749ab57-beb2-5a8c-aa05-901a3cb0a93f,"The 0-2 Jets Get Ready; for Pass-to-Backs 49ers, 2-0 The Short-Pass Game Walker Should Be Ready",1,,"The 0-2 Jets Get Ready; for Pass-to-Backs 49ers, 2-0 The Short-Pass Game Walker Should Be Ready",,,,By Gerald Eskenazi,"[{'firstname': 'Gerald', 'middlename': None, 'lastname': 'Eskenazi', 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 1}]",
9,"SOUTH BEND, Ind., Sept. 20-- Harry Oliver, a left-footed place-kicker from Cincinnati, became one of the biggest heroes in recent Notre Dame football today when he booted a 51-yard field goal as time ran out to give the Fighting Irish a 29-27 victory over Michigan.  ",https://www.nytimes.com/1980/09/21/archives/irish-win-2927-on-kick-at-finish-kiel-connects-with-hunter-notre.html,,,S,1,The New York Times,[],[],1980-09-21T05:00:00+0000,article,None,Archives,Archives,nyt://article/a1be72ce-bc41-5962-b2be-83b53fe05faf,0,nyt://article/a1be72ce-bc41-5962-b2be-83b53fe05faf,"Irish Win, 29-27, On Kick at Finish; Kiel Connects With Hunter Notre Dame Beats Michigan on Final Play Wangler Takes Over Irish Go Ahead, 26-21 ",2,,"Irish Win, 29-27, On Kick at Finish; Kiel Connects With Hunter Notre Dame Beats Michigan on Final Play Wangler Takes Over Irish Go Ahead, 26-21 ",,,,By Gordon S. White Jr. Special To the New York Times,"[{'firstname': 'Gordon', 'middlename': 'S.', 'lastname': 'White', 'qualifier': 'Jr.', 'title': None, 'role': 'reported', 'organization': '', 'rank': 1}]",
