,abstract,web_url,snippet,lead_paragraph,print_section,print_page,source,multimedia,keywords,pub_date,document_type,news_desk,section_name,type_of_material,_id,word_count,uri,headline_main,headline_kicker,headline_content_kicker,headline_print_headline,headline_name,headline_seo,headline_sub,byline_original,byline_person,byline_organization
0,FTC repts Gulf Oil signs order consenting to sale of $35-million worth of properties; Gulf comments,https://www.nytimes.com/1960/01/08/archives/consent-decree-signed-by-gulf-company-agrees-to-sale-of-30-per-cent.html,FTC repts Gulf Oil signs order consenting to sale of $35-million worth of properties; Gulf comments,,BUSINESS FINANCIAL,33,The New York Times,[],"[{'name': 'organizations', 'value': 'WARREN PETROLEUM CORP.', 'rank': 1, 'major': 'N'}]",1960-01-08T05:00:00+0000,article,None,Archives,Archives,nyt://article/e71592e6-28e1-561f-a1ea-9f28904f2d3f,0,nyt://article/e71592e6-28e1-561f-a1ea-9f28904f2d3f,CONSENT DECREE SIGNED BY GULF; Company Agrees to Sale of 30 Per Cent of Assets in Warren Petroleum,,,CONSENT DECREE SIGNED BY GULF; Company Agrees to Sale of 30 Per Cent of Assets in Warren Petroleum,,,,,[],
1,China agrees to negotiate with Nepal on delineating 700-mi frontier,https://www.nytimes.com/1959/10/29/archives/nepal-border-to-be-set.html,China agrees to negotiate with Nepal on delineating 700-mi frontier,,,7,The New York Times,[],"[{'name': 'glocations', 'value': 'Tibet', 'rank': 1, 'major': 'N'}]",1959-10-29T05:00:00+0000,article,None,Archives,Archives,nyt://article/29abde07-c7e3-5ca7-8f6b-2f8cd022a272,0,nyt://article/29abde07-c7e3-5ca7-8f6b-2f8cd022a272,Nepal Border to Be Set,,,Nepal Border to Be Set,,,,"Dispatch of The Times, London","[{'firstname': None, 'middlename': None, 'lastname': None, 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 1}, {'firstname': 'London', 'middlename': None, 'lastname': None, 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 2}]",
2,,https://www.nytimes.com/1957/02/24/archives/biggest-free-election-in-history.html,,,T,198,The New York Times,[],[],1957-02-24T05:00:00+0000,article,None,Archives,Archives,nyt://article/527c4433-3b2a-52fd-b155-084b60a72eff,0,nyt://article/527c4433-3b2a-52fd-b155-084b60a72eff,Biggest Free Election in History,1,,Biggest Free Election in History,,,,,[],
3,India: famous poet series planned,https://www.nytimes.com/1952/09/07/archives/new-issues.html,India: famous poet series planned,,X,11,The New York Times,[],"[{'name': 'subject', 'value': 'STAMPS, COVERS AND CACHETS (POSTAL)', 'rank': 1, 'major': 'N'}, {'name': 'subject', 'value': 'STAMPS, COVERS AND CACHETS (POSTAL)', 'rank': 2, 'major': 'N'}, {'name': 'subject', 'value': 'STAMPS, COVERS AND CACHETS (POSTAL)', 'rank': 3, 'major': 'N'}, {'name': 'subject', 'value': 'STAMPS, COVERS AND CACHETS (POSTAL)', 'rank': 4, 'major': 'N'}, {'name': 'subject', 'value': 'STAMPS, COVERS AND CACHETS (POSTAL)', 'rank': 5, 'major': 'N'}, {'name': 'subject', 'value': 'STAMPS, COVERS AND CACHETS (POSTAL)', 'rank': 6, 'major': 'N'}, {'name': 'subject', 'value': 'STAMPS, COVERS AND CACHETS (POSTAL)', 'rank': 7, 'major': 'N'}, {'name': 'subject', 'value': 'STAMPS, COVERS AND CACHETS (POSTAL)', 'rank': 8, 'major': 'N'}, {'name': 'subject', 'value': 'STAMPS, COVERS AND CACHETS (POSTAL)', 'rank': 9, 'major': 'N'}, {'name': 'subject', 'value': 'STAMPS, COVERS AND CACHETS (POSTAL)', 'rank': 10, 'major': 'N'}, {'name': 'subject', 'value': 'STAMPS, COVERS AND CACHETS (POSTAL)', 'rank': 11, 'major': 'N'}]",1952-09-07T05:00:00+0000,article,None,Archives,Archives,nyt://article/592afc25-bd33-5200-a340-9386439ee72c,0,nyt://article/592afc25-bd33-5200-a340-9386439ee72c,NEW ISSUES,,,NEW ISSUES,,,,,[],
4,Netherlands Antilles: Seaman's Welfare items,https://www.nytimes.com/1952/07/27/archives/news-of-the-world-of-stamps-india-plans-a-new-series-in-honor-of.html,Netherlands Antilles: Seaman's Welfare items,,X,10,The New York Times,[],"[{'name': 'subject', 'value': 'STAMPS, COVERS AND CACHETS (POSTAL)', 'rank': 1, 'major': 'N'}, {'name': 'subject', 'value': 'STAMPS, COVERS AND CACHETS (POSTAL)', 'rank': 2, 'major': 'N'}, {'name': 'subject', 'value': 'STAMPS, COVERS AND CACHETS (POSTAL)', 'rank': 3, 'major': 'N'}, {'name': 'subject', 'value': 'STAMPS, COVERS AND CACHETS (POSTAL)', 'rank': 4, 'major': 'N'}, {'name': 'subject', 'value': 'STAMPS, COVERS AND CACHETS (POSTAL)', 'rank': 5, 'major': 'N'}, {'name': 'subject', 'value': 'STAMPS, COVERS AND CACHETS (POSTAL)', 'rank': 6, 'major': 'N'}, {'name': 'subject', 'value': 'STAMPS, COVERS AND CACHETS (POSTAL)', 'rank': 7, 'major': 'N'}, {'name': 'subject', 'value': 'STAMPS, COVERS AND CACHETS (POSTAL)', 'rank': 8, 'major': 'N'}, {'name': 'subject', 'value': 'STAMPS, COVERS AND CACHETS (POSTAL)', 'rank': 9, 'major': 'N'}, {'name': 'subject', 'value': 'STAMPS, COVERS AND CACHETS (POSTAL)', 'rank': 10, 'major': 'N'}, {'name': 'subject', 'value': 'STAMPS, COVERS AND CACHETS (POSTAL)', 'rank': 11, 'major': 'N'}, {'name': 'subject', 'value': 'STAMPS, COVERS AND CACHETS (POSTAL)', 'rank': 12, 'major': 'N'}]",1952-07-27T05:00:00+0000,article,None,Archives,Archives,nyt://article/a80cb2ce-68b3-5e66-afe7-0644766b33c5,0,nyt://article/a80cb2ce-68b3-5e66-afe7-0644766b33c5,NEWS OF THE WORLD OF STAMPS; India Plans a New Series In Honor of Her Poets -- Other Foreign Issues,,,NEWS OF THE WORLD OF STAMPS; India Plans a New Series In Honor of Her Poets -- Other Foreign Issues,,,,By Kent B. Stiles,"[{'firstname': 'Kent', 'middlename': None, 'lastname': None, 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 1}]",
5,600 New Delhi business men adopt high ethical code on appeal of new religious leader,https://www.nytimes.com/1950/05/02/archives/600-pledge-high-ethics-new-religious-leader-in-india-effects.html,600 New Delhi business men adopt high ethical code on appeal of new religious leader,,,20,The New York Times,[],"[{'name': 'glocations', 'value': 'India', 'rank': 1, 'major': 'N'}]",1950-05-02T05:00:00+0000,article,None,Archives,Archives,nyt://article/d56c6be0-3f77-5934-865e-dd1336b5dc42,0,nyt://article/d56c6be0-3f77-5934-865e-dd1336b5dc42,600 PLEDGE HIGH ETHICS; New Religious Leader in India Effects One-Year Conversion,,,600 PLEDGE HIGH ETHICS; New Religious Leader in India Effects One-Year Conversion,,,,Special to THE NEW YORK TIMES,"[{'firstname': None, 'middlename': None, 'lastname': None, 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 1}]",
6,"PRINCETON, N.J., May 25.-- Princeton's baseball team defeated Penn, 7 to 2, on University Field this afternoon.  ",https://www.nytimes.com/1929/05/26/archives/princeton-topplfs-penn-nine-7-to-2-layton-allows-only-7-hits-while.html,,,S,2,The New York Times,[],[],1929-05-26T05:00:00+0000,article,None,Archives,Archives,nyt://article/8d3ba8d0-e4dc-5de5-bd2c-a5213beddcaf,0,nyt://article/8d3ba8d0-e4dc-5de5-bd2c-a5213beddcaf,"PRINCETON TOPPLFS PENN NINE, 7 TO 2; Layton Allows Only 7 Hits, While Tigers Total 14 Off Peterson and Drews. STRUBING HITS HOME RUN Drives for Circuit in the Fourth With One On--Winter Gets Triple for Red and Blue.",1,,"PRINCETON TOPPLFS PENN NINE, 7 TO 2; Layton Allows Only 7 Hits, While Tigers Total 14 Off Peterson and Drews. STRUBING HITS HOME RUN Drives for Circuit in the Fourth With One On--Winter Gets Triple for Red and Blue.",,,,Special to The New York Times,"[{'firstname': None, 'middlename': None, 'lastname': None, 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 1}]",
7,Miss Miller criticized,https://www.nytimes.com/1928/03/18/archives/blood-and-strife-mark-indore-house-holkar-family-descends-from-a.html,Miss Miller criticized,,,2,The New York Times,[],"[{'name': 'persons', 'value': 'HOLKAR, TUKOJI RAO', 'rank': 1, 'major': 'N'}, {'name': 'persons', 'value': 'HOLKAR, TUKOJI RAO', 'rank': 2, 'major': 'N'}]",1928-03-18T05:00:00+0000,article,None,Archives,Archives,nyt://article/96981689-fe5e-5b38-bdba-a27d45c7345b,0,nyt://article/96981689-fe5e-5b38-bdba-a27d45c7345b,"BLOOD AND STRIFE MARK INDORE HOUSE; Holkar Family Descends From a Peasant of 1694, Who Fought Way to Throne. SEVERAL RULERS OUSTED Some Have Been Imbeciles, Others Insane--Intrigues and Murders Long Held Sway. Carved Out a Kingdom. Profiligate Woman Held Sway.",,,"BLOOD AND STRIFE MARK INDORE HOUSE; Holkar Family Descends From a Peasant of 1694, Who Fought Way to Throne. SEVERAL RULERS OUSTED Some Have Been Imbeciles, Others Insane--Intrigues and Murders Long Held Sway. Carved Out a Kingdom. Profiligate Woman Held Sway.",,,,,[],
8,"Investigation of Mrs. B Bolte's maternity hosp in Jersey City, N J, as result of charge of conspiracy between Mrs. Bolte and Mrs. L Thygersen in sale of baby born to Mary Hurst",https://www.nytimes.com/1925/12/12/archives/arrest-two-women-in-baby-sale-case-police-also-seek-two-men-inquiry.html,"Investigation of Mrs. B Bolte's maternity hosp in Jersey City, N J, as result of charge of conspiracy between Mrs. Bolte and Mrs. L Thygersen in sale of baby born to Mary Hurst",,,3,The New York Times,[],"[{'name': 'persons', 'value': 'BOLTE , BERTHA', 'rank': 1, 'major': 'N'}, {'name': 'subject', 'value': 'Babies', 'rank': 2, 'major': 'N'}, {'name': 'subject', 'value': 'Sales', 'rank': 3, 'major': 'N'}]",1925-12-12T05:00:00+0000,article,None,Archives,Archives,nyt://article/4c5cfe99-d993-5451-a460-045ac4cb02cb,0,nyt://article/4c5cfe99-d993-5451-a460-045ac4cb02cb,ARREST TWO WOMEN IN BABY SALE CASE; Police Also Seek Two Men -Inquiry Begins in Jersey Maternity Hospital.,,,ARREST TWO WOMEN IN BABY SALE CASE; Police Also Seek Two Men -Inquiry Begins in Jersey Maternity Hospital.,,,,,[],
9,"RATAN DEVI sang,"" wrote Rabindranath Tagore, ""and I forgot for a moment that I was in a London drawing room. My mind got itself transported in the magnificence of an Eastern night, with its darkness transparent yet unfathomable, like the eyes of an Indian maiden, and I seemed to be standing alone in the depths of its stillness and stars.""  ",https://www.nytimes.com/1916/04/02/archives/oriental-poetry-more-realistic-than-ours-not-result-of-deliberate.html,,,MAGAZINE,12,The New York Times,[],[],1916-04-02T05:00:00+0000,article,None,Archives,Archives,nyt://article/370e8d5e-a903-5d28-9649-2fbadbb7249c,0,nyt://article/370e8d5e-a903-5d28-9649-2fbadbb7249c,"Oriental Poetry More Realistic Than Ours; Not Result of Deliberate Effort, Says Hindu Philosopher; Part of Everyday Life of People, Says His Wife, Madame Devi ",1,,"Oriental Poetry More Realistic Than Ours; Not Result of Deliberate Effort, Says Hindu Philosopher; Part of Everyday Life of People, Says His Wife, Madame Devi ",,,,By Joyce Kilmer,"[{'firstname': 'Joyce', 'middlename': None, 'lastname': 'Kilmer', 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 1}]",
