,abstract,web_url,snippet,lead_paragraph,print_page,source,multimedia,keywords,pub_date,document_type,news_desk,section_name,type_of_material,_id,word_count,uri,headline_main,headline_kicker,headline_content_kicker,headline_print_headline,headline_name,headline_seo,headline_sub,byline_original,byline_person,byline_organization,print_section
0,"confs with Khrushchev, who accepts her inv to visit Ceylon",https://www.nytimes.com/1963/10/23/archives/khrushchev-invited-by-ceylons-leader.html,"confs with Khrushchev, who accepts her inv to visit Ceylon",,3,The New York Times,[],"[{'name': 'glocations', 'value': 'CEYLON', 'rank': 1, 'major': 'N'}]",1963-10-23T05:00:00+0000,article,None,Archives,Archives,nyt://article/e3ae69a3-8546-53e3-9443-d48af478298c,0,nyt://article/e3ae69a3-8546-53e3-9443-d48af478298c,KHRUSHCHEV INVITED BY CEYLON'S LEADER,,,KHRUSHCHEV INVITED BY CEYLON'S LEADER,,,,Special to The New York Times,"[{'firstname': None, 'middlename': None, 'lastname': None, 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 1}]",,
1,Schonberg comments on Oct 2 concert and same reactions to rev,https://www.nytimes.com/1963/10/13/archives/this-weeks-radio-programs-leading-events-on-radio-today.html,Schonberg comments on Oct 2 concert and same reactions to rev,,140,The New York Times,[],"[{'name': 'subject', 'value': 'Music', 'rank': 1, 'major': 'N'}, {'name': 'subject', 'value': 'CONCERTS AND RECITALS', 'rank': 2, 'major': 'N'}]",1963-10-13T05:00:00+0000,article,None,Archives,Archives,nyt://article/26e828f2-6b03-574f-8560-7136200158eb,0,nyt://article/26e828f2-6b03-574f-8560-7136200158eb,THIS WEEK'S RADIO PROGRAMS; LEADING EVENTS ON RADIO TODAY,,,THIS WEEK'S RADIO PROGRAMS; LEADING EVENTS ON RADIO TODAY,,,,,[],,Arts & Leisure
2,Protocol to '61 border treaty with Communist China signed; Mt Everest remains in Nepal,https://www.nytimes.com/1963/01/25/archives/everest-still-in-nepal-china-agrees-in-treaty.html,Protocol to '61 border treaty with Communist China signed; Mt Everest remains in Nepal,,2,The New York Times,[],"[{'name': 'glocations', 'value': 'EVEREST, MOUNT', 'rank': 1, 'major': 'N'}, {'name': 'glocations', 'value': 'Nepal', 'rank': 2, 'major': 'N'}]",1963-01-25T05:00:00+0000,article,None,Archives,Archives,nyt://article/597689b1-150a-5835-93e2-caba4ee10fb1,0,nyt://article/597689b1-150a-5835-93e2-caba4ee10fb1,"Everest Still in Nepal, China Agrees in Treaty",,,"Everest Still in Nepal, China Agrees in Treaty",,,,,[],,
3,"India repts proposals would re-establish Indian mil control of all territory evacuated by Chinese in NE Frontier Agency except Thag Pass and Longju; plan thus provides for Indian reoccupation of area up to McMahon Line, calls for talks on excepted areas; Nehru repts 26 of 60 Asian and African nations back Indian position; Min Chan Yi says China accepts proposals as preliminary basis for talks",https://www.nytimes.com/1963/01/22/archives/india-clarifies-plan-for-border-would-regain-assam-strip-but-not-in.html,"India repts proposals would re-establish Indian mil control of all territory evacuated by Chinese in NE Frontier Agency except Thag Pass and Longju; plan thus provides for Indian reoccupation of area up to McMahon Line, calls for talks on excepted...",,3,The New York Times,[],"[{'name': 'glocations', 'value': 'India', 'rank': 1, 'major': 'N'}, {'name': 'subject', 'value': 'CHINA BORDER DISPUTE', 'rank': 2, 'major': 'N'}]",1963-01-22T05:00:00+0000,article,None,Archives,Archives,nyt://article/7ec9c1c3-a57b-54ea-a0c8-079214f443ef,0,nyt://article/7ec9c1c3-a57b-54ea-a0c8-079214f443ef,"INDIA 'CLARIFIES' PLAN FOR BORDER; Would Regain Assam Strip, but Not in Ladakh Nehru Tells of Support China Accepts in Principle",,,"INDIA 'CLARIFIES' PLAN FOR BORDER; Would Regain Assam Strip, but Not in Ladakh Nehru Tells of Support China Accepts in Principle",,,,By Thomas F. Brady Special To the New York Times,"[{'firstname': 'Thomas', 'middlename': 'F.', 'lastname': 'Brady', 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 1}]",,
4,inst proposed by Sir Edmund Hillary to Nepal Govt is taking definite shape,https://www.nytimes.com/1962/12/24/archives/mountaineering-institute-taking-shape-in-nepal.html,inst proposed by Sir Edmund Hillary to Nepal Govt is taking definite shape,,3,The New York Times,[],"[{'name': 'subject', 'value': 'Mountain Climbing', 'rank': 1, 'major': 'N'}]",1962-12-24T05:00:00+0000,article,None,Archives,Archives,nyt://article/74d7f69f-fc00-5db7-9b50-598cceea228e,0,nyt://article/74d7f69f-fc00-5db7-9b50-598cceea228e,Mountaineering Institute Taking Shape in Nepal,,,Mountaineering Institute Taking Shape in Nepal,,,,Special to The New York Times,"[{'firstname': None, 'middlename': None, 'lastname': None, 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 1}]",,
5,Govt suggests more effective Nepal-India machinery for probing border raids,https://www.nytimes.com/1962/10/17/archives/nepal-asks-india-parley-to-devise-border-accord.html,Govt suggests more effective Nepal-India machinery for probing border raids,,12,The New York Times,[],"[{'name': 'glocations', 'value': 'Nepal', 'rank': 1, 'major': 'N'}]",1962-10-17T05:00:00+0000,article,None,Archives,Archives,nyt://article/d4056224-0e6e-5fc2-9950-2eeb46de9104,0,nyt://article/d4056224-0e6e-5fc2-9950-2eeb46de9104,Nepal Asks India Parley To Devise Border Accord,,,Nepal Asks India Parley To Devise Border Accord,,,,,[],,
6,relieved as Min; named special amb,https://www.nytimes.com/1962/09/23/archives/nepalese-cabinet-is-revised-by-king.html,relieved as Min; named special amb,,3,The New York Times,[],"[{'name': 'glocations', 'value': 'Nepal', 'rank': 1, 'major': 'N'}, {'name': 'persons', 'value': 'Castro, Raul', 'rank': 2, 'major': 'N'}, {'name': 'persons', 'value': 'SHAH, RISHIKESH', 'rank': 3, 'major': 'N'}]",1962-09-23T05:00:00+0000,article,None,Archives,Archives,nyt://article/feda3d8f-c4f7-564b-b4ee-fa207e78305b,0,nyt://article/feda3d8f-c4f7-564b-b4ee-fa207e78305b,NEPALESE CABINET IS REVISED BY KING,,,NEPALESE CABINET IS REVISED BY KING,,,,,[],,
7,named Foreign Affairs Min,https://www.nytimes.com/1962/07/03/archives/giri-named-vice-chairman-in-nepal-cabinet-expansion.html,named Foreign Affairs Min,,3,The New York Times,[],"[{'name': 'glocations', 'value': 'Nepal', 'rank': 1, 'major': 'N'}, {'name': 'persons', 'value': 'SHAH, RISHIKESH', 'rank': 2, 'major': 'N'}]",1962-07-03T05:00:00+0000,article,None,Archives,Archives,nyt://article/eb2241b8-0456-50b2-ad03-23f13ab72ce2,0,nyt://article/eb2241b8-0456-50b2-ad03-23f13ab72ce2,Giri Named Vice Chairman In Nepal Cabinet Expansion,,,Giri Named Vice Chairman In Nepal Cabinet Expansion,,,,Special to The New York Times,"[{'firstname': None, 'middlename': None, 'lastname': None, 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 1}]",,
8,"7 rebels reptd killed, 14 hurt in June 8 raids on police outposts",https://www.nytimes.com/1962/06/19/archives/7-rebels-reported-killed-in-two-clashes-in-nepal.html,"7 rebels reptd killed, 14 hurt in June 8 raids on police outposts",,7,The New York Times,[],"[{'name': 'glocations', 'value': 'Nepal', 'rank': 1, 'major': 'N'}]",1962-06-19T05:00:00+0000,article,None,Archives,Archives,nyt://article/492eae47-0e58-5bf2-ad74-95f3913d68e1,0,nyt://article/492eae47-0e58-5bf2-ad74-95f3913d68e1,7 Rebels Reported Killed In Two Clashes in Nepal,,,7 Rebels Reported Killed In Two Clashes in Nepal,,,,Special to The New York Times,"[{'firstname': None, 'middlename': None, 'lastname': None, 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 1}]",,
9,Por,https://www.nytimes.com/1962/06/03/archives/nepalese-stress-neutrality-line-security-said-to-depend-on.html,Por,,2,The New York Times,[],"[{'name': 'glocations', 'value': 'Nepal', 'rank': 1, 'major': 'N'}, {'name': 'glocations', 'value': 'Nepal', 'rank': 2, 'major': 'N'}, {'name': 'glocations', 'value': 'California', 'rank': 3, 'major': 'N'}, {'name': 'persons', 'value': 'SHAH, RISHIKESH', 'rank': 4, 'major': 'N'}]",1962-06-03T05:00:00+0000,article,None,Archives,Archives,nyt://article/48daa313-ad84-5cf9-b584-11e2c1648204,0,nyt://article/48daa313-ad84-5cf9-b584-11e2c1648204,NEPALESE STRESS NEUTRALITY LINE; Security Said to Depend on Indian-Chinese Amity,,,NEPALESE STRESS NEUTRALITY LINE; Security Said to Depend on Indian-Chinese Amity,,,,,[],,
