,abstract,web_url,snippet,lead_paragraph,print_page,source,multimedia,keywords,pub_date,document_type,news_desk,section_name,type_of_material,_id,word_count,uri,headline_main,headline_kicker,headline_content_kicker,headline_print_headline,headline_name,headline_seo,headline_sub,byline_original,byline_person,byline_organization
0,Gen Shumshere warns rebels will strike hard if Mahendra-Nehru talks fail to solve Internal pol problems; speculation on talks; Mahendra stresses Nepal-India ties; defends policies,https://www.nytimes.com/1962/04/15/archives/foe-of-mahendra-warns-of-revolt-sees-drive-by-nepal-rebels-if-talks.html,Gen Shumshere warns rebels will strike hard if Mahendra-Nehru talks fail to solve Internal pol problems; speculation on talks; Mahendra stresses Nepal-India ties; defends policies,,30,The New York Times,[],"[{'name': 'glocations', 'value': 'Nepal', 'rank': 1, 'major': 'N'}]",1962-04-15T05:00:00+0000,article,None,Archives,Archives,nyt://article/f1c8099b-da2d-5d0a-96e4-f2201b8ebddb,0,nyt://article/f1c8099b-da2d-5d0a-96e4-f2201b8ebddb,FOE OF MAHENDRA WARNS OF REVOLT; Sees Drive by Nepal Rebels If Talks With Nehru Fail Curb on Rebels Sought Mahendra Stresses Amity,,,FOE OF MAHENDRA WARNS OF REVOLT; Sees Drive by Nepal Rebels If Talks With Nehru Fail Curb on Rebels Sought Mahendra Stresses Amity,,,,Special to The New York Times,"[{'firstname': None, 'middlename': None, 'lastname': None, 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 1}]",
1,Nepal Cong party sources in Calcutta say Nehru may urge King to conf with rebels in India; orgn of rebels discussed,https://www.nytimes.com/1962/03/18/archives/trip-by-mahendra-to-india-forecast-nehru-may-urge-monarch-to-meet.html,Nepal Cong party sources in Calcutta say Nehru may urge King to conf with rebels in India; orgn of rebels discussed,,27,The New York Times,[],"[{'name': 'glocations', 'value': 'Nepal', 'rank': 1, 'major': 'N'}, {'name': 'glocations', 'value': 'Nepal', 'rank': 2, 'major': 'N'}]",1962-03-18T05:00:00+0000,article,None,Archives,Archives,nyt://article/0a543e82-7aaa-5dc7-8d64-85617c48c8bf,0,nyt://article/0a543e82-7aaa-5dc7-8d64-85617c48c8bf,TRIP BY MAHENDRA TO INDIA FORECAST; Nehru May Urge Monarch to Meet Nepali Rebels Exiles in India Accused,,,TRIP BY MAHENDRA TO INDIA FORECAST; Nehru May Urge Monarch to Meet Nepali Rebels Exiles in India Accused,,,,Special to The New York Times,"[{'firstname': None, 'middlename': None, 'lastname': None, 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 1}]",
2,troops regain Bharatpur,https://www.nytimes.com/1962/02/11/archives/nepal-regains-town-seized-by-30-rebels.html,troops regain Bharatpur,,14,The New York Times,[],"[{'name': 'glocations', 'value': 'Nepal', 'rank': 1, 'major': 'N'}]",1962-02-11T05:00:00+0000,article,None,Archives,Archives,nyt://article/216b0e86-b197-5e4d-8983-1dc97e53c046,0,nyt://article/216b0e86-b197-5e4d-8983-1dc97e53c046,Nepal Regains Town Seized by 30 Rebels,,,Nepal Regains Town Seized by 30 Rebels,,,,Special to The New York Times,"[{'firstname': None, 'middlename': None, 'lastname': None, 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 1}]",
3,India protests Min Giri remarks about India and Prime Min Nehru,https://www.nytimes.com/1962/01/31/archives/india-in-note-to-nepal-files-second-protest-against-foreign-chiefs.html,India protests Min Giri remarks about India and Prime Min Nehru,,5,The New York Times,[],"[{'name': 'glocations', 'value': 'Nepal', 'rank': 1, 'major': 'N'}]",1962-01-31T05:00:00+0000,article,None,Archives,Archives,nyt://article/7488e8f4-7ce5-5031-be03-86fe6507817e,0,nyt://article/7488e8f4-7ce5-5031-be03-86fe6507817e,INDIA IN NOTE TO NEPAL; Files Second Protest Against Foreign Chief's Remarks,,,INDIA IN NOTE TO NEPAL; Files Second Protest Against Foreign Chief's Remarks,,,,,[],
4,"King's policies seen giving Communists opportunities for subversion; Nepal's strengthened ties with Communist China, worsened relations with India discussed; 500 protest before Indian Embassy, Katmandu, over assassination attempt",https://www.nytimes.com/1962/01/27/archives/red-threat-seen-growing-in-nepal-kings-policy-said-to-offer-chance.html,"King's policies seen giving Communists opportunities for subversion; Nepal's strengthened ties with Communist China, worsened relations with India discussed; 500 protest before Indian Embassy, Katmandu, over assassination attempt",,5,The New York Times,[],"[{'name': 'glocations', 'value': 'Nepal', 'rank': 1, 'major': 'N'}]",1962-01-27T05:00:00+0000,article,None,Archives,Archives,nyt://article/30a839a1-4e0a-5e6a-a44c-917d34b437de,0,nyt://article/30a839a1-4e0a-5e6a-a44c-917d34b437de,RED THREAT SEEN GROWING IN NEPAL; King's Policy Said to Offer Chance for Subversion,,,RED THREAT SEEN GROWING IN NEPAL; King's Policy Said to Offer Chance for Subversion,,,,,[],
5,"King restores personal rights he suspended in Dec '60, but renews proclamation providing for his direct rule under Const; pol parties still banned",https://www.nytimes.com/1961/12/11/archives/nepal-restores-personal-rights-direct-rule-by-king-remains-parties.html,"King restores personal rights he suspended in Dec '60, but renews proclamation providing for his direct rule under Const; pol parties still banned",,18,The New York Times,[],"[{'name': 'glocations', 'value': 'Nepal', 'rank': 1, 'major': 'N'}]",1961-12-11T05:00:00+0000,article,None,Archives,Archives,nyt://article/4d360a95-10a3-5f3b-9782-65d9b27d0d61,0,nyt://article/4d360a95-10a3-5f3b-9782-65d9b27d0d61,NEPAL RESTORES PERSONAL RIGHTS; Direct Rule by King Remains -- Parties Still Banned,,,NEPAL RESTORES PERSONAL RIGHTS; Direct Rule by King Remains -- Parties Still Banned,,,,Special to The New York Times,"[{'firstname': None, 'middlename': None, 'lastname': None, 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 1}]",
6,,https://www.nytimes.com/1961/11/29/archives/nepal-to-seek-soviet-loan.html,,,3,The New York Times,[],[],1961-11-29T05:00:00+0000,article,None,Archives,Archives,nyt://article/f1cd07a6-d7bb-5c25-b333-4ce25b0ba538,0,nyt://article/f1cd07a6-d7bb-5c25-b333-4ce25b0ba538,Nepal to Seek Soviet Loan,1,,Nepal to Seek Soviet Loan,,,,Special to The New York Times,"[{'firstname': None, 'middlename': None, 'lastname': None, 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 1}]",
7,Mahendra shifts Cabinet posts; takes over defense portfolio,https://www.nytimes.com/1961/02/20/archives/nepalese-aides-shifted-king-mahendra-takes-over-defense-ministry.html,Mahendra shifts Cabinet posts; takes over defense portfolio,,4,The New York Times,[],"[{'name': 'glocations', 'value': 'Nepal', 'rank': 1, 'major': 'N'}]",1961-02-20T05:00:00+0000,article,None,Archives,Archives,nyt://article/48c1f5a5-3973-5897-b0eb-02b16907949e,0,nyt://article/48c1f5a5-3973-5897-b0eb-02b16907949e,NEPALESE AIDES SHIFTED; King Mahendra Takes Over Defense Ministry,,,NEPALESE AIDES SHIFTED; King Mahendra Takes Over Defense Ministry,,,,Special to The New York Times,"[{'firstname': None, 'middlename': None, 'lastname': None, 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 1}]",
8,pors,https://www.nytimes.com/1960/12/27/archives/nepal-king-heads-new-government-names-cabinet-to-replace-koirala.html,pors,,9,The New York Times,[],"[{'name': 'persons', 'value': 'THAPA, VISHWA BANDHU', 'rank': 1, 'major': 'N'}, {'name': 'persons', 'value': 'MAHENDRA BIR BIKRAM SHAH DEVA, KING OF NEPAL', 'rank': 2, 'major': 'N'}]",1960-12-27T05:00:00+0000,article,None,Archives,Archives,nyt://article/17838f40-f11c-5fa4-95d8-c3fef1ee7ec0,0,nyt://article/17838f40-f11c-5fa4-95d8-c3fef1ee7ec0,NEPAL KING HEADS NEW GOVERNMENT; Names Cabinet to Replace Koirala Administration He Deposed Dec. 15,,,NEPAL KING HEADS NEW GOVERNMENT; Names Cabinet to Replace Koirala Administration He Deposed Dec. 15,,,,Special to The New York Times,"[{'firstname': None, 'middlename': None, 'lastname': None, 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 1}]",
9,Named Foreign Affairs and Defense Min,https://www.nytimes.com/1960/12/27/archives/giri-named-foreign-minister.html,Named Foreign Affairs and Defense Min,,9,The New York Times,[],"[{'name': 'glocations', 'value': 'Nepal', 'rank': 1, 'major': 'N'}, {'name': 'persons', 'value': 'GIRI, TULSI', 'rank': 2, 'major': 'N'}]",1960-12-27T05:00:00+0000,article,None,Archives,Archives,nyt://article/41425dab-5304-5d5c-b039-0ca285f66233,0,nyt://article/41425dab-5304-5d5c-b039-0ca285f66233,Giri Named Foreign Minister,,,Giri Named Foreign Minister,,,,,[],
