,abstract,web_url,snippet,lead_paragraph,source,multimedia,keywords,pub_date,document_type,news_desk,section_name,subsection_name,type_of_material,_id,word_count,uri,headline_main,headline_kicker,headline_content_kicker,headline_print_headline,headline_name,headline_seo,headline_sub,byline_original,byline_person,byline_organization,print_section,print_page
0,"President Donald Trump on Friday celebrated the launch of Space Force, the first new military service in more than 70 years.",https://www.nytimes.com/aponline/2019/12/20/us/politics/ap-us-trump-space-force.html,"President Donald Trump on Friday celebrated the launch of Space Force, the first new military service in more than 70 years.","WASHINGTON — President Donald Trump on Friday celebrated the launch of Space Force, the first new military service in more than 70 years.",AP,[],[],2019-12-20T05:15:33+0000,article,None,U.S.,Politics,News,nyt://article/a192d020-63ec-5b5f-95ca-b1cf9b405727,920,nyt://article/a192d020-63ec-5b5f-95ca-b1cf9b405727,Space Force Will Start Small but Let Trump Claim a Big Win,,,Space Force Will Start Small but Let Trump Claim a Big Win,,,,By The Associated Press,[],The Associated Press,,
1,The U.S. is closely watching North Korea for signs of a possible missile launch or nuclear test in the coming days that officials are referring to as a “Christmas surprise.”,https://www.nytimes.com/aponline/2019/12/20/us/politics/ap-us-united-states-north-korea.html,The U.S. is closely watching North Korea for signs of a possible missile launch or nuclear test in the coming days that officials are referring to as a “Christmas surprise.”,WASHINGTON — The U.S. is closely watching North Korea for signs of a possible missile launch or nuclear test in the coming days that officials are referring to as a “Christmas surprise.”,AP,[],[],2019-12-20T05:12:30+0000,article,None,U.S.,Politics,News,nyt://article/aaf21410-447a-5b4f-8f2b-7970ff17f627,1095,nyt://article/aaf21410-447a-5b4f-8f2b-7970ff17f627,US Watching North Korea for 'Christmas Gift' Missile Launch,,,US Watching North Korea for 'Christmas Gift' Missile Launch,,,,By The Associated Press,[],The Associated Press,,
2,"It was the last question of the last debate of the year and Elizabeth Warren and Amy Klobuchar, who differ on many policy issues, were united in their answer.",https://www.nytimes.com/2019/12/20/us/politics/klobuchar-warren-democratic-debate.html,"It was the last question of the last debate of the year and Elizabeth Warren and Amy Klobuchar, who differ on many policy issues, were united in their answer.","It was the last question of the Democratic debate on Thursday, and the candidates were thrown a curveball. They could give a “gift” to someone else onstage. Or, in the “spirit of the season,” they could ask for forgiveness.",The New York Times,[],"[{'name': 'subject', 'value': 'Presidential Election of 2020', 'rank': 1, 'major': 'N'}, {'name': 'subject', 'value': 'Debates (Political)', 'rank': 2, 'major': 'N'}, {'name': 'organizations', 'value': 'Democratic Party', 'rank': 3, 'major': 'N'}, {'name': 'persons', 'value': 'Klobuchar, Amy', 'rank': 4, 'major': 'N'}, {'name': 'persons', 'value': 'Warren, Elizabeth', 'rank': 5, 'major': 'N'}, {'name': 'persons', 'value': 'Sanders, Bernard', 'rank': 6, 'major': 'N'}, {'name': 'persons', 'value': 'Yang, Andrew (1975- )', 'rank': 7, 'major': 'N'}]",2019-12-20T05:05:28+0000,article,Politics,U.S.,Politics,News,nyt://article/60b04ca3-75aa-5718-ae1f-7c864e3293e8,1216,nyt://article/60b04ca3-75aa-5718-ae1f-7c864e3293e8,The 2020 Democrats Were Told to Give a Gift or Ask Forgiveness. Guess What the Women Chose.,,,,,,,By Maggie Astor,"[{'firstname': 'Maggie', 'middlename': None, 'lastname': 'Astor', 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 1}]",,,
3,"Making a case for the nomination, onstage together for one last time in 2019.",https://www.nytimes.com/2019/12/19/us/politics/democratic-debate-electability.html,"Making a case for the nomination, onstage together for one last time in 2019.",WASHINGTON — Senator Elizabeth Warren argued that Democrats would defeat President Trump if they “draw the sharpest distinction” with what she called the administration’s corruption — and suggested that Mayor Pete Buttigieg’s high-dollar fund-raising would undermine their ability to do that. Mr. Buttigieg said his party could scarcely afford to hew to such “purity tests” in a race against Mr. Trump.,The New York Times,[],"[{'name': 'subject', 'value': 'United States Politics and Government', 'rank': 1, 'major': 'N'}, {'name': 'subject', 'value': 'Presidential Election of 2020', 'rank': 2, 'major': 'N'}, {'name': 'subject', 'value': 'Debates (Political)', 'rank': 3, 'major': 'N'}, {'name': 'subject', 'value': 'Politics and Government', 'rank': 4, 'major': 'N'}, {'name': 'organizations', 'value': 'Democratic Party', 'rank': 5, 'major': 'N'}, {'name': 'persons', 'value': 'Biden, Joseph R Jr', 'rank': 6, 'major': 'N'}, {'name': 'persons', 'value': 'Buttigieg, Pete (1982- )', 'rank': 7, 'major': 'N'}, {'name': 'persons', 'value': 'Klobuchar, Amy', 'rank': 8, 'major': 'N'}, {'name': 'persons', 'value': 'Warren, Elizabeth', 'rank': 9, 'major': 'N'}, {'name': 'persons', 'value': 'Yang, Andrew (1975- )', 'rank': 10, 'major': 'N'}]",2019-12-20T04:43:42+0000,article,Politics,U.S.,Politics,News Analysis,nyt://article/4a986a71-e5d0-5fa3-9ccd-d231f2793199,1430,nyt://article/4a986a71-e5d0-5fa3-9ccd-d231f2793199,Who’s Best to Beat Trump? 7 Answers When 7 Democrats Debate,,,Who Is the Most Electable of Them All?,,,,By Jonathan Martin,"[{'firstname': 'Jonathan', 'middlename': None, 'lastname': 'Martin', 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 1}]",,A,20
4,"Oil billionaire Harold Hamm, a supporter of U.S. President Donald Trump, invited Democratic presidential contender Senator Elizabeth Warren to visit Oklahoma’s oil and natural gas fields while she is in the state this weekend. ",https://www.nytimes.com/reuters/2019/12/19/us/politics/19reuters-usa-election-warren-hamm.html,"Oil billionaire Harold Hamm, a supporter of U.S. President Donald Trump, invited Democratic presidential contender Senator Elizabeth Warren to visit Oklahoma’s oil and natural gas fields while she is in the state this weekend. ","HOUSTON — Oil billionaire Harold Hamm, a supporter of U.S. President Donald Trump, invited Democratic presidential contender Senator Elizabeth Warren to visit Oklahoma’s oil and natural gas fields while she is in the state this weekend. ",Reuters,[],[],2019-12-20T04:43:07+0000,article,None,U.S.,Politics,News,nyt://article/8d6423d2-b305-5e77-894f-4d906b4b3073,240,nyt://article/8d6423d2-b305-5e77-894f-4d906b4b3073,Energy Billionaire Asks Senator Warren to Visit Oklahoma Oil Fields,,,Energy Billionaire Asks Senator Warren to Visit Oklahoma Oil Fields,,,,By Reuters,[],Reuters,,
5,Billionaires and crystal-studded wine caves became the center of a spat as seven Democratic U.S. presidential contenders squared off in Los Angeles on Thursday for the final televised debate of the year. ,https://www.nytimes.com/reuters/2019/12/19/us/politics/19reuters-usa-election-debate-highlights.html,Billionaires and crystal-studded wine caves became the center of a spat as seven Democratic U.S. presidential contenders squared off in Los Angeles on Thursday for the final televised debate of the year. ,LOS ANGELES — Billionaires and crystal-studded wine caves became the center of a spat as seven Democratic U.S. presidential contenders squared off in Los Angeles on Thursday for the final televised debate of the year. ,Reuters,[],[],2019-12-20T04:40:19+0000,article,None,U.S.,Politics,News,nyt://article/2d413929-92bd-52f2-a831-9d42b800a99b,1136,nyt://article/2d413929-92bd-52f2-a831-9d42b800a99b,Sparks Fly as Democrats Warren and Buttigieg Spar Over Wealthy Donors,,,Sparks Fly as Democrats Warren and Buttigieg Spar Over Wealthy Donors,,,,By Reuters,[],Reuters,,
6,The general counsel of a U.S. labor agency has accused Chipotle Mexican Grill Inc of violating U.S. labor law by allegedly firing an employee in New York in retaliation for complaining about workplace problems and trying to organize with a union.,https://www.nytimes.com/reuters/2019/12/19/business/19reuters-usa-chipotle-labor.html,The general counsel of a U.S. labor agency has accused Chipotle Mexican Grill Inc of violating U.S. labor law by allegedly firing an employee in New York in retaliation for complaining about workplace problems and trying to organize with a union.,(Reuters) - The general counsel of a U.S. labor agency has accused Chipotle Mexican Grill Inc of violating U.S. labor law by allegedly firing an employee in New York in retaliation for complaining about workplace problems and trying to organize with a union.,Reuters,[],[],2019-12-20T04:34:14+0000,article,None,Business Day,,News,nyt://article/de9e1138-a53d-5821-9112-8b1e277a4d99,425,nyt://article/de9e1138-a53d-5821-9112-8b1e277a4d99,Chipotle Accused of Violating U.S. Labor Law on Union Organizing,,,Chipotle Accused of Violating U.S. Labor Law on Union Organizing,,,,By Reuters,[],Reuters,,
7,U.S. Ambassador to the United Nations Kelly Craft made a rare compassionate public gesture toward her Iranian counterpart in the U.N. Security Council chamber on Thursday. ,https://www.nytimes.com/reuters/2019/12/19/world/middleeast/19reuters-iran-usa-un.html,U.S. Ambassador to the United Nations Kelly Craft made a rare compassionate public gesture toward her Iranian counterpart in the U.N. Security Council chamber on Thursday. ,UNITED NATIONS — U.S. Ambassador to the United Nations Kelly Craft made a rare compassionate public gesture toward her Iranian counterpart in the U.N. Security Council chamber on Thursday. ,Reuters,[],[],2019-12-20T04:28:10+0000,article,None,World,Middle East,News,nyt://article/8d20a2b3-2bc8-5bc0-8adb-1a60f01e81c5,366,nyt://article/8d20a2b3-2bc8-5bc0-8adb-1a60f01e81c5,"In Rare Move, U.S. and Iranian Envoys Talk After U.N. Meeting on Nuclear Deal",,,"In Rare Move, U.S. and Iranian Envoys Talk After U.N. Meeting on Nuclear Deal",,,,By Reuters,[],Reuters,,
8,"President Donald Trump said on Thursday he wants an immediate trial in the Senate, after House Speaker Nancy Pelosi said she would not hand off impeachment to the Senate until she learned how Republicans would manage the proceeding.",https://www.nytimes.com/reuters/2019/12/19/world/europe/19reuters-usa-trump-impeachment-tweet.html,"President Donald Trump said on Thursday he wants an immediate trial in the Senate, after House Speaker Nancy Pelosi said she would not hand off impeachment to the Senate until she learned how Republicans would manage the proceeding.","WASHINGTON — President Donald Trump said on Thursday he wants an immediate trial in the Senate, after House Speaker Nancy Pelosi said she would not hand off impeachment to the Senate until she learned how Republicans would manage the proceeding.",Reuters,[],[],2019-12-20T04:24:56+0000,article,None,World,Europe,News,nyt://article/09c21e28-b326-54a3-ba2c-fdb44e476e56,87,nyt://article/09c21e28-b326-54a3-ba2c-fdb44e476e56,Trump Says He Wants an 'Immediate' Senate Impeachment Trial,,,Trump Says He Wants an 'Immediate' Senate Impeachment Trial,,,,By Reuters,[],Reuters,,
9,U.S. Senate Republican Majority Leader Mitch McConnell said he met with Senate Democratic leader Chuck Schumer on Thursday but they failed to reach an agreement on Schumer's demand that witnesses testify at President Donald Trump's Senate impeachment trial.,https://www.nytimes.com/reuters/2019/12/19/world/europe/19reuters-usa-trump-impeachment-senate.html,U.S. Senate Republican Majority Leader Mitch McConnell said he met with Senate Democratic leader Chuck Schumer on Thursday but they failed to reach an agreement on Schumer's demand that witnesses testify at President Donald Trump's Senate impeachm...,WASHINGTON — U.S. Senate Republican Majority Leader Mitch McConnell said he met with Senate Democratic leader Chuck Schumer on Thursday but they failed to reach an agreement on Schumer's demand that witnesses testify at President Donald Trump's Senate impeachment trial.,Reuters,[],[],2019-12-20T04:24:54+0000,article,None,World,Europe,News,nyt://article/108edbeb-9999-5015-83ab-fe01be51b659,66,nyt://article/108edbeb-9999-5015-83ab-fe01be51b659,Senate Republican Leader Says No Agreement With Democrats on Impeachment Witnesses,,,Senate Republican Leader Says No Agreement With Democrats on Impeachment Witnesses,,,,By Reuters,[],Reuters,,
