,abstract,web_url,snippet,lead_paragraph,source,multimedia,keywords,pub_date,document_type,news_desk,section_name,type_of_material,_id,word_count,uri,headline_main,headline_kicker,headline_content_kicker,headline_print_headline,headline_name,headline_seo,headline_sub,byline_original,byline_person,byline_organization
0,"Amazon workers in the eastern German city of Leipzig will extend until Christmas Eve their strike over pay and conditions, trade union Verdi said on Friday.",https://www.nytimes.com/reuters/2019/12/20/business/20reuters-amazon-germany-strike.html,"Amazon workers in the eastern German city of Leipzig will extend until Christmas Eve their strike over pay and conditions, trade union Verdi said on Friday.","BERLIN, Germany — Amazon workers in the eastern German city of Leipzig will extend until Christmas Eve their strike over pay and conditions, trade union Verdi said on Friday.",Reuters,[],[],2019-12-20T14:49:16+0000,article,None,Business Day,News,nyt://article/9f07f821-3019-525c-aebe-de4b9ab5739d,248,nyt://article/9f07f821-3019-525c-aebe-de4b9ab5739d,German Union Extends Strike at Amazon's Leipzig Warehouse Until December 24,,,German Union Extends Strike at Amazon's Leipzig Warehouse Until December 24,,,,By Reuters,[],Reuters
1,"Italian spirits group Campari has agreed to buy the distributor of its brand portfolio in France for an enterprise value of 60 million euros (£51.04 million), the company said on Friday.",https://www.nytimes.com/reuters/2019/12/20/business/20reuters-rfd-davide-campari-m-a.html,"Italian spirits group Campari has agreed to buy the distributor of its brand portfolio in France for an enterprise value of 60 million euros (£51.04 million), the company said on Friday.","MILAN — Italian spirits group Campari has agreed to buy the distributor of its brand portfolio in France for an enterprise value of 60 million euros (£51.04 million), the company said on Friday.",Reuters,[],[],2019-12-20T14:49:14+0000,article,None,Business Day,News,nyt://article/8020e41e-9e86-5b69-a281-f02261f06f74,110,nyt://article/8020e41e-9e86-5b69-a281-f02261f06f74,Italian Spirits Group Campari Buys Its Distributor in France,,,Italian Spirits Group Campari Buys Its Distributor in France,,,,By Reuters,[],Reuters
2,"Johnson & Johnson said on Friday it would acquire the remaining stake in Verb Surgical Inc, from Verily, Alphabet Inc's life sciences division.",https://www.nytimes.com/reuters/2019/12/20/business/20reuters-verb-surgical-m-a-johnson-johnson.html,"Johnson & Johnson said on Friday it would acquire the remaining stake in Verb Surgical Inc, from Verily, Alphabet Inc's life sciences division.","(Reuters) - Johnson & Johnson said on Friday it would acquire the remaining stake in Verb Surgical Inc, from Verily, Alphabet Inc's life sciences division.",Reuters,[],[],2019-12-20T14:49:11+0000,article,None,Business Day,News,nyt://article/e508a549-0574-51f7-b404-48ac7a7e0b85,160,nyt://article/e508a549-0574-51f7-b404-48ac7a7e0b85,J&J to Buy Remaining Stake in Verb Surgical to Strengthen Digital Surgery Portfolio,,,J&J to Buy Remaining Stake in Verb Surgical to Strengthen Digital Surgery Portfolio,,,,By Reuters,[],Reuters
3,"United Airlines Co is extending its cancellations of Boeing 737 MAX flights until June 4 as Boeing's top supplier, Spirit AeroSystems Inc, said it would stop making fuselages for the grounded jets.",https://www.nytimes.com/reuters/2019/12/20/business/20reuters-boeing-737-max-spirit-aerosystm.html,"United Airlines Co is extending its cancellations of Boeing 737 MAX flights until June 4 as Boeing's top supplier, Spirit AeroSystems Inc, said it would stop making fuselages for the grounded jets.","(Reuters) - United Airlines Co is extending its cancellations of Boeing 737 MAX flights until June 4 as Boeing's top supplier, Spirit AeroSystems Inc, said it would stop making fuselages for the grounded jets.",Reuters,[],[],2019-12-20T14:49:10+0000,article,None,Business Day,News,nyt://article/e96589c3-9140-52b7-8633-bc296426d6e3,476,nyt://article/e96589c3-9140-52b7-8633-bc296426d6e3,United Cancels 737 MAX Flights Into June as Spirit AeroSystems to Freeze Parts Production,,,United Cancels 737 MAX Flights Into June as Spirit AeroSystems to Freeze Parts Production,,,,By Reuters,[],Reuters
4,"For long-term shareholders of Netflix, the end of December marks an extremely rewarding decade.",https://www.nytimes.com/reuters/2019/12/20/business/20reuters-global-markets-decade-stocks-graphic.html,"For long-term shareholders of Netflix, the end of December marks an extremely rewarding decade.","SAN FRANCISCO — For long-term shareholders of Netflix, the end of December marks an extremely rewarding decade.",Reuters,[],[],2019-12-20T14:49:07+0000,article,None,Business Day,News,nyt://article/af41c845-65dc-5e88-9b6c-019a14a8a53d,707,nyt://article/af41c845-65dc-5e88-9b6c-019a14a8a53d,"Graphic: For Veteran Netflix Shareholders, It's Been a Very Good Decade",,,"Graphic: For Veteran Netflix Shareholders, It's Been a Very Good Decade",,,,By Reuters,[],Reuters
5,"ArcelorMittal and commissioners of the Ilva steelworks have moved closer to a deal over the future of the ailing plant and have agreed to extend their talks, a lawyer representing the company said on Friday.",https://www.nytimes.com/reuters/2019/12/20/business/20reuters-arcelormittal-ilva-lawyer.html,"ArcelorMittal and commissioners of the Ilva steelworks have moved closer to a deal over the future of the ailing plant and have agreed to extend their talks, a lawyer representing the company said on Friday.","MILAN — ArcelorMittal and commissioners of the Ilva steelworks have moved closer to a deal over the future of the ailing plant and have agreed to extend their talks, a lawyer representing the company said on Friday.",Reuters,[],[],2019-12-20T14:49:03+0000,article,None,Business Day,News,nyt://article/9259d109-c201-5b68-8144-184654ffe27b,289,nyt://article/9259d109-c201-5b68-8144-184654ffe27b,"ArcelorMittal, Commissioners Move Towards Deal, Agree to Extend Ilva Talks-Lawyer",,,"ArcelorMittal, Commissioners Move Towards Deal, Agree to Extend Ilva Talks-Lawyer",,,,By Reuters,[],Reuters
6,"The Bank of England should cut interest rates now, rather than risk the British economy slowing to a point where the central bank can do little to help it, policymaker Jonathan Haskel said on Friday.",https://www.nytimes.com/reuters/2019/12/20/business/20reuters-britain-boe-haskel.html,"The Bank of England should cut interest rates now, rather than risk the British economy slowing to a point where the central bank can do little to help it, policymaker Jonathan Haskel said on Friday.","LONDON — The Bank of England should cut interest rates now, rather than risk the British economy slowing to a point where the central bank can do little to help it, policymaker Jonathan Haskel said on Friday.",Reuters,[],[],2019-12-20T14:49:02+0000,article,None,Business Day,News,nyt://article/aa530298-78a8-51b0-81d5-19c65f8f6f7b,222,nyt://article/aa530298-78a8-51b0-81d5-19c65f8f6f7b,Bank of England's Haskel Makes Case for 'Insurance' Rate Cut Now,,,Bank of England's Haskel Makes Case for 'Insurance' Rate Cut Now,,,,By Reuters,[],Reuters
7,"Water downstream of a Rio Tinto mine in southern Madagascar contains high concentrations of uranium and lead, potentially endangering local residents who depend on a nearby lake and river for drinking water, a study released on Friday found.",https://www.nytimes.com/reuters/2019/12/20/business/20reuters-rio-tinto-madagascar.html,"Water downstream of a Rio Tinto mine in southern Madagascar contains high concentrations of uranium and lead, potentially endangering local residents who depend on a nearby lake and river for drinking water, a study released on Friday found.","JOHANNESBURG — Water downstream of a Rio Tinto mine in southern Madagascar contains high concentrations of uranium and lead, potentially endangering local residents who depend on a nearby lake and river for drinking water, a study released on Friday found.",Reuters,[],[],2019-12-20T14:45:52+0000,article,None,Business Day,News,nyt://article/72447785-860b-5e3d-bb01-3df961ab4b57,503,nyt://article/72447785-860b-5e3d-bb01-3df961ab4b57,"Water Around Rio Tinto's Madagascar Mine Is High in Lead, Uranium-Study",,,"Water Around Rio Tinto's Madagascar Mine Is High in Lead, Uranium-Study",,,,By Reuters,[],Reuters
8,"A 3-year-old Erie boy shot his sleeping father in the buttocks with a gun he found in their Pennsylvania home, authorities said.",https://www.nytimes.com/aponline/2019/12/20/us/ap-us-boy-shoots-sleeping-father-1st-ld-writethru.html,"A 3-year-old Erie boy shot his sleeping father in the buttocks with a gun he found in their Pennsylvania home, authorities said.","A 3-year-old Erie boy shot his sleeping father in the buttocks with a gun he found in their Pennsylvania home, authorities said.",AP,[],[],2019-12-20T14:45:40+0000,article,None,U.S.,News,nyt://article/fdebcc15-33dc-5aea-9489-4987bf1809bd,95,nyt://article/fdebcc15-33dc-5aea-9489-4987bf1809bd,Police: 3-Year-Old Boy Shoots Sleeping Father in Buttocks,,,Police: 3-Year-Old Boy Shoots Sleeping Father in Buttocks,,,,By The Associated Press,[],The Associated Press
9,Wall Street capped a mostly quiet week of trading Friday with broad gains for stocks and more record highs for the major indexes.,https://www.nytimes.com/aponline/2019/12/20/business/bc-financial-markets.html,Wall Street capped a mostly quiet week of trading Friday with broad gains for stocks and more record highs for the major indexes.,Wall Street capped a mostly quiet week of trading Friday with broad gains for stocks and more record highs for the major indexes.,AP,[],[],2019-12-20T14:45:38+0000,article,None,Business Day,News,nyt://article/1d6ce0b9-e398-5570-895f-8d31d940865e,791,nyt://article/1d6ce0b9-e398-5570-895f-8d31d940865e,S&P 500 Index Closes Out 10th Winning Week in the Past 11,,,S&P 500 Index Closes Out 10th Winning Week in the Past 11,,,,By The Associated Press,[],The Associated Press
