,abstract,web_url,snippet,lead_paragraph,source,multimedia,keywords,pub_date,document_type,news_desk,section_name,type_of_material,_id,word_count,uri,headline_main,headline_kicker,headline_content_kicker,headline_print_headline,headline_name,headline_seo,headline_sub,byline_original,byline_person,byline_organization,subsection_name
0,The pound surged more than 2% on Thursday as Prime Minister Boris Johnson's Conservative Party won a resounding election victory that markets believe makes an orderly British exit from the European Union all but certain.,https://www.nytimes.com/reuters/2019/12/13/business/13reuters-britain-sterling-election.html,The pound surged more than 2% on Thursday as Prime Minister Boris Johnson's Conservative Party won a resounding election victory that markets believe makes an orderly British exit from the European Union all but certain.,LONDON — The pound surged more than 2% on Thursday as Prime Minister Boris Johnson's Conservative Party won a resounding election victory that markets believe makes an orderly British exit from the European Union all but certain.,Reuters,[],[],2019-12-13T07:37:06+0000,article,None,Business Day,News,nyt://article/26c8758f-7fc7-5d9a-a38e-ac7df156ccce,784,nyt://article/26c8758f-7fc7-5d9a-a38e-ac7df156ccce,Pound Soars as Johnson Scores Landslide British Election Win,,,Pound Soars as Johnson Scores Landslide British Election Win,,,,By Reuters,[],Reuters,
1,Boris Johnson's many critics have often dismissed him as a political clown. He's having the last laugh now.,https://www.nytimes.com/aponline/2019/12/13/world/europe/ap-eu-britain-brexit-election-boris-johnson.html,Boris Johnson's many critics have often dismissed him as a political clown. He's having the last laugh now.,LONDON — Boris Johnson's many critics have often dismissed him as a political clown. He's having the last laugh now.,AP,[],[],2019-12-13T06:54:34+0000,article,None,World,News,nyt://article/8276301e-ea26-509f-b966-9d6e2e6396b4,846,nyt://article/8276301e-ea26-509f-b966-9d6e2e6396b4,From Punchline to Political Star: The Rise of Boris Johnson,,,From Punchline to Political Star: The Rise of Boris Johnson,,,,By The Associated Press,[],The Associated Press,Europe
2,Prime Minister Boris Johnson pledged Friday to heal Britain's divisions over Brexit after his gamble on early elections rewarded him with a commanding majority in Parliament and a new mandate to take his country out of the European Union at the end of January.,https://www.nytimes.com/aponline/2019/12/13/world/europe/ap-eu-britain-brexit-election.html,Prime Minister Boris Johnson pledged Friday to heal Britain's divisions over Brexit after his gamble on early elections rewarded him with a commanding majority in Parliament and a new mandate to take his country out of the European Union at the en...,LONDON — Prime Minister Boris Johnson pledged Friday to heal Britain's divisions over Brexit after his gamble on early elections rewarded him with a commanding majority in Parliament and a new mandate to take his country out of the European Union at the end of January.,AP,[],[],2019-12-13T06:54:33+0000,article,None,World,News,nyt://article/550d9e31-fdfb-56d7-9f93-9834cb9211b5,1228,nyt://article/550d9e31-fdfb-56d7-9f93-9834cb9211b5,Johnson Claims Brexit Mandate With New Conservative Majority,,,Johnson Claims Brexit Mandate With New Conservative Majority,,,,By The Associated Press,[],The Associated Press,Europe
3,The Latest on Britain's Brexit election (all times local):,https://www.nytimes.com/aponline/2019/12/13/business/ap-eu-britain-brexit-election-the-latest.html,The Latest on Britain's Brexit election (all times local):,LONDON — The Latest on Britain's Brexit election (all times local):,AP,[],[],2019-12-13T06:51:30+0000,article,None,Business Day,News,nyt://article/6fbf96f0-7842-5c50-9a23-5818c6e975d2,3175,nyt://article/6fbf96f0-7842-5c50-9a23-5818c6e975d2,The Latest: UK's Conservatives End Up With Majority of 80,,,The Latest: UK's Conservatives End Up With Majority of 80,,,,By The Associated Press,[],The Associated Press,
4,"After all the arguments and all the mass marches, opponents of Brexit faced a stark truth on Friday after Prime Minister Boris Johnson's election landslide: there will be no second referendum and divorce from Europe is inevitable.",https://www.nytimes.com/reuters/2019/12/13/world/europe/13reuters-britain-election-remain.html,"After all the arguments and all the mass marches, opponents of Brexit faced a stark truth on Friday after Prime Minister Boris Johnson's election landslide: there will be no second referendum and divorce from Europe is inevitable.","LONDON — After all the arguments and all the mass marches, opponents of Brexit faced a stark truth on Friday after Prime Minister Boris Johnson's election landslide: there will be no second referendum and divorce from Europe is inevitable.",Reuters,[],[],2019-12-13T06:46:07+0000,article,None,World,News,nyt://article/a3b23557-7e38-526f-9d8e-972c0a6cee57,651,nyt://article/a3b23557-7e38-526f-9d8e-972c0a6cee57,The Dream Is Dead: Johnson Election Triumph Breaks UK 'Remainer' Hearts,,,The Dream Is Dead: Johnson Election Triumph Breaks UK 'Remainer' Hearts,,,,By Reuters,[],Reuters,Europe
5,"It was a portentous moment. Prime Minister Boris Johnson had led his party to a thumping election victory, making Britain's divorce from the EU all but certain.",https://www.nytimes.com/reuters/2019/12/13/world/europe/13reuters-britain-election-johnson-buckethead.html,"It was a portentous moment. Prime Minister Boris Johnson had led his party to a thumping election victory, making Britain's divorce from the EU all but certain.","LONDON — It was a portentous moment. Prime Minister Boris Johnson had led his party to a thumping election victory, making Britain's divorce from the EU all but certain.",Reuters,[],[],2019-12-13T06:43:11+0000,article,None,World,News,nyt://article/bfd43382-c1dd-57cf-9a7f-eee43821b28a,335,nyt://article/bfd43382-c1dd-57cf-9a7f-eee43821b28a,"British PM Johnson Takes Center Stage, Along With Elmo & Lord Buckethead",,,"British PM Johnson Takes Center Stage, Along With Elmo & Lord Buckethead",,,,By Reuters,[],Reuters,Europe
6,"Prime Minister Boris Johnson called on Friday for ""closure"" over the Brexit divisions that have riven the United Kingdom, saying his election victory provided an overwhelming mandate to take Britain out of the European Union on Jan. 31.",https://www.nytimes.com/reuters/2019/12/13/world/europe/13reuters-britain-election.html,"Prime Minister Boris Johnson called on Friday for ""closure"" over the Brexit divisions that have riven the United Kingdom, saying his election victory provided an overwhelming mandate to take Britain out of the European Union on Jan. 31.","LONDON — Prime Minister Boris Johnson called on Friday for ""closure"" over the Brexit divisions that have riven the United Kingdom, saying his election victory provided an overwhelming mandate to take Britain out of the European Union on Jan. 31.",Reuters,[],[],2019-12-13T06:43:10+0000,article,None,World,News,nyt://article/538d70bb-525a-5cc0-85be-02273ed3fd52,1016,nyt://article/538d70bb-525a-5cc0-85be-02273ed3fd52,'Brexit Closure': Johnson Wins Commanding Victory in UK Election,,,'Brexit Closure': Johnson Wins Commanding Victory in UK Election,,,,By Reuters,[],Reuters,Europe
7,"Reports rolled in with escalating urgency — pills seized by the truckload, pills swallowed by schoolchildren, pills in the pockets of dead terrorists. ",https://www.nytimes.com/aponline/2019/12/13/business/bc-global-opioids-the-other-opioid-crisis.html,"Reports rolled in with escalating urgency — pills seized by the truckload, pills swallowed by schoolchildren, pills in the pockets of dead terrorists. ","KAPURTHALA, India — Reports rolled in with escalating urgency — pills seized by the truckload, pills swallowed by schoolchildren, pills in the pockets of dead terrorists. ",AP,[],[],2019-12-13T06:39:35+0000,article,None,Business Day,News,nyt://article/7ba1e687-eeb0-5e66-8f50-f37a68ced2aa,2313,nyt://article/7ba1e687-eeb0-5e66-8f50-f37a68ced2aa,"How Tramadol, Touted as Safer Opioid, Became 3rd World Peril",,,"How Tramadol, Touted as Safer Opioid, Became 3rd World Peril",,,,By The Associated Press,[],The Associated Press,
8,Democrats in the U.S. House of Representatives on Friday took Republican President Donald Trump to the brink of impeachment by approving two charges against him over his efforts to pressure Ukraine to investigate Democratic political rival Joe Biden.,https://www.nytimes.com/reuters/2019/12/13/world/europe/13reuters-usa-trump-impeachment.html,Democrats in the U.S. House of Representatives on Friday took Republican President Donald Trump to the brink of impeachment by approving two charges against him over his efforts to pressure Ukraine to investigate Democratic political rival Joe Bid...,WASHINGTON — Democrats in the U.S. House of Representatives on Friday took Republican President Donald Trump to the brink of impeachment by approving two charges against him over his efforts to pressure Ukraine to investigate Democratic political rival Joe Biden.,Reuters,[],[],2019-12-13T06:34:04+0000,article,None,World,News,nyt://article/d80ea8a5-b610-5164-a571-7e251f584759,971,nyt://article/d80ea8a5-b610-5164-a571-7e251f584759,Trump Impeachment Looms as U.S. House Committee Approves Charges,,,Trump Impeachment Looms as U.S. House Committee Approves Charges,,,,By Reuters,[],Reuters,Europe
9,"Costa Rica's President Carlos Alvarado on Thursday issued a technical decree that will allow for therapeutic abortions in the Central American nation, despite opposition from religious and conservative political groups.",https://www.nytimes.com/reuters/2019/12/13/world/americas/13reuters-costa-rica-abortion.html,"Costa Rica's President Carlos Alvarado on Thursday issued a technical decree that will allow for therapeutic abortions in the Central American nation, despite opposition from religious and conservative political groups.","SAN JOSE — Costa Rica's President Carlos Alvarado on Thursday issued a technical decree that will allow for therapeutic abortions in the Central American nation, despite opposition from religious and conservative political groups.",Reuters,[],[],2019-12-13T06:34:01+0000,article,None,World,News,nyt://article/67cdac63-a6c6-5afc-80de-8ef0d78b8122,256,nyt://article/67cdac63-a6c6-5afc-80de-8ef0d78b8122,Costa Rica's President Says Therapeutic Abortions Will Be Allowed,,,Costa Rica's President Says Therapeutic Abortions Will Be Allowed,,,,By Reuters,[],Reuters,Americas
