,abstract,web_url,snippet,lead_paragraph,source,multimedia,keywords,pub_date,document_type,news_desk,section_name,subsection_name,type_of_material,_id,word_count,uri,headline_main,headline_kicker,headline_content_kicker,headline_print_headline,headline_name,headline_seo,headline_sub,byline_original,byline_person,byline_organization
0,"China and Russia on Monday proposed the U.N. Security Council lift a ban on North Korea exporting statues, seafood and textiles, according to a draft resolution seen by Reuters, in a move Russia said is aimed at encouraging talks between Washington and Pyongyang.",https://www.nytimes.com/reuters/2019/12/17/world/asia/17reuters-northkorea-usa-un.html,"China and Russia on Monday proposed the U.N. Security Council lift a ban on North Korea exporting statues, seafood and textiles, according to a draft resolution seen by Reuters, in a move Russia said is aimed at encouraging talks between Washingto...","UNITED NATIONS — China and Russia on Monday proposed the U.N. Security Council lift a ban on North Korea exporting statues, seafood and textiles, according to a draft resolution seen by Reuters, in a move Russia said is aimed at encouraging talks between Washington and Pyongyang.",Reuters,[],[],2019-12-17T08:12:42+0000,article,None,World,Asia Pacific,News,nyt://article/0a776f4d-33c3-5d02-8a8b-6b0bf7096349,963,nyt://article/0a776f4d-33c3-5d02-8a8b-6b0bf7096349,"China, Russia Propose Lifting Some U.N. Sanctions on North Korea, U.S. Says Not the Time",,,"China, Russia Propose Lifting Some U.N. Sanctions on North Korea, U.S. Says Not the Time",,,,By Reuters,[],Reuters
1,British cabinet office minister Michael Gove said on Tuesday that the government was committed to securing a trade deal with the European Union by the end of 2020. ,https://www.nytimes.com/reuters/2019/12/17/world/europe/17reuters-britain-eu-gove.html,British cabinet office minister Michael Gove said on Tuesday that the government was committed to securing a trade deal with the European Union by the end of 2020. ,LONDON — British cabinet office minister Michael Gove said on Tuesday that the government was committed to securing a trade deal with the European Union by the end of 2020. ,Reuters,[],[],2019-12-17T08:06:52+0000,article,None,World,Europe,News,nyt://article/13d83602-ec8d-5c49-9c95-03d36199a047,101,nyt://article/13d83602-ec8d-5c49-9c95-03d36199a047,UK Minister Gove Says UK Will Get EU Trade Deal by End of 2020,,,UK Minister Gove Says UK Will Get EU Trade Deal by End of 2020,,,,By Reuters,[],Reuters
2,"Spain's Telefonica plans to drastically reduce the amount of equipment it buys from Chinese technology giant Huawei [HWT.UL] for the core of its next-generation mobile networks in Europe, its Chief Technology and Information Officer (CTIO) said.",https://www.nytimes.com/reuters/2019/12/17/business/17reuters-telefonica-huawei.html,"Spain's Telefonica plans to drastically reduce the amount of equipment it buys from Chinese technology giant Huawei [HWT.UL] for the core of its next-generation mobile networks in Europe, its Chief Technology and Information Officer (CTIO) said.","MADRID — Spain's Telefonica plans to drastically reduce the amount of equipment it buys from Chinese technology giant Huawei [HWT.UL] for the core of its next-generation mobile networks in Europe, its Chief Technology and Information Officer (CTIO) said.",Reuters,[],[],2019-12-17T08:03:37+0000,article,None,Business Day,,News,nyt://article/d00e7049-349d-5376-a689-7ddebae8aa16,343,nyt://article/d00e7049-349d-5376-a689-7ddebae8aa16,Telefonica to Drastically Reduce Huawei Kit for Its Core 5G Network,,,Telefonica to Drastically Reduce Huawei Kit for Its Core 5G Network,,,,By Reuters,[],Reuters
3,"Kuwait formed a new government on Tuesday that replaced the son of the emir as defense minister and named an interior minister from outside the ruling family, a month after the former cabinet quit due to a row between members of the family and parliament.",https://www.nytimes.com/reuters/2019/12/17/world/middleeast/17reuters-kuwait-government.html,"Kuwait formed a new government on Tuesday that replaced the son of the emir as defense minister and named an interior minister from outside the ruling family, a month after the former cabinet quit due to a row between members of the family and par...","DUBAI — Kuwait formed a new government on Tuesday that replaced the son of the emir as defense minister and named an interior minister from outside the ruling family, a month after the former cabinet quit due to a row between members of the family and parliament.",Reuters,[],[],2019-12-17T07:57:52+0000,article,None,World,Middle East,News,nyt://article/1f26eb31-4a60-515e-99ed-86002200db96,321,nyt://article/1f26eb31-4a60-515e-99ed-86002200db96,Kuwait Appoints New Cabinet After Parliament Tension,,,Kuwait Appoints New Cabinet After Parliament Tension,,,,By Reuters,[],Reuters
4,A Pakistani court sentenced former military dictator Pervez Musharraf to death in absentia on Tuesday on treason charges stemming from his imposition of a state of emergency in 2007. ,https://www.nytimes.com/reuters/2019/12/17/world/asia/17reuters-pakistan-law-musharraf.html,A Pakistani court sentenced former military dictator Pervez Musharraf to death in absentia on Tuesday on treason charges stemming from his imposition of a state of emergency in 2007. ,ISLAMABAD — A Pakistani court sentenced former military dictator Pervez Musharraf to death in absentia on Tuesday on treason charges stemming from his imposition of a state of emergency in 2007. ,Reuters,[],[],2019-12-17T07:48:45+0000,article,None,World,Asia Pacific,News,nyt://article/85367f33-5413-50d8-b63d-686444d5ced2,484,nyt://article/85367f33-5413-50d8-b63d-686444d5ced2,Pakistan Sentences Former Dictator Musharraf to Death in Absentia,,,Pakistan Sentences Former Dictator Musharraf to Death in Absentia,,,,By Reuters,[],Reuters
5,"Protests spread Tuesday across India against a new law that provides a path to citizenship for non-Muslims entering illegally from several neighboring countries, with angry demonstrators clashing with police.",https://www.nytimes.com/aponline/2019/12/17/world/asia/ap-india-citizenship-law-protests.html,"Protests spread Tuesday across India against a new law that provides a path to citizenship for non-Muslims entering illegally from several neighboring countries, with angry demonstrators clashing with police.","NEW DELHI — Protests spread Tuesday across India against a new law that provides a path to citizenship for non-Muslims entering illegally from several neighboring countries, with angry demonstrators clashing with police.",AP,[],[],2019-12-17T07:00:28+0000,article,None,World,Asia Pacific,News,nyt://article/eaf6817a-36e3-5718-bbc7-eef5f82e68c4,958,nyt://article/eaf6817a-36e3-5718-bbc7-eef5f82e68c4,"Protests of India's Citizenship Law Grow, Along With Clashes",,,"Protests of India's Citizenship Law Grow, Along With Clashes",,,,By The Associated Press,[],The Associated Press
6,"Asian stocks camped out at 18-month peaks on Wednesday having climbed for five straight sessions, while the British pound was licking fresh wounds as revived Brexit fears came back to haunt it.",https://www.nytimes.com/reuters/2019/12/17/business/17reuters-global-markets.html,"Asian stocks camped out at 18-month peaks on Wednesday having climbed for five straight sessions, while the British pound was licking fresh wounds as revived Brexit fears came back to haunt it.","SYDNEY — Asian stocks camped out at 18-month peaks on Wednesday having climbed for five straight sessions, while the British pound was licking fresh wounds as revived Brexit fears came back to haunt it.",Reuters,[],[],2019-12-17T06:45:47+0000,article,None,Business Day,,News,nyt://article/c9cb2e0f-f374-5262-988f-8b605e356423,561,nyt://article/c9cb2e0f-f374-5262-988f-8b605e356423,"Asia Shares Take a Breather, Pound Can't Shake Brexit Jinx",,,"Asia Shares Take a Breather, Pound Can't Shake Brexit Jinx",,,,By Reuters,[],Reuters
7,"Abbas Ali spends most of his free time camped out in Tahrir Square — the epicenter of Iraq's anti-government protests — going home only at 3 a.m. to catch few hours of sleep, change his clothes and check on his family. He is determined to stay in the square until the end, whatever that may be.",https://www.nytimes.com/aponline/2019/12/17/world/middleeast/ap-ml-mideast-the-long-haul-1st-ld-writethru.html,"Abbas Ali spends most of his free time camped out in Tahrir Square — the epicenter of Iraq's anti-government protests — going home only at 3 a.m. to catch few hours of sleep, change his clothes and check on his family. He is determined to stay in ...","BAGHDAD — Abbas Ali spends most of his free time camped out in Tahrir Square — the epicenter of Iraq's anti-government protests — going home only at 3 a.m. to catch few hours of sleep, change his clothes and check on his family. He is determined to stay in the square until the end, whatever that may be.",AP,[],[],2019-12-17T05:48:29+0000,article,None,World,Middle East,News,nyt://article/8b896245-6b78-54e5-8f99-ce1c0a82bb92,1045,nyt://article/8b896245-6b78-54e5-8f99-ce1c0a82bb92,Protesters in Arab World's Newest Uprisings Face a Long Haul,,,Protesters in Arab World's Newest Uprisings Face a Long Haul,,,,By The Associated Press,[],The Associated Press
8,"A federal judge on Tuesday sentenced former Trump campaign official Rick Gates to 45 days in jail despite what she said was “extraordinary"" cooperation with special counsel Robert Mueller's Russia probe and other Justice Department investigations.",https://www.nytimes.com/aponline/2019/12/17/us/politics/ap-us-trump-russia-probe-gates-1st-ld-writethru.html,"A federal judge on Tuesday sentenced former Trump campaign official Rick Gates to 45 days in jail despite what she said was “extraordinary"" cooperation with special counsel Robert Mueller's Russia probe and other Justice Department investigations.","WASHINGTON — A federal judge on Tuesday sentenced former Trump campaign official Rick Gates to 45 days in jail despite what she said was “extraordinary"" cooperation with special counsel Robert Mueller's Russia probe and other Justice Department investigations.",AP,[],[],2019-12-17T05:45:41+0000,article,None,U.S.,Politics,News,nyt://article/a7c7b003-53e4-5c9a-82e5-7c6363f28f7d,788,nyt://article/a7c7b003-53e4-5c9a-82e5-7c6363f28f7d,Ex-Trump Campaign Official Rick Gates Gets 45 Days in Jail,,,Ex-Trump Campaign Official Rick Gates Gets 45 Days in Jail,,,,By The Associated Press,[],The Associated Press
9,"Fewer than 30 people were executed in the United States and under 50 new death sentences were imposed for the fifth straight year, part of a continuing decline in capital punishment that saw only a few states carry out executions, a new report issued Tuesday said.",https://www.nytimes.com/aponline/2019/12/17/us/politics/ap-us-death-penalty-1st-ld-writethru.html,"Fewer than 30 people were executed in the United States and under 50 new death sentences were imposed for the fifth straight year, part of a continuing decline in capital punishment that saw only a few states carry out executions, a new report iss...","WASHINGTON — Fewer than 30 people were executed in the United States and under 50 new death sentences were imposed for the fifth straight year, part of a continuing decline in capital punishment that saw only a few states carry out executions, a new report issued Tuesday said.",AP,[],[],2019-12-17T05:27:27+0000,article,None,U.S.,Politics,News,nyt://article/5ebf26a8-2240-579e-bc98-ff28ce15373d,693,nyt://article/5ebf26a8-2240-579e-bc98-ff28ce15373d,Report: 5th Straight Year With Under 30 Executions in US,,,Report: 5th Straight Year With Under 30 Executions in US,,,,By The Associated Press,[],The Associated Press
