,abstract,web_url,snippet,lead_paragraph,source,multimedia,keywords,pub_date,document_type,news_desk,section_name,type_of_material,_id,word_count,uri,headline_main,headline_kicker,headline_content_kicker,headline_print_headline,headline_name,headline_seo,headline_sub,byline_original,byline_person,byline_organization
0,"Mark Schneider, Nestle's first outside chief executive officer in almost a century, has made big strides in positioning the world's largest food company for the future with aggressive deal making since taking over in January 2017.",https://www.nytimes.com/reuters/2019/12/20/business/20reuters-nestle-deals-factbox.html,"Mark Schneider, Nestle's first outside chief executive officer in almost a century, has made big strides in positioning the world's largest food company for the future with aggressive deal making since taking over in January 2017.","(Reuters) - Mark Schneider, Nestle's first outside chief executive officer in almost a century, has made big strides in positioning the world's largest food company for the future with aggressive deal making since taking over in January 2017.",Reuters,[],[],2019-12-20T10:13:12+0000,article,None,Business Day,News,nyt://article/cacd7be8-8249-5fce-8d94-1b0850001454,508,nyt://article/cacd7be8-8249-5fce-8d94-1b0850001454,Factbox: Nestle CEO Mark Schneider's Top Deals Since His Appointment in 2017,,,Factbox: Nestle CEO Mark Schneider's Top Deals Since His Appointment in 2017,,,,By Reuters,[],Reuters
1,"Ograi BidCo, managed by private investment firm Searchlight, on Friday raised its cash bid for Swedish vehicle inspection company Opus Group to 2.47 billion crowns (201 million pounds), and said the offer would not be lifted any further.",https://www.nytimes.com/reuters/2019/12/20/business/20reuters-opus-group-searchlight-m-a.html,"Ograi BidCo, managed by private investment firm Searchlight, on Friday raised its cash bid for Swedish vehicle inspection company Opus Group to 2.47 billion crowns (201 million pounds), and said the offer would not be lifted any further.","STOCKHOLM — Ograi BidCo, managed by private investment firm Searchlight, on Friday raised its cash bid for Swedish vehicle inspection company Opus Group to 2.47 billion crowns (201 million pounds), and said the offer would not be lifted any further.",Reuters,[],[],2019-12-20T10:13:09+0000,article,None,Business Day,News,nyt://article/674e2d32-631e-506c-9443-d822b8f72f1e,186,nyt://article/674e2d32-631e-506c-9443-d822b8f72f1e,Searchlight Ups Bid for Sweden's Opus to 2.47 Billion SEK,,,Searchlight Ups Bid for Sweden's Opus to 2.47 Billion SEK,,,,By Reuters,[],Reuters
2,"The mood among German consumers deteriorated unexpectedly heading into January, a survey showed on Friday, suggesting that household spending in Europe's largest economy could weaken at the beginning of next year.",https://www.nytimes.com/reuters/2019/12/20/business/20reuters-germany-economy-gfk.html,"The mood among German consumers deteriorated unexpectedly heading into January, a survey showed on Friday, suggesting that household spending in Europe's largest economy could weaken at the beginning of next year.","BERLIN — The mood among German consumers deteriorated unexpectedly heading into January, a survey showed on Friday, suggesting that household spending in Europe's largest economy could weaken at the beginning of next year.",Reuters,[],[],2019-12-20T10:13:08+0000,article,None,Business Day,News,nyt://article/61f1238f-58d7-5404-9e70-d6b7389f1d7c,261,nyt://article/61f1238f-58d7-5404-9e70-d6b7389f1d7c,German Consumer Morale Darkens Heading Into January-GfK,,,German Consumer Morale Darkens Heading Into January-GfK,,,,By Reuters,[],Reuters
3,Credit Suisse said it expects to book a pre-tax gain of at least 450 million Swiss francs (353 million pounds) in the fourth quarter of 2019 from the revised accounting treatment of its stake in financial infrastructure company SIX Group.,https://www.nytimes.com/reuters/2019/12/20/business/20reuters-credit-suisse-gp-outlook.html,Credit Suisse said it expects to book a pre-tax gain of at least 450 million Swiss francs (353 million pounds) in the fourth quarter of 2019 from the revised accounting treatment of its stake in financial infrastructure company SIX Group.,ZURICH — Credit Suisse said it expects to book a pre-tax gain of at least 450 million Swiss francs (353 million pounds) in the fourth quarter of 2019 from the revised accounting treatment of its stake in financial infrastructure company SIX Group.,Reuters,[],[],2019-12-20T10:13:06+0000,article,None,Business Day,News,nyt://article/93f38a88-fdc0-553a-a82a-fcbbd82d2f27,100,nyt://article/93f38a88-fdc0-553a-a82a-fcbbd82d2f27,Credit Suisse Expects Fourth-Quarter Gain From SIX Group Stake Accounting,,,Credit Suisse Expects Fourth-Quarter Gain From SIX Group Stake Accounting,,,,By Reuters,[],Reuters
4,"U.S. Trade Representative Robert Lighthizer was looking forward to some holiday peace and quiet after wrapping up trade deals with the United States' most important trading partners - China, Mexico, and Canada - last week. ",https://www.nytimes.com/reuters/2019/12/20/business/20reuters-usa-trade-ustr.html,"U.S. Trade Representative Robert Lighthizer was looking forward to some holiday peace and quiet after wrapping up trade deals with the United States' most important trading partners - China, Mexico, and Canada - last week. ","WASHINGTON — U.S. Trade Representative Robert Lighthizer was looking forward to some holiday peace and quiet after wrapping up trade deals with the United States' most important trading partners - China, Mexico, and Canada - last week. ",Reuters,[],[],2019-12-20T10:13:05+0000,article,None,Business Day,News,nyt://article/60431b13-7f8d-5e23-94c1-7fb004a17173,1197,nyt://article/60431b13-7f8d-5e23-94c1-7fb004a17173,Two Deals in Pocket but No Holiday Cheer for U.S. Trade Chief Lighthizer,,,Two Deals in Pocket but No Holiday Cheer for U.S. Trade Chief Lighthizer,,,,By Reuters,[],Reuters
5,"Japan's factory output is expected to have shrunk for the second straight month in November, according to a Reuters poll, highlighting the increasing strain on the export-reliant economy from the U.S.-China trade conflict and sluggish global demand.",https://www.nytimes.com/reuters/2019/12/20/business/20reuters-japan-economy-poll.html,"Japan's factory output is expected to have shrunk for the second straight month in November, according to a Reuters poll, highlighting the increasing strain on the export-reliant economy from the U.S.-China trade conflict and sluggish global deman...","TOKYO — Japan's factory output is expected to have shrunk for the second straight month in November, according to a Reuters poll, highlighting the increasing strain on the export-reliant economy from the U.S.-China trade conflict and sluggish global demand.",Reuters,[],[],2019-12-20T10:13:04+0000,article,None,Business Day,News,nyt://article/a822ff0e-a01c-5674-bb09-731abd9134ca,369,nyt://article/a822ff0e-a01c-5674-bb09-731abd9134ca,Japan November Factory Output Likely Shrank on Trade War Impact-Reuters Poll,,,Japan November Factory Output Likely Shrank on Trade War Impact-Reuters Poll,,,,By Reuters,[],Reuters
6,The captain of a Vietnamese oil tanker has been jailed for over five years in Singapore for his role in a scheme that saw around $150 million (115 million pounds) of oil stolen from Shell's biggest refinery over several years.,https://www.nytimes.com/reuters/2019/12/20/business/20reuters-shell-oil-theft.html,The captain of a Vietnamese oil tanker has been jailed for over five years in Singapore for his role in a scheme that saw around $150 million (115 million pounds) of oil stolen from Shell's biggest refinery over several years.,SINGAPORE — The captain of a Vietnamese oil tanker has been jailed for over five years in Singapore for his role in a scheme that saw around $150 million (115 million pounds) of oil stolen from Shell's biggest refinery over several years.,Reuters,[],[],2019-12-20T10:13:03+0000,article,None,Business Day,News,nyt://article/1360bbe4-ab01-567f-a591-b9cf6ea60a53,325,nyt://article/1360bbe4-ab01-567f-a591-b9cf6ea60a53,Singapore Jails Tanker Captain in Shell Oil Heist Case,,,Singapore Jails Tanker Captain in Shell Oil Heist Case,,,,By Reuters,[],Reuters
7,"Lloyds Banking Group has offered additional payments of 35,000 pounds each to 191 victims of one of Britain's biggest banking scandals, after a review of its handling of a compensation scheme found ""serious shortcomings"".",https://www.nytimes.com/reuters/2019/12/20/business/20reuters-britain-lloyds-fraud.html,"Lloyds Banking Group has offered additional payments of 35,000 pounds each to 191 victims of one of Britain's biggest banking scandals, after a review of its handling of a compensation scheme found ""serious shortcomings"".","LONDON — Lloyds Banking Group has offered additional payments of 35,000 pounds each to 191 victims of one of Britain's biggest banking scandals, after a review of its handling of a compensation scheme found ""serious shortcomings"".",Reuters,[],[],2019-12-20T10:10:05+0000,article,None,Business Day,News,nyt://article/32e3a039-cb37-5a8f-9ee1-c52a3a19a66b,242,nyt://article/32e3a039-cb37-5a8f-9ee1-c52a3a19a66b,Lloyds Offers Payments to HBOS Victims After Compensation Rebuke,,,Lloyds Offers Payments to HBOS Victims After Compensation Rebuke,,,,By Reuters,[],Reuters
8,"Euro zone banks are making almost full use of the European Central Bank's two-tier deposit facility as they have redistributed excess liquidity to take advantage of an exemption from the most punitive charges, the ECB said on Friday.",https://www.nytimes.com/reuters/2019/12/20/business/20reuters-ecb-policy-deposits.html,"Euro zone banks are making almost full use of the European Central Bank's two-tier deposit facility as they have redistributed excess liquidity to take advantage of an exemption from the most punitive charges, the ECB said on Friday.","FRANKFURT — Euro zone banks are making almost full use of the European Central Bank's two-tier deposit facility as they have redistributed excess liquidity to take advantage of an exemption from the most punitive charges, the ECB said on Friday.",Reuters,[],[],2019-12-20T10:10:01+0000,article,None,Business Day,News,nyt://article/c52992ad-e57a-5d73-8cf0-17ab61bfc5ae,242,nyt://article/c52992ad-e57a-5d73-8cf0-17ab61bfc5ae,Euro Zone Banks Fully Utilizing ECB's Two-Tier Rate Scheme,,,Euro Zone Banks Fully Utilizing ECB's Two-Tier Rate Scheme,,,,By Reuters,[],Reuters
9,"Britain's economy grew a little faster in the third quarter than first estimated and the country's current account deficit shrank to its smallest since 2012, a small boost ahead of what looks set to be a sluggish end to the year ahead of Brexit.  ",https://www.nytimes.com/reuters/2019/12/20/business/20reuters-britain-economy.html,"Britain's economy grew a little faster in the third quarter than first estimated and the country's current account deficit shrank to its smallest since 2012, a small boost ahead of what looks set to be a sluggish end to the year ahead of Brexit.  ","LONDON — Britain's economy grew a little faster in the third quarter than first estimated and the country's current account deficit shrank to its smallest since 2012, a small boost ahead of what looks set to be a sluggish end to the year ahead of Brexit. ",Reuters,[],[],2019-12-20T10:10:00+0000,article,None,Business Day,News,nyt://article/5bd3c0d6-b8b4-5391-b697-0afa15ae4bee,388,nyt://article/5bd3c0d6-b8b4-5391-b697-0afa15ae4bee,"UK Economy's Growth in Third Quarter Revised Up, Smallest Current Account Gap Since 2012",,,"UK Economy's Growth in Third Quarter Revised Up, Smallest Current Account Gap Since 2012",,,,By Reuters,[],Reuters
