,abstract,web_url,snippet,lead_paragraph,source,multimedia,keywords,pub_date,document_type,news_desk,section_name,subsection_name,type_of_material,_id,word_count,uri,headline_main,headline_kicker,headline_content_kicker,headline_print_headline,headline_name,headline_seo,headline_sub,byline_original,byline_person,byline_organization
0,Matt Balanc came off the bench to score 11 of his 16 points in the second half to lead Quinnipiac to a 69-64 win over Bowling Green on Saturday in the consolation game of the Battle of the Boardwalk.,https://www.nytimes.com/aponline/2019/12/21/sports/ncaabasketball/bc-bkc-quinnipiac-bowling-green.html,Matt Balanc came off the bench to score 11 of his 16 points in the second half to lead Quinnipiac to a 69-64 win over Bowling Green on Saturday in the consolation game of the Battle of the Boardwalk.,"ATLANTIC CITY, N.J. — Matt Balanc came off the bench to score 11 of his 16 points in the second half to lead Quinnipiac to a 69-64 win over Bowling Green on Saturday in the consolation game of the Battle of the Boardwalk.",AP,[],[],2019-12-21T22:18:27+0000,article,None,Sports,College Basketball,News,nyt://article/f4eb063e-500e-594c-8f8c-cf8eaca95416,208,nyt://article/f4eb063e-500e-594c-8f8c-cf8eaca95416,Balanc Leads Quinnipiac Past Bowling Green 69-64,,,Balanc Leads Quinnipiac Past Bowling Green 69-64,,,,By The Associated Press,[],The Associated Press
1,Russell Jones had a season-high 21 points as Winthrop edged Elon 85-80 on Saturday.,https://www.nytimes.com/aponline/2019/12/21/sports/ncaabasketball/bc-bkc-elon-winthrop.html,Russell Jones had a season-high 21 points as Winthrop edged Elon 85-80 on Saturday.,"ROCK HILL, S.C. — Russell Jones had a season-high 21 points as Winthrop edged Elon 85-80 on Saturday.",AP,[],[],2019-12-21T22:18:26+0000,article,None,Sports,College Basketball,News,nyt://article/ff718814-0875-5db9-b9a4-fa26daf045bc,94,nyt://article/ff718814-0875-5db9-b9a4-fa26daf045bc,"Jones Scores 21 Points to Lead Winthrop Past Elon, 85-80",,,"Jones Scores 21 Points to Lead Winthrop Past Elon, 85-80",,,,By The Associated Press,[],The Associated Press
2,Max Abmas had 22 points as Oral Roberts topped Missouri State 82-72 on Saturday. ,https://www.nytimes.com/aponline/2019/12/21/sports/ncaabasketball/bc-bkc-missouri-st-oral-roberts.html,Max Abmas had 22 points as Oral Roberts topped Missouri State 82-72 on Saturday. ,"TULSA, Okla. — Max Abmas had 22 points as Oral Roberts topped Missouri State 82-72 on Saturday. ",AP,[],[],2019-12-21T22:15:38+0000,article,None,Sports,College Basketball,News,nyt://article/9aa65424-1a94-50af-89a6-bae4b8c2f150,124,nyt://article/9aa65424-1a94-50af-89a6-bae4b8c2f150,Abmas Has 22 to Lead Oral Roberts Over Missouri St.,,,Abmas Has 22 to Lead Oral Roberts Over Missouri St.,,,,By The Associated Press,[],The Associated Press
3,In just seconds a dynasty that appeared vulnerable became unbeatable. ,https://www.nytimes.com/aponline/2019/12/21/sports/ncaafootball/bc-fbc-montana-st-north-dakota-st.html,In just seconds a dynasty that appeared vulnerable became unbeatable. ,"FARGO, N.D. — In just seconds a dynasty that appeared vulnerable became unbeatable. ",AP,[],[],2019-12-21T22:15:37+0000,article,None,Sports,College Football,News,nyt://article/dd4fd8be-0977-5739-bedb-18de21cfe6fd,774,nyt://article/dd4fd8be-0977-5739-bedb-18de21cfe6fd,"Watson, Lance Put ND St Back in FCS Final, Top Montana St",,,"Watson, Lance Put ND St Back in FCS Final, Top Montana St",,,,By The Associated Press,[],The Associated Press
4,"Sabrina Ionescu was at her best again, and there wasn’t much Kansas State could do to stop her and Oregon.",https://www.nytimes.com/aponline/2019/12/21/sports/ncaabasketball/bc-bkw-t25-kansas-st-oregon.html,"Sabrina Ionescu was at her best again, and there wasn’t much Kansas State could do to stop her and Oregon.","EUGENE, Ore. — Sabrina Ionescu was at her best again, and there wasn’t much Kansas State could do to stop her and Oregon.",AP,[],[],2019-12-21T22:15:35+0000,article,None,Sports,College Basketball,News,nyt://article/b55ee736-c6b6-58e6-9338-23b50c531ac6,755,nyt://article/b55ee736-c6b6-58e6-9338-23b50c531ac6,"Ionescu Has Triple-Double, No. 3 Oregon Women Beat Kansas St",,,"Ionescu Has Triple-Double, No. 3 Oregon Women Beat Kansas St",,,,By The Associated Press,[],The Associated Press
5,"Jerod Haase believes Stanford is getting close to becoming an elite defensive team. With an up-and-down offense still searching for consistency, that's critical for the Cardinal who are off to their best start in more than a decade.",https://www.nytimes.com/aponline/2019/12/21/sports/ncaabasketball/bc-bkc-san-diego-stanford.html,"Jerod Haase believes Stanford is getting close to becoming an elite defensive team. With an up-and-down offense still searching for consistency, that's critical for the Cardinal who are off to their best start in more than a decade.","SAN FRANCISCO — Jerod Haase believes Stanford is getting close to becoming an elite defensive team. With an up-and-down offense still searching for consistency, that's critical for the Cardinal who are off to their best start in more than a decade.",AP,[],[],2019-12-21T22:15:33+0000,article,None,Sports,College Basketball,News,nyt://article/2e760962-0b9b-5d56-9997-9743ad6147ca,588,nyt://article/2e760962-0b9b-5d56-9997-9743ad6147ca,Stanford Overcomes Sloppy Game to Beat San Diego 62-59,,,Stanford Overcomes Sloppy Game to Beat San Diego 62-59,,,,By The Associated Press,[],The Associated Press
6,Curtis Holland III had a career-high 25 points as High Point rolled past Belmont Abbey 92-66 on Saturday.,https://www.nytimes.com/aponline/2019/12/21/sports/ncaabasketball/bc-bkc-belmont-abbey-high-point.html,Curtis Holland III had a career-high 25 points as High Point rolled past Belmont Abbey 92-66 on Saturday.,"HIGH POINT, N.C. — Curtis Holland III had a career-high 25 points as High Point rolled past Belmont Abbey 92-66 on Saturday.",AP,[],[],2019-12-21T22:12:35+0000,article,None,Sports,College Basketball,News,nyt://article/36520c9f-914d-5fd1-8a6e-f1dad0f5e504,108,nyt://article/36520c9f-914d-5fd1-8a6e-f1dad0f5e504,"Holland III Powers High Point Past Belmont Abbey, 92-66",,,"Holland III Powers High Point Past Belmont Abbey, 92-66",,,,By The Associated Press,[],The Associated Press
7,Ray Salnave made a go-ahead layup with 2 seconds left and Monmouth beat Albany 72-70 on Saturday to win its fourth straight.,https://www.nytimes.com/aponline/2019/12/21/sports/ncaabasketball/bc-bkc-albany-monmouth.html,Ray Salnave made a go-ahead layup with 2 seconds left and Monmouth beat Albany 72-70 on Saturday to win its fourth straight.,"WEST LONG BRANCH, N.J. — Ray Salnave made a go-ahead layup with 2 seconds left and Monmouth beat Albany 72-70 on Saturday to win its fourth straight.",AP,[],[],2019-12-21T22:12:34+0000,article,None,Sports,College Basketball,News,nyt://article/2f83a49a-0bbd-5d5b-8f16-648a8e2c663c,176,nyt://article/2f83a49a-0bbd-5d5b-8f16-648a8e2c663c,Salnave's Late Basket Lifts Monmouth Over Albany 72-70,,,Salnave's Late Basket Lifts Monmouth Over Albany 72-70,,,,By The Associated Press,[],The Associated Press
8,"Corey Allen hit five 3-pointers and scored 17 points and Georgia State won its seventh straight game, beating Texas State 81-69 on Saturday. ",https://www.nytimes.com/aponline/2019/12/21/sports/ncaabasketball/bc-bkc-texas-st-georgia-st.html,"Corey Allen hit five 3-pointers and scored 17 points and Georgia State won its seventh straight game, beating Texas State 81-69 on Saturday. ","ATLANTA — Corey Allen hit five 3-pointers and scored 17 points and Georgia State won its seventh straight game, beating Texas State 81-69 on Saturday. ",AP,[],[],2019-12-21T22:09:27+0000,article,None,Sports,College Basketball,News,nyt://article/5e3e506c-7660-57df-9c07-4e8b62a30414,153,nyt://article/5e3e506c-7660-57df-9c07-4e8b62a30414,Allen Leads Georgia State Past Texas State 81-69,,,Allen Leads Georgia State Past Texas State 81-69,,,,By The Associated Press,[],The Associated Press
9,Kylian Mbappe scored two sublime goals and found time to sign an autograph for a young fan as Paris St Germain crushed Amiens 4-1 on Saturday to go into the Ligue 1 Christmas break seven points clear of Olympique de Marseille with a game in hand. ,https://www.nytimes.com/reuters/2019/12/21/sports/soccer/21reuters-soccer-france-psg-ami-report.html,Kylian Mbappe scored two sublime goals and found time to sign an autograph for a young fan as Paris St Germain crushed Amiens 4-1 on Saturday to go into the Ligue 1 Christmas break seven points clear of Olympique de Marseille with a game in hand. ,PARIS — Kylian Mbappe scored two sublime goals and found time to sign an autograph for a young fan as Paris St Germain crushed Amiens 4-1 on Saturday to go into the Ligue 1 Christmas break seven points clear of Olympique de Marseille with a game in hand. ,Reuters,[],[],2019-12-21T22:06:34+0000,article,None,Sports,Soccer,News,nyt://article/9c007307-5dc8-5b35-9136-05cca6d8ad93,379,nyt://article/9c007307-5dc8-5b35-9136-05cca6d8ad93,"Sublime Mbappe Scores Twice, Signs Autograph as PSG Rout Amiens",,,"Sublime Mbappe Scores Twice, Signs Autograph as PSG Rout Amiens",,,,By Reuters,[],Reuters
