,abstract,web_url,snippet,lead_paragraph,source,multimedia,keywords,pub_date,document_type,news_desk,section_name,subsection_name,type_of_material,_id,word_count,uri,headline_main,headline_kicker,headline_content_kicker,headline_print_headline,headline_name,headline_seo,headline_sub,byline_original,byline_person,byline_organization
0,"Russian President Vladimir Putin said on Thursday that U.S. Democrats had impeached President Donald Trump for ""fabricated"" reasons in order to reverse his 2016 election victory.",https://www.nytimes.com/reuters/2019/12/19/us/politics/19reuters-russia-putin.html,"Russian President Vladimir Putin said on Thursday that U.S. Democrats had impeached President Donald Trump for ""fabricated"" reasons in order to reverse his 2016 election victory.","MOSCOW — Russian President Vladimir Putin said on Thursday that U.S. Democrats had impeached President Donald Trump for ""fabricated"" reasons in order to reverse his 2016 election victory.",Reuters,[],[],2019-12-19T17:19:03+0000,article,None,U.S.,Politics,News,nyt://article/fbe3e5d3-afbf-528a-8afb-c6b7cf10a2af,322,nyt://article/fbe3e5d3-afbf-528a-8afb-c6b7cf10a2af,Putin Says Impeachment Case Against Trump Is 'Fabricated',,,Putin Says Impeachment Case Against Trump Is 'Fabricated',,,,By Reuters,[],Reuters
1,Lawyers for Julian Assange said on Thursday they will argue that the WikiLeaks founder cannot be sent from Britain to the United States to face spying charges because a treaty between the two countries bans extradition for political offences.,https://www.nytimes.com/reuters/2019/12/19/world/europe/19reuters-britain-assange.html,Lawyers for Julian Assange said on Thursday they will argue that the WikiLeaks founder cannot be sent from Britain to the United States to face spying charges because a treaty between the two countries bans extradition for political offences.,LONDON — Lawyers for Julian Assange said on Thursday they will argue that the WikiLeaks founder cannot be sent from Britain to the United States to face spying charges because a treaty between the two countries bans extradition for political offences.,Reuters,[],[],2019-12-19T17:07:11+0000,article,None,World,Europe,News,nyt://article/f409ead2-3920-52a2-8f1e-e119b144fc13,436,nyt://article/f409ead2-3920-52a2-8f1e-e119b144fc13,"UK-U.S. Treaty Bans Extradition of Assange, Lawyer Says",,,"UK-U.S. Treaty Bans Extradition of Assange, Lawyer Says",,,,By Reuters,[],Reuters
2,"As President Donald Trump girds for a U.S. Senate impeachment trial, he is entrusting the future of his presidency to someone widely known as a shrewd negotiator who also plays hardball politics at a level unusual even by Washington standards.",https://www.nytimes.com/reuters/2019/12/19/world/europe/19reuters-usa-trump-impeachment-mcconnell.html,"As President Donald Trump girds for a U.S. Senate impeachment trial, he is entrusting the future of his presidency to someone widely known as a shrewd negotiator who also plays hardball politics at a level unusual even by Washington standards.","WASHINGTON — As President Donald Trump girds for a U.S. Senate impeachment trial, he is entrusting the future of his presidency to someone widely known as a shrewd negotiator who also plays hardball politics at a level unusual even by Washington standards.",Reuters,[],[],2019-12-19T17:04:07+0000,article,None,World,Europe,News,nyt://article/08d2e956-0c64-57a6-8c21-d15549a80e05,788,nyt://article/08d2e956-0c64-57a6-8c21-d15549a80e05,Trump Must Now Depend on 'Grim Reaper' McConnell to Save Him in Senate Trial,,,Trump Must Now Depend on 'Grim Reaper' McConnell to Save Him in Senate Trial,,,,By Reuters,[],Reuters
3,China on Thursday urged the United States and North Korea to resume dialogue and work to resolve disagreements as soon as possible amid renewed tensions between Washington and Pyongyang over the latter's nuclear and missiles programs.,https://www.nytimes.com/reuters/2019/12/19/world/asia/19reuters-northkorea-usa-china.html,China on Thursday urged the United States and North Korea to resume dialogue and work to resolve disagreements as soon as possible amid renewed tensions between Washington and Pyongyang over the latter's nuclear and missiles programs.,BEIJING — China on Thursday urged the United States and North Korea to resume dialogue and work to resolve disagreements as soon as possible amid renewed tensions between Washington and Pyongyang over the latter's nuclear and missiles programs.,Reuters,[],[],2019-12-19T17:00:58+0000,article,None,World,Asia Pacific,News,nyt://article/3e52946d-f3a9-508e-952c-b7dc1f720ea8,448,nyt://article/3e52946d-f3a9-508e-952c-b7dc1f720ea8,"China Urges U.S., North Korea to Resume Talks as Tensions Escalate",,,"China Urges U.S., North Korea to Resume Talks as Tensions Escalate",,,,By Reuters,[],Reuters
4,Brazil's President Jair Bolsonaro said on Thursday that a bill authorizing mining on protected indigenous reserves was ready and only needed to be sent to Congress for consideration.,https://www.nytimes.com/reuters/2019/12/19/world/americas/19reuters-brazil-politics.html,Brazil's President Jair Bolsonaro said on Thursday that a bill authorizing mining on protected indigenous reserves was ready and only needed to be sent to Congress for consideration.,BRASILIA — Brazil's President Jair Bolsonaro said on Thursday that a bill authorizing mining on protected indigenous reserves was ready and only needed to be sent to Congress for consideration.,Reuters,[],[],2019-12-19T16:58:20+0000,article,None,World,Americas,News,nyt://article/216aa4fe-18f9-5007-bfeb-433bfa3b0f44,140,nyt://article/216aa4fe-18f9-5007-bfeb-433bfa3b0f44,Brazil's Bolsonaro Says Bill to Allow Mining on Native Reserves Ready,,,Brazil's Bolsonaro Says Bill to Allow Mining on Native Reserves Ready,,,,By Reuters,[],Reuters
5,"Russian President Vladimir Putin said on Thursday he was open to the possibility of altering Russia's constitution, including proposals to increase parliament's power and to limit the number of presidential terms anyone can serve.    ",https://www.nytimes.com/reuters/2019/12/19/world/europe/19reuters-russia-putin-constitution.html,"Russian President Vladimir Putin said on Thursday he was open to the possibility of altering Russia's constitution, including proposals to increase parliament's power and to limit the number of presidential terms anyone can serve.    ","MOSCOW — Russian President Vladimir Putin said on Thursday he was open to the possibility of altering Russia's constitution, including proposals to increase parliament's power and to limit the number of presidential terms anyone can serve. ",Reuters,[],[],2019-12-19T16:58:18+0000,article,None,World,Europe,News,nyt://article/ab63076d-ca59-5d1a-a682-ee50b5874378,321,nyt://article/ab63076d-ca59-5d1a-a682-ee50b5874378,Putin Says He's Open to Tweaking Presidential Term Limits,,,Putin Says He's Open to Tweaking Presidential Term Limits,,,,By Reuters,[],Reuters
6,"U.S. Democrats on Thursday pressed the Republican-controlled Senate to call Donald Trump's top lieutenants to testify in its trial of the impeached president, as they sought to focus attention on the trial ahead of the 2020 presidential election.",https://www.nytimes.com/reuters/2019/12/19/world/europe/19reuters-usa-trump-impeachment.html,"U.S. Democrats on Thursday pressed the Republican-controlled Senate to call Donald Trump's top lieutenants to testify in its trial of the impeached president, as they sought to focus attention on the trial ahead of the 2020 presidential election.","WASHINGTON — U.S. Democrats on Thursday pressed the Republican-controlled Senate to call Donald Trump's top lieutenants to testify in its trial of the impeached president, as they sought to focus attention on the trial ahead of the 2020 presidential election.",Reuters,[],[],2019-12-19T16:58:09+0000,article,None,World,Europe,News,nyt://article/ac75844d-612e-5a4b-abe7-6b6b27386346,930,nyt://article/ac75844d-612e-5a4b-abe7-6b6b27386346,Democrats Seek High-Profile Trial for Trump in Senate,,,Democrats Seek High-Profile Trial for Trump in Senate,,,,By Reuters,[],Reuters
7,Hundreds of thousands of people marched in cities across Sudan on Thursday to celebrate the first anniversary of the start of the uprising that toppled long-time ruler Omar al-Bashir and demand justice for people killed in protests.,https://www.nytimes.com/reuters/2019/12/19/world/africa/19reuters-sudan-politics-anniversary.html,Hundreds of thousands of people marched in cities across Sudan on Thursday to celebrate the first anniversary of the start of the uprising that toppled long-time ruler Omar al-Bashir and demand justice for people killed in protests.,KHARTOUM — Hundreds of thousands of people marched in cities across Sudan on Thursday to celebrate the first anniversary of the start of the uprising that toppled long-time ruler Omar al-Bashir and demand justice for people killed in protests.,Reuters,[],[],2019-12-19T16:55:10+0000,article,None,World,Africa,News,nyt://article/03f9ffbd-9dcb-5620-8eac-2ff6e6ad4457,445,nyt://article/03f9ffbd-9dcb-5620-8eac-2ff6e6ad4457,"Sudanese Celebrate Uprising Anniversary, Demand Justice for Victims",,,"Sudanese Celebrate Uprising Anniversary, Demand Justice for Victims",,,,By Reuters,[],Reuters
8,Sudanese people on Thursday celebrated the first anniversary of the start of the uprising that toppled long-time ruler Omar al-Bashir.,https://www.nytimes.com/reuters/2019/12/19/world/africa/19reuters-sudan-politics-anniversary-timeline.html,Sudanese people on Thursday celebrated the first anniversary of the start of the uprising that toppled long-time ruler Omar al-Bashir.,(Reuters) - Sudanese people on Thursday celebrated the first anniversary of the start of the uprising that toppled long-time ruler Omar al-Bashir.,Reuters,[],[],2019-12-19T16:52:11+0000,article,None,World,Africa,News,nyt://article/bbbba828-2871-5fde-bb2e-e08c02de81e8,428,nyt://article/bbbba828-2871-5fde-bb2e-e08c02de81e8,A Year of Political Upheaval in Sudan,,,A Year of Political Upheaval in Sudan,,,,By Reuters,[],Reuters
9,"Britain will toughen up supervision of accountants after high profile company collapses at builder Carillion and retailer BHS undermined trust in auditing, it said on Thursday.",https://www.nytimes.com/reuters/2019/12/19/business/19reuters-britain-politics-accountants.html,"Britain will toughen up supervision of accountants after high profile company collapses at builder Carillion and retailer BHS undermined trust in auditing, it said on Thursday.","LONDON — Britain will toughen up supervision of accountants after high profile company collapses at builder Carillion and retailer BHS undermined trust in auditing, it said on Thursday.",Reuters,[],[],2019-12-19T16:49:01+0000,article,None,Business Day,,News,nyt://article/fd6265c9-7807-5f84-910b-7c42407b0db4,143,nyt://article/fd6265c9-7807-5f84-910b-7c42407b0db4,Britain to Legislate to Reform Company Auditing,,,Britain to Legislate to Reform Company Auditing,,,,By Reuters,[],Reuters
